code,explanation
F0747,"This fault occurs when Cisco UCS Manager cannot transfer a core file to a remote TFTP server. This is typically the result of one of the following issues:
   - The remote TFTP server is not accessible.
  - One or more of the parameters for the TFTP server that are specified for the core export target, such as path, port, and server name, are incorrect."
F0757,This fault typically occurs when the configuration of a traffic monitoring session is incorrect.
F0764,This fault typically occurs when at least two PSUs are not powered on.
F0765,This fault typically occurs when the processor T-state is used to severely throttle the CPU.
F0766,This fault occurs when a power policy cannot be applied to one or more blade servers. The affected blade servers cannot operate normally without power capping due to the limited power budget for those servers.
F0772,This fault occurs when the connectivity between a server and a FEX is added or changed.
F0775,The link for a network-facing adapter interface is misconnected. Cisco UCS Manager raises this fault when it detects that the connectivity between a previously configured port on a fabric interconnect or FEX and its prior peer network-facing adapter interface is misconnected or missing.
F0776,This fault occurs when the server disk drive is in a slot that is not supported by the storage controller.
F0777,This fault typically occurs when a member port in an Ethernet port channel is down.
F0778,"This fault typically occurs because Cisco UCS Manager detected an unsupported chassis. For example, the model, vendor, or revision is not recognized."
F0794,This fault occurs if a fan module is not operational.
F0795,"The schedule that is referenced by the maintenance policy does not exist. This fault typically occurs as a result of one of the following issues:
   - The schedule does not exist.
  - The schedule was deleted."
F0796,"This fault typically occurs when the VSAN has an ID in the restricted range between 3840 and 4078, and Fibre Channel end host mode is enabled on the fabric interconnect."
F0797,"This fault typically occurs when a port is assigned to a VSAN that has an ID in the restricted range between 3840 and 4078) or is VSAN 4079, which is reserved."
F0798,"This fault typically occurs when the CIMC or BIOS firmware on a server is an earlier release than Cisco UCS, Release 1.4."
F0801,"This fault typically occurs because Cisco UCS Manager has detected an unsupported CPU in the server. For example, the model, vendor, or revision is not recognized."
F0821,This fault typically occurs when an IQN pool does not contain any IQNs.
F0831,This fault typically occurs when a member port in a fabric port channel is down.
F0832,"This fault occurs when at least one logical interface is misconfigured. This can happen when upgrading to a different type or series of fabric interconnect or when importing a configuration.

The configuration must meet the following constraints:
   - The first Fibre Channel port must be an odd port number. This constraint cannot be violated when upgrading from a Cisco UCS 6100 series fabric interconnect to a Cisco UCS 6200 series fabric interconnect.
  - All FC ports must be configured contiguously with intervening unconfigured FC ports. This can happen during an upgrade from a Cisco UCS 6100 series fabric interconnect when you import the configuration from a Cisco UCS 6100 series fabric interconnect configuration into a Cisco UCS 6200 series fabric interconnect. For example, the Cisco UCS 6100 series fabric interconnect has an FC expansion module with ports FC2/1 through FC2/6 configured. When you import that configuration into a Cisco UCS 6200 series fabric interconnect, FC ports 2/7 through 2/16 remain unconfigured. You can correct this problem by configuring the missing FC ports.
  - Ethernet and FC port ranges cannot overlap. This can happen when upgrading from a Cisco UCS 6100 series fabric interconnect to a Cisco UCS 6200 series fabric interconnect. For example, some Cisco UCS 6100 expansion modules have FC and Ethernet ports with the same ID, such as FC port 2/1 and Ethernet port 2/1.
  - There must be at most one logical port per fabric interconnect ID/module ID/port ID. For example, a port cannot be configured as both Ethernet and FC. This can happen during an upgrade from a Cisco UCS 6100 series fabric interconnect. For example, some Cisco UCS 6100 expansion modules have FC and Ethernet ports with the same ID, such as FC port 2/1 and Ethernet port 2/1.
  - Within a module, the port IDs of Ethernet ports must be lower than the smallest FC port ID. This means that all Ethernet ports must be on the left and all FC ports on the right. This can happen during an upgrade from a Cisco UCS 6140 fabric interconnect with 40 ports on the fixed module to a Cisco UCS 6248 fabric interconnect with 32 ports on the fixed module. For example, if the Cisco UCS 6248 is initially configured with Ethernet ports 1/1 through 1/16 and FC ports 1/17 through 1/32, and you import a a configuration from the Cisco UCS 6140 with Ethernet ports 1/1 through 1/32 unconfigured and Ethernet ports 1/33 through 1/40, the resulting configuration is Ethernet 1/1 through 1/16, FC 1/17 through 1/32, and Ethernet 1/33 through 1/40. This is not a valid configuration. You must delete ports 1/33 through 1/40 to correct the configuration.
  - A non-unified Ethernet port cannot be configured as an FC port. Please note the following:   - This constraint cannot be violated when upgrading from a Cisco UCS 6100 series fabric interconnect to a Cisco UCS 6200 series fabric interconnect.
  - This constraint can be violated when downgrading from a Cisco UCS 6200 series fabric interconnect to a Cisco UCS 6100 series fabric interconnect.
  - This constraint can be violated when pre-provisioning a port on a Cisco UCS 6100 series fabric interconnect and then inserting an expansion module that does not match the requirement.

  - A non-unified FC port cannot be configured as an Ethernet port. Please note the following:   - This constraint cannot be violated when upgrading from a Cisco UCS 6100 series fabric interconnect to a Cisco UCS 6200 series fabric interconnect.
  - This constraint can be violated when downgrading from a Cisco UCS 6200 series fabric interconnect to a Cisco UCS 6100 series fabric interconnect.
  - This constraint can be violated when pre-provisioning a port on a Cisco UCS 6100 series fabric interconnect and then inserting an expansion module that does not match the requirement.

  - On a Cisco UCS 6100 series fabric interconnect, server ports cannot be configured on expansion modules. This constraint can be violated when downgrading from a Cisco UCS 6200 series fabric interconnect to a Cisco UCS 6100 series fabric interconnect."
F0833,This fault typically occurs when VLAN has the same ID as an FCoE VLAN. This issue can cause disruption of traffic.
F0834,This fault occurs when a logical interface is misconfigured. This can happen when upgrading to a different type or series of fabric interconnect or when importing a configuration.
F0835,This fault occurs when an uplink port or port channel is configured with a primary VLAN that does not exist in the Cisco UCS instance.
F0836,This fault occurs when an uplink port or port channel is configured with a primary VLAN that does not exist in the Cisco UCS instance.
F0840,This fault occurs when one or more VLANs required by vNIC in a service profile are not configured on the target uplink port or port channel for a hard-pinned LAN pin group.
F0841,This fault occurs when one or more vNIC target uplink ports or port channels for a hard-pinned LAN pin group are either missing or misconfigured as the wrong port type.</br
F0842,This fault occurs in the unlikely event that a processor is disabled.
F0843,This fault occurs when a LUN has become inoperable
F0844,"This fault is raised when the server BIOS disables a DIMM. The BIOS could disable a DIMM for several reasons, including incorrect location of the DIMM or incompatible speed."
F0856,"This fault typically occurs for the following reasons: when firmware activation fails, or if the after activation running image is not the corresponding startup image.
   - Firmware activation failed.
  - The version of firmware running on the server after activation is not the version listed in Cisco UCS Manager as the startup image."
F0858,"This fault occurs when the transport VIF for a server is down. Cisco UCS Manager raises this fault when a fabric interconnect reports the connectivity state on virtual interface as one of the following:
   - Down
  - Errored
  - Unavailable"
F0863,This fault occurs in an unlikely event that the shared storage selected for writing the cluster state is not accessible. This impacts the full HA functionality of the fabric interconnect cluster.
F0864,This fault occurs in an unlikely event that the shared storage selected for writing the cluster state is not accessible. This impacts the full HA functionality of the fabric interconnect cluster.
F0865,This fault occurs in an unlikely event that the shared storage selected for writing the cluster state is not accessible. This impacts the full HA functionality of the fabric interconnect cluster.
F0866,"This fault indicates that one of the following scenarios has occurred:
   - The internal SSH keys used for HA in the cluster configuration are mismatched. This causes certain operations to fail.
  - Another fabric interconnect is connected to the primary fabric interconnect in the cluster without first erasing the existing configuration in the primary."
F0867,"This fault occurs in an unlikely event of a Cisco UCS Manager process crash. Typically, the failed process restarts and recovers from the problem. Any pending operations are restarted after the process successfully restarts."
F0868,This fault typically occurs when the power sensors on a blade server detect a problem.
F0869,This fault typically occurs when the motherboard thermal sensors on a server detect a problem.
F0876,This fault occurs when Cisco UCS cannot send or receive data through an uplink port.
F0881,"This fault typically occurs when a power supply unit in a chassis, fabric interconnect, or a FEX is shut down, either due to higher than expected power current, higher than expected temperatures, or the failure of a fan."
F0882,This fault occurs when a power supply unit is drawing too much current.
F0883,This fault occurs when a power cable is disconnected or input voltage is incorrect.
F0884,This fault occurs when the switch card is powered down.
F0885,"Cisco UCS Manager raises this fault when the management subsystem is unable to perform an inventory of the physical components, such as I/O cards or physical ports."
F0900,"This fault typically occurs because Cisco UCS Manager has detected an unsupported adapter unit extension, such as a pass-through adaptor. For example, the model, vendor, or revision is not recognized."
F0901,"This fault typically occurs when an I/O adapter unit extension, such as a pass-through adapter, is missing. Cisco UCS Manager raises this fault when any of the following scenario occur:
   - The endpoint reports there is no adapter unit extension, such as a pass-through adapter, plugged into the adapter slot.
  - The endpoint cannot detect or communicate with the adapter unit extension plugged into the adapter slot."
F0902,"This fault typically occurs because Cisco UCS Manager has detected an unsupported FEX. For example, the model, vendor, or revision is not recognized."
F0903,This fault typically occurs when IScsi Vnics refer the same iqn name.
