event_type,release_note_date,admin_interest,security_interest,event_type_description,event_type_tags
app.office365.api.error.set.company.dirsync.failure,2017.01,0,0,Unable to enable Office 365 directory sync for the company received error.,"app,office365-app"
app.office365.api.error.set.company.dirsync.status.failure,2017.01,0,0,"Unable to enable Office 365 directory sync for the company because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated.","app,office365-app"
app.office365.api.error.set.domain.federation.failure,2017.01,0,0,Unable to setup the domain federation received error.,"app,office365-app"
app.office365.api.error.set.domain.federation.failure.access.denied,2017.01,0,0,Unable to setup the domain federation because the admin user is not authorized to perform the task.,"app,office365-app"
app.office365.api.error.set.domain.federation.failure.domain.default,2017.01,0,0,Unable to setup the domain federation because the specified domain is the default domain.,"app,office365-app"
app.office365.api.error.set.domain.federation.failure.domain.not.found,2017.01,0,0,Unable to setup the domain federation because the specified domain was not found.,"app,office365-app"
app.office365.api.error.sync.contact,2017.01,0,0,Failed to sync contact received error.,"app,office365-app"
app.office365.api.error.sync.finalize,2017.01,0,0,Failed to finalize export to Office 365 received error.,"app,office365-app"
app.office365.api.error.sync.group,2017.01,0,0,Failed to sync group received error.,"app,office365-app"
app.office365.api.error.sync.not.activated,2017.01,0,0,Sync could not execute because Office 365 directory sync for the company not yet Activated. Sync will retry after a period of time.,"app,office365-app"
app.office365.api.error.sync.set.attribute,2017.01,0,0,Failed to set attribute received error.,"app,office365-app"
app.office365.api.error.sync.user,2017.01,0,0,Failed to sync user received error.,"app,office365-app"
app.office365.api.error.unable.to.create.graph.client,2017.01,0,0,An error occurred while creating the Azure Active Directory Graph API client. Please try the last operation again. If this error persists please contact Okta support.,"app,office365-app"
app.office365.api.error.validate.admin.creds,2017.01,0,0,User does not have the Company Administrator role. Please try again with a user which has this role.,"app,office365-app"
app.office365.api.error.validate.creds,2017.01,0,0,Could not validate your Office 365 credentials received error.,"app,office365-app"
app.office365.api.error.validate.creds.unknown.exception,2017.01,0,0,Could not communicate with Office 365 to validate your credentials received error.,"app,office365-app"
app.office365.api.error.x-ms-forwarded-client-ip-header.absent,2017.01,0,0,X-MS-Forwarded-Client-IP header either empty or not found in the request.,"app,office365-app"
app.office365.api.remove.domain.federation.success,2017.01,1,0,Successfully removed the domain federation.,"app,office365-app"
app.office365.api.set.domain.federation.success,2017.01,1,0,Successfully set up the domain federation with new settings.,"app,office365-app"
app.office365.api.sync.complete,2017.01,0,0,User sync completed.,"app,office365-app"
app.office365.api.sync.heartbeat.sent,2017.01,0,0,Heartbeat sent to Microsoft Azure Active Directory.,"app,office365-app"
app.office365.api.sync.job.complete,2017.01,0,0,Sync job completed.,"app,office365-app"
app.office365.api.sync.job.complete.contact,2017.01,0,0,Sync job completed.,"app,office365-app"
app.office365.api.sync.job.complete.group,2017.01,0,0,Sync job completed.,"app,office365-app"
app.office365.api.sync.job.complete.user,2017.01,0,0,Sync job completed.,"app,office365-app"
app.office365.clientplatform.conversion.job.processing.app.instance,2017.01,0,0,Begin processing client access conversion for app instance.,"app,office365-app"
app.office365.clientplatform.conversion.job.skipping.migration,2017.01,0,0,Skipping migration of client access rules for app instance.,"app,office365-app"
app.office365.dirsync.skipping.conflict-object,2017.01,0,0,Skipping sync of conflict object.,"app,office365-app"
app.office365.dirsync.skipping.critical-system-object,2017.01,0,0,Skipping sync of critical system object.,"app,office365-app"
app.office365.dirsync.skipping.non-security-group-invalid-mail,2017.01,0,0,Skipping sync of non security object with invalid mail.,"app,office365-app"
app.office365.dirsync.skipping.reserved-attribute-value,2017.01,0,0,Skipping sync of object with reserved attribute value.,"app,office365-app"
app.office365.dirsync.skipping.systemmailbox,2017.01,0,0,Skipping sync of system mailbox object.,"app,office365-app"
app.office365.dirsync.skipping.without-name-and-displayname,2017.01,0,0,Skipping sync of non security object without name and display name.,"app,office365-app"
app.office365.error.importing.user,2017.01,0,0,An error occurred while importing user.,"app,office365-app"
app.office365.graph.api.error.no.mailbox.found,2017.01,0,0,No MailBox found for Office 365 user.,"app,office365-app"
app.office365.graph.api.error.rate-limit.exceeded,2017.01,0,0,Rate limit exceeded for Microsoft Graph.,"app,office365-app"
app.office365.graph.api.error.service.principal.creation.failed,2017.01,0,0,Failure while trying to create service principal.,office365-app
app.office365.graph.api.error.service.principal.msgraph.authentication.failure,2017.01,0,0,Failure while trying to create service principal due to a Mircrosoft Graph authentication issue.,office365-app
app.office365.service.principal.cleanup.job.complete,2017.01,0,0,End processing Office 365 service principal cleanup.,"app,office365-app"
app.office365.service.principal.cleanup.job.invalid.credentials,2017.01,0,0,The admin username or password is invalid. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.,"app,office365-app"
app.office365.service.principal.cleanup.job.processing,2017.01,0,0,Begin performing Office 365 service principal cleanup.,"app,office365-app"
app.office365.service.principal.cleanup.job.skipping.missing.creds,2017.01,0,0,Skipping app instance during Office 365 service principal cleanup as it does not contain Office 365 admin user credentials. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.,"app,office365-app"
app.office365.service.principal.cleanup.job.skipping.no.service.principal,2017.01,0,0,Skipping app instance during Office 365 service principal cleanup as it does not have a service principal.,"app,office365-app"
app.office365.service.principal.cleanup.job.unable.to.delete.service.principal,2017.01,0,0,Unable to automatically delete the Office 365 service principal. Please use the Azure Active Directory cmdlets to execute the command 'Remove-MsolServicePrincipal -AppPrincipalId' to manually cleanup the service principal.,"app,office365-app"
app.office365.user.delete.success,2017.01,0,0,Successfully deleted the Office 365 user.,"app,office365-app"
app.office365.user.lifecycle.action.failed,2017.01,0,0,Unable to complete app user lifecycle action for AppUser.,"app,office365-app"
app.office365.user.remove.licenses.success,2017.01,0,0,Successfully removed all the licenses for the Office 365 user.,"app,office365-app"
app.office365.api.error.group.create.failure,2017.01,0,0,Could not create Office 365 group received error.,"app,office365-app"
system.org.rate_limit.warning,2017.02,0,0,Rate limit warning.,"event-hook-eligible,system"
system.org.rate_limit.violation,2017.02,1,1,Rate limit violation.,"event-hook-eligible,system"
security.zone.remove_blacklist,2017.06,1,1,Removed IPs from blacklist zone.,"network-zone,security"
security.zone.make_blacklist,2017.06,1,1,Added IPs to blacklist zone.,"network-zone,security"
policy.evaluate_sign_on,2017.11,0,0,No Description.,policy
app.app_instance.csr.generate,2017.15,0,0,Certificate signing request (CSR) generated.,app
app.app_instance.csr.publish,2017.15,0,0,Certificate signing request (CSR) published.,app
app.app_instance.csr.revoke,2017.15,0,0,Certificate signing request (CSR) revoked.,app
system.import.roadblock.reschedule_and_resume,2017.19,0,0,The affected import from AppInstance has been rescheduled. All other imports will resume.,"import,system"
system.import.roadblock.resume,2017.19,0,0,The affected import from AppInstance has been canceled. All other imports will resume.,"import,system"
core.el.evaluate,2017.2,0,0,Evaluate Expression Language.,okta-el
oauth2.as.activated,2017.22,1,0,Authorization server is activated.,"oauth2,oauth2-as-lifecycle"
oauth2.as.deactivated,2017.22,1,0,Authorization server is deactivated.,"oauth2,oauth2-as-lifecycle"
application.configuration.disable_fed_broker_mode,2017.24,0,0,Disable Federation Broker Mode for app.,app
application.configuration.enable_fed_broker_mode,2017.24,0,0,Enable Federation Broker Mode for app.,app
app.oauth2.client.lifecycle.activate,2017.24,0,0,Activate OAuth client.,"oauth2,oauth2-client,oauth2-client-lifecycle"
app.oauth2.client.lifecycle.create,2017.24,0,0,Create OAuth client.,"oauth2,oauth2-client,oauth2-client-lifecycle"
app.oauth2.client.lifecycle.deactivate,2017.24,0,0,Deactivate OAuth client.,"oauth2,oauth2-client,oauth2-client-lifecycle"
app.oauth2.client.lifecycle.delete,2017.24,0,0,Delete OAuth client.,"oauth2,oauth2-client,oauth2-client-lifecycle"
app.oauth2.client.lifecycle.update,2017.24,0,0,Update OAuth client.,"oauth2,oauth2-client,oauth2-client-lifecycle"
app.keys.generate,2017.25,1,0,New signing key generated.,app
app.keys.rotate,2017.25,1,0,Application signing key rotated.,app
app.keys.clone,2017.25,1,0,Application signing key cloned.,app
user.authentication.verify,2017.27,0,0,Verify user identity.,"end-user-visible,user"
security.session.detect_client_roaming,2017.28,0,1,Roaming session detected for user.,"security,session"
application.provision.group_push.delete_appgroup,2017.29,0,0,Group push deleted application group.,app
application.provision.group_push.mapping.and.groups.deleted.rule.deleted,2017.29,0,0,An existing mapping and its target groups have been deleted because a mapping rule was deleted.,app
application.provision.group_push.mapping.app.group.renamed,2017.29,0,0,A mapped app group has been renamed because the source group was renamed.,app
application.provision.group_push.mapping.app.group.renamed.failed,2017.29,0,0,A mapped app group couldn't be renamed when the source group was renamed.,app
application.provision.group_push.mapping.created,2017.29,1,0,A new mapping has been created.,app
application.provision.group_push.mapping.created.from.rule.warning.duplicate.name,2017.29,0,0,A new mapping from a rule was not created due to a duplicate group name.,app
application.provision.group_push.mapping.created.from.rule.warning.duplicate.name.tobecreated,2017.29,0,0,A new mapping from a rule was not created due to another mapping will be created that has the same user group name.,app
application.provision.group_push.mapping.created.from.rule.warning.upsertGroup.duplicate.name,2017.29,0,0,An upsert to a group caused group push rule re-evaluation. A new mapping from a rule was not created due to a duplicate group name.,app
application.provision.group_push.mapping.deactivated.source.group.renamed,2017.29,0,0,An existing mapping has been deactivated because the source group was renamed.,app
application.provision.group_push.mapping.deactivated.source.group.renamed.failed,2017.29,0,0,An existing mapping couldn't be deactivated when the source group was renamed.,app
application.provision.group_push.mapping.update.or.delete.failed,2017.29,0,0,Group push mapping change failed and will be retried. Can be used to identify transient errors that may temporarily impact the group push mapping but likely do not require admin intervention. This event typically requires no action as the corresponding operation will be retried. Refer to application.provision.group_push.mapping.update.or.delete.failed for events that may require intervention.,app
application.provision.group_push.mapping.update.or.delete.failed.with.error,2017.29,0,0,Group push mapping change failed and cannot be retried. Can be used to identify group push mapping errors which may require admin intervention to address. Unlike the similarly named event application.provision.group_push.mapping.update.or.delete.failed when this event is fired the corresponding action that triggered it will not be retried by Okta and may indicate a configuration problem. For example invalid authorization credentials with the target application due to an expired password or invalid access token.,"app,event-hook-eligible"
application.provision.group_push.push_memberships,2017.29,0,0,Group push pushed memberships.,app
application.provision.group_push.pushed,2017.29,0,0,A group was pushed to an app.,app
application.provision.group_push.removed,2017.29,0,0,A group was removed from an app.,app
application.provision.group_push.updated,2017.29,0,0,A group was updated in an app.,app
application.provision.group_push.activate_mapping,2017.29,0,0,Group push activated mappings.,app
scheduled_action.user_suspension.completed,2017.32,0,0,Completed scheduled user suspension.,uncategorized
scheduled_action.user_suspension.scheduled,2017.32,0,0,Scheduled user suspension.,uncategorized
scheduled_action.user_suspension.updated,2017.32,0,0,Updated scheduled user suspension.,uncategorized
scheduled_action.user_suspension.canceled,2017.32,0,0,Canceled scheduled user suspension.,uncategorized
application.configuration.update,2017.33,0,0,Okta couldn't verify api credentials. Can be used when Okta couldn't check the credentials by execution some custom application dependent set of requests. Okta fires this event to notify issues with credentials validation. Could be issues with proper permissions as well.,app-api
application.integration.api_query,2017.33,0,0,Unable to query remote API. Can be used to determine when okta fails to query remote application. Okta fires this event for unspecified events which include remote api response processing.,app-api
application.provision.user.import,2017.33,0,0,Deactivate user from external application.,app-api
system.org.task.remove,2017.33,1,0,Tasks removed.,system
application.configuration.import_schema,2017.33,0,0,Okta couldn't download application configuration. Can be used to identify when an app schema couldn't be downloaded from a remote application. Event fired when Okta couldn't download application-specific data from a remote app. This may happen when admin updates provisioning details.,app-api
application.integration.authentication_failure,2017.33,0,0,Error authenticating. Can be used when Okta couldn't authenticate with the provided credentials to a remote api. Okta fires this event when it couldn't access a remote api with provided credentials.,app-api
application.integration.general_failure,2017.33,0,0,Generic error occured. Can be used when there is some uncategorized error occurs. Okta fires this event for different unhandled exceptions.,app-api
application.integration.rate_limit_exceeded,2017.33,0,0,API rate limit exceeded. Can be used when Okta reaches api calls/minute rate limit. Okta fires this event when there are too many requests for a specific customer.,app-api
application.integration.transfer_files,2017.33,0,0,Unable to transfer files. Can be used when Okta fails to transfer files from one user to another. Okta fires this event when it fails to process user-to-user file transfers.,app-api
application.provision.group.import,2017.33,0,0,Fired when Okta downloads a remote group. Can be used to identify when Okta tries to download remote group details. Event fired when Okta fails to reach the group detail from a remote application.,app-api
application.provision.group.remove,2017.33,0,0,Fired when Okta removes a remote group. Can be used to identify when a group has been unassigned. Event fired when Okta failed to delete group from remote application.,app-api
application.provision.group.update,2017.33,0,0,Fired when Okta updates the user group. Can be used to identify when a group has been updated. Event fired when Okta fails to update a remote group for any reason.,app-api
application.provision.group.verify_exists,2017.33,0,0,Fired when group no longer exists on a remote application. Can be used to identify when a group no longer exists on a remote application. Event fired when group push enhancement enabled and there is no group found on update or delete.,app-api
application.provision.group_membership.add,2017.33,0,0,Failed to assign a user to a group. Can be used when Okta failed to assign user to a group on remote application. Okta fires this event if there are any issues while provision a membership to a remote application.,app-api
application.provision.group_membership.import,2017.33,0,0,Error while downloading memberships. Can be used when Okta failed to download users and groups relationships. Okta fires this event if there are any issues while importing a membership from a remote application.,app-api
application.provision.group_membership.remove,2017.33,0,0,Fired when there is an error while removing user(s) from group. Can be used when Okta failed to unassign user from a group on remote application. Okta fires this event when there are any issues while provision a membership to a remote application.,app-api
application.provision.group_membership.update,2017.33,0,0,Fired when there is an error while updating user group membership for group. Can be used when Okta failed to push updated memberships to a remote application. Okta fires this event when couldn't update memberships on a remote application. Could be user removal/addition.,app-api
application.provision.user.import_profile,2017.33,0,0,Import profile from external application.,app-api
application.provision.user.password,2017.33,0,0,Issue pushing user password to external application.,app-api
application.provision.group.add,2017.33,0,0,Fired when Okta provisions a new group on a remote application. Can be used to identify when Okta provisions a group on a remote application. Event fired when the group provisioning failed for any reason.,app-api
core.concurrency.org.limit.violation,2017.39,0,0,Too many requests in flight.,concurrency-limit
app.access_request.approver.approve,2017.43,1,0,Request to access an app was approved by an administrator-defined approver.,"app-instance-request,event-hook-eligible"
app.access_request.approver.deny,2017.43,1,0,Request to access an app was denied by an administrator-defined approver.,"app-instance-request,event-hook-eligible"
app.access_request.delete,2017.43,1,0,Request to access an app was deleted by an administrator.,"app-instance-request,event-hook-eligible"
app.access_request.deny,2017.43,1,0,Request to access an app was denied after at least one approver denied the request.,"app-instance-request,event-hook-eligible"
app.access_request.expire,2017.43,1,0,Request to access an app expired by the system due to lack of approver action.,"app-instance-request,event-hook-eligible"
app.access_request.grant,2017.43,1,0,Request to access an app was granted after all approvers approved the request.,"app-instance-request,event-hook-eligible"
app.access_request.request,2017.43,0,0,Request to access an app was performed by a user.,"app-instance-request,event-hook-eligible"
user.authentication.authenticate,2017.44,0,0,Authentication via device trust certificate.,"device-trust-authentication,event-hook-eligible,user"
system.voice.send_call,2017.44,0,0,Send phone call.,voice
system.voice.send_mfa_challenge_call,2017.44,0,0,Send second factor auth call.,voice
system.voice.send_password_reset_call,2017.44,0,0,Send self-service password reset call.,voice
system.voice.send_phone_verification_call,2017.44,0,0,Send phone verification call.,"event-hook-eligible,voice"
org.not_configured_origin.redirection.usage,2017.44,1,0,Using untrusted origin for redirection.,"admin,org"
system.voice.send_account_unlock_call,2017.44,0,0,Send self-service account unlock call.,voice
policy.lifecycle.overwrite,2017.45,1,0,Overwrite policy.,policy
user.credential.enroll,2017.45,1,0,Device Trust certificate enrollment.,"device-trust-cert-distribution-and-binding,event-hook-eligible,user"
pki.cert.revoke,2017.45,0,0,Device Trust certificate revocation.,device-trust-cert-distribution-and-binding
pki.cert.issue,2017.45,0,0,Device Trust certificate issuance.,device-trust-cert-distribution-and-binding
pki.cert.renew,2017.45,0,0,Device Trust certificate renewal.,device-trust-cert-distribution-and-binding
user.account.unlock_token,2017.47,0,0,Issued recovery token for self-service account unlock.,"account,user"
self_service.disabled,2017.48,1,0,Self-service disabled for app.,self-service
self_service.enabled,2017.48,1,0,Self-service enabled for app.,self-service
zone.create,2017.49,1,1,Network zone create.,network-zone
zone.deactivate,2017.49,1,1,Network zone deactivate.,network-zone
zone.delete,2017.49,1,1,Network zone delete.,network-zone
zone.make_blacklist,2017.49,1,1,Network zone mark as blacklist.,network-zone
zone.remove_blacklist,2017.49,1,1,Network zone unmark as blacklist.,network-zone
zone.update,2017.49,1,1,Network zone update.,network-zone
zone.activate,2017.49,1,1,Network zone activate.,network-zone
app.kerberos_rich_client.account_not_found,2017.5,0,0,Kerberos based rich client authentication failed: Could not find Office 365 app user for the AD user with principal id.,"app,kerberos-rich-client"
app.kerberos_rich_client.instance_not_found,2017.5,0,0,Kerberos based rich client authentication failed: Unknown app instance id.,"app,kerberos-rich-client"
app.kerberos_rich_client.multiple_accounts_found,2017.5,0,0,Kerberos based rich client authentication failed: Multiple users with username found.,"app,kerberos-rich-client"
group.user_membership.rule.add_exclusion,2017.51,1,0,Add user to group membership exclusion rule.,group
app.user_management.grouppush.mapping.created.from.rule,2017.51,0,0,A Group Push mapping to the group has been created from the rule.,app
group.application_assignment.skip_assignment_reconcile,2017.51,0,0,No Description.,group
app.user_management.grouppush.mapping.created.from.rule.error.duplicate,2017.51,0,0,A Group Push mapping to the group did not get created from rule because an existing mapping already existed.,app
app.user_management.grouppush.mapping.created.from.rule.error.validation,2017.51,0,0,A Group Push mapping to the group did not get created from rule because of the validation error.,app
app.user_management.grouppush.mapping.created.from.rule.errors,2017.51,0,0,A Group Push mapping to the group did not get created from rule.,app
app.user_management.push_new_user_success,2017.51,0,0,Successfully pushed new user account to app.,app
app.user_management.update_from_master_failed,2017.51,0,0,Could not apply import.,app
group.user_membership.rule.deactivated,2017.51,1,0,No Description.,group
group.user_membership.rule.error,2017.51,0,0,group membership rule is in error state.,group
group.user_membership.rule.evaluation,2017.51,0,0,No Description.,group
group.user_membership.rule.invalidate,2017.51,0,0,Invalidate group membership rule.,group
group.user_membership.rule.trigger,2017.51,0,0,Trigger group membership rule.,group
app.user_management.import.csv.line.error,2017.51,0,0,Error reading line from CSV.,app
application.registration_policy.lifecycle.create,2017.52,1,0,Create registration policy.,app
core.user_auth.idp.x509.crl_download_failure,2017.52,0,0,Failed to download CRL from the endpoint.,x509-idp-auth
app.kerberos_rich_client.user_authentication_successful,2017.52,0,0,Kerberos based rich client authentication successful for Office 365 user.,"app,kerberos-rich-client"
app.audit_report.download.local.deprov,2017.52,1,0,Recent unassignments report downloaded.,app
app.audit_report.download.rogue.report,2017.52,1,0,Rogue report downloaded.,app
application.registration_policy.lifecycle.update,2017.52,1,0,Update registration policy.,app
app.audit_report.download.local.active,2017.52,1,0,Application access report downloaded.,app
omm.app.VPN.settings.changed,2018.01,1,0,No Description.,omm
omm.app.WIFI.settings.changed,2018.01,1,0,No Description.,omm
omm.app.eas.cert_based.settings.changed,2018.01,1,0,No Description.,omm
omm.app.eas.disabled,2018.01,1,0,No Description.,omm
omm.app.eas.settings.changed,2018.01,1,0,No Description.,omm
omm.cma.created,2018.01,1,0,No Description.,omm
omm.cma.deleted,2018.01,1,0,No Description.,omm
omm.cma.updated,2018.01,1,0,No Description.,omm
omm.enrollment.changed,2018.01,1,0,No Description.,omm
app.user_management.grouppush.mapping.okta.users.ignored,2018.03,0,0,Okta users ignored while pushing group to AppInstance.,"app,app-user-management"
user.mfa.okta_verify.deny_push,2018.03,0,0,User rejected Okta push verify.,mfa
app.user_management.user_group_import.create_failure,2018.03,0,0,Failed to create group from app.,"app,app-user-management"
app.user_management.user_group_import.delete_success,2018.03,1,1,Deleted the group from app.,"app,app-user-management"
app.user_management.user_group_import.update_failure,2018.03,0,0,Failed to update group from app.,"app,app-user-management"
app.user_management.user_group_import.upsert_success,2018.03,0,0,Imported the group from app.,"app,app-user-management"
user.lifecycle.password_mass_expiry,2018.04,1,0,Mass expire all users' passwords initiated.,user
user.account.update_primary_email,2018.05,0,0,User primary email updated.,"account,end-user-visible,user,user-config"
security.device.temporarily_disable_blacklisting,2018.05,1,1,Temporarily disabling blacklisting.,"device,security"
user.lifecycle.jit.error.read_only,2018.06,0,0,Failed to JIT create user.,user
master_application.user_membership.add,2018.06,0,0,User provisioned to app.,uncategorized
security.device.remove_request_blacklist_policy,2018.08,1,1,Removed request blacklist from request blacklist policies.,"device,security"
security.device.add_request_blacklist_policy,2018.08,1,1,Added request blacklist to request blacklist policies.,"device,security"
system.ldapi.search,2018.1,0,0,Fired when a user performs a SEARCH to LDAP Interface. Can be used to identify when a user attempted to perform a search on LDAP Interface for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.,ldapi
system.ldapi.unbind,2018.1,0,0,Fired when a user performs an UNBIND to LDAP Interface. Can be used to identify when a user attempted to end an LDAP Interface session for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.,ldapi
system.ldapi.bind,2018.1,0,0,Fired when a user performs a BIND to LDAP Interface. Can be used to identify when a user attempted to perform an LDAP authentication for audit or debugging purposes. Note that the firing of this event is subject to LDAPi event filtering rules.,ldapi
app.radius.agent.listener.failed,2018.13,0,0,Radius agent listener failed.,"app,radius"
app.radius.agent.listener.succeeded,2018.13,0,0,Radius agent listener succeeded.,"app,radius"
app.radius.agent.port_inaccessible,2018.13,0,0,Radius agent failed to listen on port.,"app,radius"
app.radius.agent.port_reaccessible,2018.13,0,0,Radius agent was able to listen on port again.,"app,radius"
policy.scheduled.execute,2018.15,0,0,Scheduled execution of policy.,policy
policy.execute.user.start,2018.15,0,0,Start execution of policy for user.,policy
task.lifecycle.activate,2018.15,1,1,Activated system task.,task
task.lifecycle.create,2018.15,1,1,Created system task.,task
task.lifecycle.deactivate,2018.15,1,1,Deactivated system task.,task
task.lifecycle.delete,2018.15,1,1,Deleted system task.,task
task.lifecycle.update,2018.15,1,1,Updated system task.,task
policy.rule.action.execute,2018.15,0,0,Scheduled execution of policy rule action.,policy
system.iwa_agentless.auth,2018.22,0,0,Agentless IWA authentication.,"iwa,system"
system.iwa_agentless.update,2018.22,0,0,Update to agentless IWA.,"iwa,system"
user.account.unlock_failure,2018.23,0,0,Failed to schedule unlock job for user.,"account,user"
user.account.update_secondary_email,2018.25,0,0,User secondary email updated.,"account,end-user-visible,user,user-config"
system.csv.import_user,2018.28,0,0,Import of user from CSV is skipped. Informs when import of a user from CSV has been skipped due to reasons such as missing required attributes or unknown unique identifier. This event is logged when import of a user is skipped during CSV directory import workflow for on-premises systems using Okta provisioning agent.,system
security.request.blocked,2018.32,0,1,Security request blocked.,security
system.org.rate_limit.expiration.warning,2018.35,0,0,Rate limit approaching expiration date.,system
system.billing.sms_usage_sent,2018.36,1,0,Indicates that a report for SMS usage was sent to the billing system.,"admin,billing"
app.office365.api.error.get.object.ids.by.group.id,2018.37,0,0,Could not get users by group id from your Office 365 instance received error.,office365-app
app.rum.config.validation.error,2018.42,0,0,Error validating instance configuration. Can be used to identify configuration issues with remote user management.,rum
application.provision.field_mapping_rule.change,2018.42,1,0,Event fired when field mapping rules modified. Can be used to make sure when custom mapping rules are modified.,field-mapping-rule-modification
app.rum.is.api.account.error,2018.42,0,0,RUM API account is not configured or empty. Can be used to identify RUM API account configuration issues.,rum
app.rum.package.thrown.error,2018.42,0,0,Errors during execution. Can be used to identify any errors during execution of remote user management.,rum
app.rum.validation.error,2018.42,0,0,Error during package validation. Can be used to identify validation issues with remote user management packages.,rum
application.cache.invalidate,2018.42,0,0,Event fired when a app list cache is invalidated because a new app is created. Can be used to make sure App List cache is invalidated after a new app is created.,invalidate-app-list-cache
system.import.user.match,2018.43,0,0,Assign user triggered by import process with callback. This event can be used to alter the matching result for a given imported user. This event is fired when the matching result is altered by the synchronous callback.,"import,system"
application.appuser.mapping.invalid.expression,2018.47,0,0,App user property mapping has invalid expressions. Can be used to identify invalid expressions. Note that a single event is fired for all invalid expressions.,app
user.account.report_suspicious_activity_by_enduser,2019.01.1,0,1,User reported suspicious activity. This event is used to identify user account suspicious activity.,"event-based-trigger-eligible,event-hook-eligible,user"
app.saml.sensitive.attribute.update,2019.01.1,0,0,Fired when a SAML assertion contains a sensitive attribute and that sensitive attribute has been updated (modified/added/deleted). This event does not fire when non-sensitive SAML attributes are updated. This can be used to audit that a sensitive attribute attached to an outbound SAML assertion has been correctly modified added or deleted. When fired this event contains the specific attributes that have been modified added or deleted to/from the SAML assertion. Related events include: application.lifecycle.update.,"app,cvd"
system.email.mfa_reset_notification.sent_message,2019.01.1,0,0,MFA reset notification email sent. Used to notify admins MFA reset notification email has been sent.,email
system.email.mfa_enroll_notification.sent_message,2019.01.1,0,0,MFA enrollment notification email sent. Used to notify admins MFA enrollment notification email has been sent.,email
system.import.clear.unconfirmed.users.summary,2019.01.1,0,0,Clear Unconfirmed Imported Users. Can be used for clearing unconfirmed imported users from last import result. Note that a single event is fired for clearing unconfirmed imported users instead of fire delete event on each user.,app
inline_hook.created,2019.01.2,1,1,Triggered when an inline hook has been created. Used to notify admins that an inline hook has been created. When triggered this events contains information about the created inline hook.,inline-hook
inline_hook.deactivated,2019.01.2,1,1,Triggered when an inline hook is deactivated. Used to identify when an inline hook lifecycle status was changed to deactivated. When triggered this events contains information about the deactivated inline hook.,inline-hook
inline_hook.deleted,2019.01.2,1,1,Triggered when an inline hook has been deleted. Used to notify admins that an inline hook has been deleted. When triggered this events contains information about the deleted inline hook.,inline-hook
inline_hook.executed,2019.01.2,1,1,Triggered when an inline hook has been executed. Used to notify admins about the outcome of execution of an inline hook. Note that the event is fired when the execution is unsuccessful.,inline-hook
inline_hook.response.processed,2019.01.2,0,0,Triggered after Okta has finished processing response from an inline hook. Used to notify admins about the outcome of processing response from an inline hook. Note that the event is fired even when the processing is unsuccessful.,inline-hook
inline_hook.updated,2019.01.2,1,1,Triggered when an inline hook has been modified. Used to notify admins that an inline hook has been updated. When triggered this events contains information about the updated inline hook.,inline-hook
inline_hook.activated,2019.01.2,1,1,Triggered when an inline hook in activated. Used to identify when an inline hook lifecycle status was changed to activated. When triggered this events contains information about the activated inline hook.,inline-hook
system.agent.ad.upload_iwa_log,2019.02.1,0,0,Fired when an AD agent has fetched and uploaded IWA agent log file. This event fires when the log file upload is successful or fails. This can be used to audit that logs files are being fetched successfully have been uploaded successfully and troubleshoot why an IWA log upload has failed. When fired this event indicates whether a log file upload has been successful or failed. This event also indicates whether the event was initiated by the Okta system or a user. Related events: none all debugging context is included in this event.,ad-agent
security.threat.detected,2019.02.2,0,1,Request from an IP identified as malicious by Okta ThreatInsight. This can be used to monitor and act on credential based attacks (such as Brute Force Password Spray) on your organization. The reasons why the request was classified as malicious can be found in the outcome.reason field. The outcome.result field will be 'ALLOW' or 'DENY' based on whether Okta Threat Insight is configured in log mode or log and block mode where 'ALLOW' means the request continued and 'DENY' means the request was blocked.,"security,threat-insight"
credential.register,2019.02.3,0,0,Fired when a credential is registered. This event fires when the registration of a credential is successful or fails. This can be used to audit that a credential has been successfully registered and troubleshoot why a credential registration attempt has failed.,user-factor
credential.revoke,2019.02.3,0,0,Fired when a credential is revoked. This event fires when the revocation of a credential is successful or fails. This can be used to audit that a credential has been successfully revoked and troubleshoot why a credential revocation attempt has failed.,user-factor
group.privilege.revoke,2019.03.0,1,0,Group's admin privilege revoked. This can be used to audit the deprovisioning of admin privileges from groups. When fired this event indicates the group has no more admin privileges. All of group's privileges were revoked.  Related events include: GROUP_PRIVILEGE_GRANT.,"event-hook-eligible,group"
group.privilege.grant,2019.03.0,1,1,Group's admin privilege granted. This can be used to audit the provisioning of admin privileges for groups. When fired this event contains information about the type of admin privileges the group currently has and what entity sources the group. The group granted privileges can be an Okta sourced group and AD-sourced group or an LDAP-sourced group Related events include: GROUP_PRIVILEGE_REVOKE.,"event-hook-eligible,group"
