Type,Description,TechniqueIdCombined,Technique,"Data_Component","Data_Component_Description"
Detection,,"T1218.002","Control Panel","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1218.002","Control Panel","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1218.002","Control Panel","OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1218.002","Control Panel","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1218.002","Control Panel","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,T1136,"Create Account","User Account Creation","Initial construction of a new account (ex: Windows EID 4720 or /etc/passwd logs)"
Detection,,T1136,"Create Account","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1136,"Create Account","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1578.002","Create Cloud Instance","Instance Creation","Initial construction of a new instance (ex: instance.insert within GCP Audit Logs)"
Detection,,"T1134.002","Create Process with Token","OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1134.002","Create Process with Token","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1578.001","Create Snapshot","Snapshot Creation","Initial construction of a new snapshot (ex: AWS create-snapshot)"
Detection,,T1543,"Create or Modify System Process","Service Creation","Initial construction of a new service/daemon (ex: Windows EID 4697 or /var/log daemon logs)"
Detection,,T1543,"Create or Modify System Process","Service Modification","Changes made to a service/daemon, such as changes to name, description, and/or start type (ex: Windows EID 7040 or /var/log daemon logs)"
Detection,,T1543,"Create or Modify System Process","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1543,"Create or Modify System Process","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1543,"Create or Modify System Process","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1543,"Create or Modify System Process","Windows Registry Key Creation","Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12)"
Detection,,T1543,"Create or Modify System Process","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,T1543,"Create or Modify System Process","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,T1543,"Create or Modify System Process","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1056.004","Credential API Hooking","OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1056.004","Credential API Hooking","Process Metadata","Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc."
Detection,,"T1110.004","Credential Stuffing","User Account Authentication","An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4625 or /var/log/auth.log)"
Detection,,"T1110.004","Credential Stuffing","Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
Detection,,"T1552.001","Credentials In Files","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,"T1552.001","Credentials In Files","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1555,"Credentials from Password Stores","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1555,"Credentials from Password Stores","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1555,"Credentials from Password Stores","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1555,"Credentials from Password Stores","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1555,"Credentials from Password Stores","Process Access","Opening of a process by another process, typically to read memory of the target process (ex: Sysmon EID 10)"
Detection,,"T1555.003","Credentials from Web Browsers","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,"T1555.003","Credentials from Web Browsers","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1555.003","Credentials from Web Browsers","OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1555.003","Credentials from Web Browsers","Process Access","Opening of a process by another process, typically to read memory of the target process (ex: Sysmon EID 10)"
Detection,,"T1552.002","Credentials in Registry","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1552.002","Credentials in Registry","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1552.002","Credentials in Registry","Windows Registry Key Access","Opening a Registry Key, typically to read the associated value (ex: Windows EID 4656)"
Detection,,"T1053.003",Cron,"Scheduled Job Creation","Initial construction of a new scheduled job (ex: Windows EID 4698 or /var/log cron logs)"
Detection,,"T1053.003",Cron,"Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1053.003",Cron,"File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1053.003",Cron,"Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1003.006",DCSync,"Active Directory Object Access","Opening of an active directory object, typically to collect/read its value (ex: Windows EID 4661)"
Detection,,"T1003.006",DCSync,"Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,"T1003.006",DCSync,"Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1574.001","DLL Search Order Hijacking","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1574.001","DLL Search Order Hijacking","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1574.001","DLL Search Order Hijacking","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1574.002","DLL Side-Loading","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1574.002","DLL Side-Loading","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1574.002","DLL Side-Loading","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1574.002","DLL Side-Loading","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1071.004",DNS,"Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,"T1071.004",DNS,"Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1568.003","DNS Calculation","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1584.002","DNS Server","Active DNS","Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries)"
Detection,,"T1584.002","DNS Server","Passive DNS","Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS)"
Detection,,T1485,"Data Destruction","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1485,"Data Destruction","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1485,"Data Destruction","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1485,"Data Destruction","File Deletion","Removal of a file (ex: Sysmon EID 23)"
Detection,,T1485,"Data Destruction","Image Deletion","Removal of a virtual machine image (ex: Azure Compute Service Images DELETE)"
Detection,,T1485,"Data Destruction","Instance Deletion","Removal of an instance (ex: instance.delete within GCP Audit Logs)"
Detection,,T1485,"Data Destruction","Snapshot Deletion","Removal of a snapshot (ex: AWS delete-snapshot)"
Detection,,T1485,"Data Destruction","Cloud Storage Deletion","Removal of cloud storage infrastructure (ex: AWS S3 DeleteBucket)"
Detection,,T1485,"Data Destruction","Volume Deletion","Removal of a a cloud volume (ex: AWS delete-volume)"
Detection,,T1132,"Data Encoding","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1486,"Data Encrypted for Impact","Cloud Storage Metadata","Contextual data about cloud storage infrastructure and activity around it such as name, size, or owner"
Detection,,T1486,"Data Encrypted for Impact","Cloud Storage Modification","Changes made to cloud storage infrastructure, including its settings and/or data (ex: AWS S3 PutObject or PutObjectAcl)"
Detection,,T1486,"Data Encrypted for Impact","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1486,"Data Encrypted for Impact","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1486,"Data Encrypted for Impact","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1486,"Data Encrypted for Impact","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,T1565,"Data Manipulation","File Metadata","Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc."
Detection,,T1565,"Data Manipulation","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1565,"Data Manipulation","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,T1565,"Data Manipulation","File Deletion","Removal of a file (ex: Sysmon EID 23)"
Detection,,T1565,"Data Manipulation","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1565,"Data Manipulation","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1565,"Data Manipulation","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,T1001,"Data Obfuscation","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1074,"Data Staged","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1074,"Data Staged","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,T1074,"Data Staged","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1030,"Data Transfer Size Limits","Network Connection Creation","Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)"
Detection,,T1030,"Data Transfer Size Limits","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,T1530,"Data from Cloud Storage Object","Cloud Storage Access","Opening of a cloud storage infrastructure, typically to collect/read its value (ex: AWS S3 GetObject)"
Detection,,T1602,"Data from Configuration Repository","Network Connection Creation","Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)"
Detection,,T1602,"Data from Configuration Repository","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1213,"Data from Information Repositories","Logon Session Creation","Initial construction of a new user logon session (ex: Windows EID 4624, /var/log/utmp, or /var/log/wmtp)"
Detection,,T1213,"Data from Information Repositories","Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
Detection,,T1005,"Data from Local System","Script Execution","Launching a list of commands through a script file (ex: Windows EID 4104)"
Detection,,T1005,"Data from Local System","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1005,"Data from Local System","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1039,"Data from Network Shared Drive","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1039,"Data from Network Shared Drive","Network Share Access","Opening a network share, which makes the contents available to the requestor (ex: Windows EID 5140 or 5145)"
Detection,,T1039,"Data from Network Shared Drive","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1025,"Data from Removable Media","File Access","Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)"
Detection,,T1025,"Data from Removable Media","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1102.001","Dead Drop Resolver","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,"T1102.001","Dead Drop Resolver","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,T1491,Defacement,"File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1491,Defacement,"File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,T1491,Defacement,"Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
Detection,,T1491,Defacement,"Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1078.001","Default Accounts","User Account Authentication","An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4625 or /var/log/auth.log)"
Detection,,"T1078.001","Default Accounts","Logon Session Creation","Initial construction of a new user logon session (ex: Windows EID 4624, /var/log/utmp, or /var/log/wmtp)"
Detection,,"T1578.003","Delete Cloud Instance","Instance Deletion","Removal of an instance (ex: instance.delete within GCP Audit Logs)"
Detection,,T1140,"Deobfuscate/Decode Files or Information","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1140,"Deobfuscate/Decode Files or Information","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,T1140,"Deobfuscate/Decode Files or Information","Script Execution","Launching a list of commands through a script file (ex: Windows EID 4104)"
Detection,,T1610,"Deploy Container","Container Creation","Initial construction of a new container (ex: docker create <container_name>)"
Detection,,T1610,"Deploy Container","Container Start","Activation or invocation of a container (ex: docker start or docker restart)"
Detection,,T1610,"Deploy Container","Pod Creation","Initial construction of a new pod (ex: kubectl apply|run)"
Detection,,T1610,"Deploy Container","Pod Modification","Changes made to a pod, including its settings and/or control data (ex: kubectl set|patch|edit)"
Detection,,T1610,"Deploy Container","Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
Detection,,T1587,"Develop Capabilities","Malware Metadata","Contextual data about a malicious payload, such as compilation times, file hashes, as well as watermarks or other identifiable configuration information"
Detection,,T1587,"Develop Capabilities","Malware Content","Code, strings, and other signatures that compromise a malicious payload"
Detection,,T1587,"Develop Capabilities","Response Content","Logged network traffic in response to a scan showing both protocol header and body values"
Detection,,"T1587.003","Digital Certificates","Response Content","Logged network traffic in response to a scan showing both protocol header and body values"
Detection,,"T1588.004","Digital Certificates","Certificate Registration","Queried or logged information highlighting current and expired digital certificates (ex: Certificate transparency)"
Detection,,"T1588.004","Digital Certificates","Response Content","Logged network traffic in response to a scan showing both protocol header and body values"
Detection,,"T1498.001","Direct Network Flood","Host Status","Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)"
Detection,,"T1498.001","Direct Network Flood","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,T1006,"Direct Volume Access","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1006,"Direct Volume Access","Drive Access","Opening of a data storage device with an assigned drive letter or mount point"
Detection,,"T1562.008","Disable Cloud Logs","Cloud Service Modification","Changes made to a cloud service, including its settings and/or data (ex: AWS CloudTrail DeleteTrail or DeleteConfigRule)"
Detection,,"T1562.008","Disable Cloud Logs","Cloud Service Disable","Deactivation or stoppage of a cloud service (ex: AWS Cloudtrail StopLogging)"
Detection,,"T1600.002","Disable Crypto Hardware","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1562.002","Disable Windows Event Logging","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1562.002","Disable Windows Event Logging","Script Execution","Launching a list of commands through a script file (ex: Windows EID 4104)"
Detection,,"T1562.002","Disable Windows Event Logging","Windows Registry Key Creation","Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12)"
Detection,,"T1562.002","Disable Windows Event Logging","Application Log Content","Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)"
Detection,,"T1562.002","Disable Windows Event Logging","Host Status","Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)"
Detection,,"T1562.002","Disable Windows Event Logging","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1562.007","Disable or Modify Cloud Firewall","Firewall Rule Modification","Changes made to a firewall rule, typically to allow/block specific network traffic (ex: Windows EID 4950 or Write/Delete entries within Azure Firewall Rule Collection Activity Logs)"
Detection,,"T1562.007","Disable or Modify Cloud Firewall","Firewall Disable","Deactivation or stoppage of a cloud service (ex: Write/Delete entries within Azure Firewall Activity Logs)"
Detection,,"T1562.004","Disable or Modify System Firewall","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1562.004","Disable or Modify System Firewall","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1562.004","Disable or Modify System Firewall","Firewall Disable","Deactivation or stoppage of a cloud service (ex: Write/Delete entries within Azure Firewall Activity Logs)"
Detection,,"T1562.004","Disable or Modify System Firewall","Firewall Rule Modification","Changes made to a firewall rule, typically to allow/block specific network traffic (ex: Windows EID 4950 or Write/Delete entries within Azure Firewall Rule Collection Activity Logs)"
Detection,,"T1562.001","Disable or Modify Tools","Process Termination","Exit of a running process (ex: Sysmon EID 5 or Windows EID 4689)"
Detection,,"T1562.001","Disable or Modify Tools","Windows Registry Key Modification","Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)"
Detection,,"T1562.001","Disable or Modify Tools","Windows Registry Key Deletion","Removal of a Registry Key (ex: Windows EID 4658 or Sysmon EID 12)"
Detection,,"T1562.001","Disable or Modify Tools","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1562.001","Disable or Modify Tools","Service Metadata","Contextual data about a service/daemon, which may include information such as name, service executable, start type, etc."
Detection,,"T1562.001","Disable or Modify Tools","Host Status","Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)"
Detection,,"T1561.001","Disk Content Wipe","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1561.001","Disk Content Wipe","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1561.001","Disk Content Wipe","Driver Load","Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6)"
Detection,,"T1561.001","Disk Content Wipe","Drive Access","Opening of a data storage device with an assigned drive letter or mount point"
Detection,,"T1561.001","Disk Content Wipe","Drive Modification","Changes made to a drive letter or mount point of a data storage device"
Detection,,"T1561.002","Disk Structure Wipe","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1561.002","Disk Structure Wipe","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1561.002","Disk Structure Wipe","Driver Load","Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6)"
Detection,,"T1561.002","Disk Structure Wipe","Drive Access","Opening of a data storage device with an assigned drive letter or mount point"
Detection,,"T1561.002","Disk Structure Wipe","Drive Modification","Changes made to a drive letter or mount point of a data storage device"
Detection,,T1561,"Disk Wipe","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1561,"Disk Wipe","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1561,"Disk Wipe","Driver Load","Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6)"
Detection,,T1561,"Disk Wipe","Drive Access","Opening of a data storage device with an assigned drive letter or mount point"
Detection,,T1561,"Disk Wipe","Drive Modification","Changes made to a drive letter or mount point of a data storage device"
Detection,,"T1021.003","Distributed Component Object Model","Module Load","Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)"
Detection,,"T1021.003","Distributed Component Object Model","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1021.003","Distributed Component Object Model","Network Connection Creation","Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)"
Detection,,"T1136.002","Domain Account","User Account Creation","Initial construction of a new account (ex: Windows EID 4720 or /etc/passwd logs)"
Detection,,"T1136.002","Domain Account","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1136.002","Domain Account","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1087.002","Domain Account","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1087.002","Domain Account","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1078.002","Domain Accounts","Logon Session Metadata","Contextual data about a logon session, such as username, logon type, access tokens (security context, user SIDs, logon identifiers, and logon SID), and any activity associated within it"
Detection,,"T1078.002","Domain Accounts","User Account Authentication","An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4625 or /var/log/auth.log)"
Detection,,"T1078.002","Domain Accounts","Logon Session Creation","Initial construction of a new user logon session (ex: Windows EID 4624, /var/log/utmp, or /var/log/wmtp)"
Detection,,"T1556.001","Domain Controller Authentication","Logon Session Creation","Initial construction of a new user logon session (ex: Windows EID 4624, /var/log/utmp, or /var/log/wmtp)"
Detection,,"T1556.001","Domain Controller Authentication","OS API Execution","Operating system function/method calls executed by a process"
Detection,,"T1556.001","Domain Controller Authentication","Process Access","Opening of a process by another process, typically to read memory of the target process (ex: Sysmon EID 10)"
Detection,,"T1556.001","Domain Controller Authentication","File Modification","Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)"
Detection,,"T1090.004","Domain Fronting","Network Traffic Content","Logged network traffic data showing both protocol header and body values (ex: PCAP)"
Detection,,"T1568.002","Domain Generation Algorithms","Network Traffic Flow","Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)"
Detection,,"T1568.002","Domain Generation Algorithms","Network Connection Creation","Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)"
Detection,,"T1069.002","Domain Groups","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,"T1069.002","Domain Groups","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1484,"Domain Policy Modification","Active Directory Object Creation","Initial construction of a new active directory object (ex: Windows EID 5137)"
Detection,,T1484,"Domain Policy Modification","Active Directory Object Deletion","Removal of an active directory object (ex: Windows EID 5141)"
Detection,,T1484,"Domain Policy Modification","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,T1484,"Domain Policy Modification","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1482,"Domain Trust Discovery","Process Creation","Birth of a new running process (ex: Sysmon EID 1 or Windows EID 4688)"
Detection,,T1482,"Domain Trust Discovery","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,T1482,"Domain Trust Discovery","OS API Execution","Operating system function/method calls executed by a process"
Detection,,T1482,"Domain Trust Discovery","Script Execution","Launching a list of commands through a script file (ex: Windows EID 4104)"
Detection,,"T1484.002","Domain Trust Modification","Active Directory Object Creation","Initial construction of a new active directory object (ex: Windows EID 5137)"
Detection,,"T1484.002","Domain Trust Modification","Active Directory Object Modification","Changes made to an active directory object (ex: Windows EID 5163 or 5136)"
Detection,,"T1484.002","Domain Trust Modification","Command Execution","Invoking a computer program directive to perform a specific task (ex: Windows EID 4688 of cmd.exe showing command-line parameters, ~/.bash_history, or ~/.zsh_history)"
Detection,,"T1583.001",Domains,"Active DNS","Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries)"
Detection,,"T1583.001",Domains,"Passive DNS","Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS)"
Detection,,"T1583.001",Domains,"Domain Registration","Information about domain name assignments and other domain metadata (ex: WHOIS)"
Detection,,"T1584.001",Domains,"Active DNS","Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries)"
Detection,,"T1584.001",Domains,"Passive DNS","Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS)"
Detection,,"T1584.001",Domains,"Domain Registration","Information about domain name assignments and other domain metadata (ex: WHOIS)"
Detection,,"T1036.007","Double File Extension","File Creation","Initial construction of a new file (ex: Sysmon EID 11)"
Detection,,"T1036.007","Double File Extension","File Metadata","Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc."
