"Threat_Group",Industry,Description,Alias,Id,"__mv_Threat_Group","__mv_Industry","__mv_Description","__mv_Alias","__mv_Id"
MuddyWater,"Critical Infrastructure
Government
Petroleum
Telecommunications
Water","[MuddyWater](https://attack.mitre.org/groups/G0069) is an Iranian threat group that has primarily targeted Middle Eastern nations, and has also targeted European and North American nations. The group's victims are mainly in the telecommunications, government (IT services), and oil sectors. Activity from this group was previously linked to [FIN7](https://attack.mitre.org/groups/G0046), but the group is believed to be a distinct group possibly motivated by espionage.(Citation: Unit 42 MuddyWater Nov 2017)(Citation: Symantec MuddyWater Dec 2018)(Citation: ClearSky MuddyWater Nov 2018)(Citation: ClearSky MuddyWater June 2019)(Citation: Reaqta MuddyWater November 2017)","MuddyWater
Earth Vetala 
MERCURY
Static Kitten
Seedworm
TEMP.Zagros",G0069,,"$Critical Infrastructure$;$Government$;$Petroleum$;$Telecommunications$;$Water$",,"$MuddyWater$;$Earth Vetala $;$MERCURY$;$Static Kitten$;$Seedworm$;$TEMP.Zagros$",
"Night Dragon","-","[Night Dragon](https://attack.mitre.org/groups/G0014) is a campaign name for activity involving a threat group that has conducted activity originating primarily in China. (Citation: McAfee Night Dragon)","Night Dragon",G0014,,,,,
"Dark Caracal","-","[Dark Caracal](https://attack.mitre.org/groups/G0070) is threat group that has been attributed to the Lebanese General Directorate of General Security (GDGS) and has operated since at least 2012. (Citation: Lookout Dark Caracal Jan 2018)","Dark Caracal",G0070,,,,,
Elderwood,"Defense
Government
Human Rights
Manufacturing
Nonprofit","[Elderwood](https://attack.mitre.org/groups/G0066) is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. (Citation: Security Affairs Elderwood Sept 2012) The group has targeted defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers. (Citation: Symantec Elderwood Sept 2012) (Citation: CSM Elderwood Sept 2012)","Elderwood
Elderwood Gang
Beijing Group
Sneaky Panda",G0066,,"$Defense$;$Government$;$Human Rights$;$Manufacturing$;$Nonprofit$",,"$Elderwood$;$Elderwood Gang$;$Beijing Group$;$Sneaky Panda$",
"Transparent Tribe",Defense,"[Transparent Tribe](https://attack.mitre.org/groups/G0134) is a suspected Pakistan-based threat group that has been active since at least 2013, primarily targeting diplomatic, defense, and research organizations in India and Afghanistan.(Citation: Proofpoint Operation Transparent Tribe March 2016)(Citation: Kaspersky Transparent Tribe August 2020)(Citation: Talos Transparent Tribe May 2021)","Transparent Tribe
COPPER FIELDSTONE
APT36
Mythic Leopard
ProjectM",G0134,,,,"$Transparent Tribe$;$COPPER FIELDSTONE$;$APT36$;$Mythic Leopard$;$ProjectM$",
"Stealth Falcon",Government,"[Stealth Falcon](https://attack.mitre.org/groups/G0038) is a threat group that has conducted targeted spyware attacks against Emirati journalists, activists, and dissidents since at least 2012. Circumstantial evidence suggests there could be a link between this group and the United Arab Emirates (UAE) government, but that has not been confirmed. (Citation: Citizen Lab Stealth Falcon May 2016)","Stealth Falcon",G0038,,,,,
APT19,"Defense
Education
Energy
Financial
Information And Communications Technology
Legal Services
Manufacturing
Pharmaceutical
Telecommunications","[APT19](https://attack.mitre.org/groups/G0073) is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. (Citation: FireEye APT19) Some analysts track [APT19](https://attack.mitre.org/groups/G0073) and [Deep Panda](https://attack.mitre.org/groups/G0009) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016) (Citation: FireEye APT Groups) (Citation: Unit 42 C0d0so0 Jan 2016)","APT19
Codoso
C0d0so0
Codoso Team
Sunshop Group",G0073,,"$Defense$;$Education$;$Energy$;$Financial$;$Information And Communications Technology$;$Legal Services$;$Manufacturing$;$Pharmaceutical$;$Telecommunications$",,"$APT19$;$Codoso$;$C0d0so0$;$Codoso Team$;$Sunshop Group$",
Molerats,"-","[Molerats](https://attack.mitre.org/groups/G0021) is an Arabic-speaking, politically-motivated threat group that has been operating since 2012. The group's victims have primarily been in the Middle East, Europe, and the United States.(Citation: DustySky)(Citation: DustySky2)(Citation: Kaspersky MoleRATs April 2019)(Citation: Cybereason Molerats Dec 2020)","Molerats
Operation Molerats
Gaza Cybergang",G0021,,,,"$Molerats$;$Operation Molerats$;$Gaza Cybergang$",
"Tropic Trooper","Government
Healthcare
Hospital
Information And Communications Technology
Transportation","[Tropic Trooper](https://attack.mitre.org/groups/G0081) is an unaffiliated threat group that has led targeted campaigns against targets in Taiwan, the Philippines, and Hong Kong. [Tropic Trooper](https://attack.mitre.org/groups/G0081) focuses on targeting government, healthcare, transportation, and high-tech industries and has been active since 2011.(Citation: TrendMicro Tropic Trooper Mar 2018)(Citation: Unit 42 Tropic Trooper Nov 2016)(Citation: TrendMicro Tropic Trooper May 2020)","Tropic Trooper
Pirate Panda
KeyBoy",G0081,,"$Government$;$Healthcare$;$Hospital$;$Information And Communications Technology$;$Transportation$",,"$Tropic Trooper$;$Pirate Panda$;$KeyBoy$",
Patchwork,"Government
Think Tank","[Patchwork](https://attack.mitre.org/groups/G0040) is a cyberespionage group that was first observed in December 2015. While the group has not been definitively attributed, circumstantial evidence suggests the group may be a pro-Indian or Indian entity. [Patchwork](https://attack.mitre.org/groups/G0040) has been seen targeting industries related to diplomatic and government agencies. Much of the code used by this group was copied and pasted from online forums. [Patchwork](https://attack.mitre.org/groups/G0040) was also seen operating spearphishing campaigns targeting U.S. think tank groups in March and April of 2018. (Citation: Cymmetria Patchwork) (Citation: Symantec Patchwork) (Citation: TrendMicro Patchwork Dec 2017) (Citation: Volexity Patchwork June 2018)","Patchwork
Hangover Group
Dropping Elephant
Chinastrats
MONSOON
Operation Hangover",G0040,,"$Government$;$Think Tank$",,"$Patchwork$;$Hangover Group$;$Dropping Elephant$;$Chinastrats$;$MONSOON$;$Operation Hangover$",
APT33,"Aviation
Energy","[APT33](https://attack.mitre.org/groups/G0064) is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States, Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors. (Citation: FireEye APT33 Sept 2017) (Citation: FireEye APT33 Webinar Sept 2017)","APT33
HOLMIUM
Elfin",G0064,,"$Aviation$;$Energy$",,"$APT33$;$HOLMIUM$;$Elfin$",
Sharpshooter,"Defense
Energy
Financial
Nuclear","Operation [Sharpshooter](https://attack.mitre.org/groups/G0104) is the name of a cyber espionage campaign discovered in October 2018 targeting nuclear, defense, energy, and financial companies. Though overlaps between this adversary and [Lazarus Group](https://attack.mitre.org/groups/G0032) have been noted, definitive links have not been established.(Citation: McAfee Sharpshooter December 2018)",Sharpshooter,G0104,,"$Defense$;$Energy$;$Financial$;$Nuclear$",,,
FIN6,"Food
Lodging
Retail","[FIN6](https://attack.mitre.org/groups/G0037) is a cyber crime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors.(Citation: FireEye FIN6 April 2016)(Citation: FireEye FIN6 Apr 2019)","FIN6
Magecart Group 6
SKELETON SPIDER
ITG08",G0037,,"$Food$;$Lodging$;$Retail$",,"$FIN6$;$Magecart Group 6$;$SKELETON SPIDER$;$ITG08$",
"The White Company","Defense
Government","[The White Company](https://attack.mitre.org/groups/G0089) is a likely state-sponsored threat actor with advanced capabilities. From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan.(Citation: Cylance Shaheen Nov 2018)","The White Company",G0089,,"$Defense$;$Government$",,,
menuPass,"Aerospace
Biotechnology
Defense
Education
Energy
Government
Healthcare
Hospital
Information And Communications Technology
Logistics And Shipping
Manufacturing
Maritime
Mining
Research","[menuPass](https://attack.mitre.org/groups/G0045) is a threat group that has been active since at least 2006. Individual members of [menuPass](https://attack.mitre.org/groups/G0045) are known to have acted in association with the Chinese Ministry of State Security's (MSS) Tianjin State Security Bureau and worked for the Huaying Haitai Science and Technology Development Company.(Citation: DOJ APT10 Dec 2018)(Citation: District Court of NY APT10 Indictment December 2018)

[menuPass](https://attack.mitre.org/groups/G0045) has targeted healthcare, defense, aerospace, finance, maritime, biotechnology, energy, and government sectors globally, with an emphasis on Japanese organizations. In 2016 and 2017, the group is known to have targeted managed IT service providers (MSPs), manufacturing and mining companies, and a university.(Citation: Palo Alto menuPass Feb 2017)(Citation: Crowdstrike CrowdCast Oct 2013)(Citation: FireEye Poison Ivy)(Citation: PWC Cloud Hopper April 2017)(Citation: FireEye APT10 April 2017)(Citation: DOJ APT10 Dec 2018)(Citation: District Court of NY APT10 Indictment December 2018)","menuPass
Cicada
POTASSIUM
Stone Panda
APT10
Red Apollo
CVNX
HOGFISH",G0045,,"$Aerospace$;$Biotechnology$;$Defense$;$Education$;$Energy$;$Government$;$Healthcare$;$Hospital$;$Information And Communications Technology$;$Logistics And Shipping$;$Manufacturing$;$Maritime$;$Mining$;$Research$",,"$menuPass$;$Cicada$;$POTASSIUM$;$Stone Panda$;$APT10$;$Red Apollo$;$CVNX$;$HOGFISH$",
Naikon,"Defense
Government","[Naikon](https://attack.mitre.org/groups/G0019) is assessed to be a state-sponsored cyber espionage group attributed to the Chinese People’s Liberation Army’s (PLA) Chengdu Military Region Second Technical Reconnaissance Bureau (Military Unit Cover Designator 78020).(Citation: CameraShy) Active since at least 2010, [Naikon](https://attack.mitre.org/groups/G0019) has primarily conducted operations against government, military, and civil organizations in Southeast Asia, as well as against international bodies such as the United Nations Development Programme (UNDP) and the Association of Southeast Asian Nations (ASEAN).(Citation: CameraShy)(Citation: Baumgartner Naikon 2015) 

While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches.(Citation: Baumgartner Golovkin Naikon 2015)",Naikon,G0019,,"$Defense$;$Government$",,,
Sidewinder,"Defense
Government","[Sidewinder](https://attack.mitre.org/groups/G0121) is a suspected Indian threat actor group that has been active since at least 2012. They have been observed targeting government, military, and business entities throughout Asia, primarily focusing on Pakistan, China, Nepal, and Afghanistan.(Citation: ATT Sidewinder January 2021)(Citation: Securelist APT Trends April 2018)(Citation: Cyble Sidewinder September 2020)","Sidewinder
T-APT-04
Rattlesnake",G0121,,"$Defense$;$Government$",,"$Sidewinder$;$T-APT-04$;$Rattlesnake$",
"Ferocious Kitten","-","[Ferocious Kitten](https://attack.mitre.org/groups/G0137) is a threat group that has primarily targeted Persian-speaking individuals in Iran since at least 2015.(Citation: Kaspersky Ferocious Kitten Jun 2021)","Ferocious Kitten",G0137,,,,,
Rocke,"-","[Rocke](https://attack.mitre.org/groups/G0106) is an alleged Chinese-speaking adversary whose primary objective appeared to be cryptojacking, or stealing victim system resources for the purposes of mining cryptocurrency. The name [Rocke](https://attack.mitre.org/groups/G0106) comes from the email address ""rocke@live.cn"" used to create the wallet which held collected cryptocurrency. Researchers have detected overlaps between [Rocke](https://attack.mitre.org/groups/G0106) and the Iron Cybercrime Group, though this attribution has not been confirmed.(Citation: Talos Rocke August 2018)",Rocke,G0106,,,,,
APT32,Government,"[APT32](https://attack.mitre.org/groups/G0050) is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims.(Citation: FireEye APT32 May 2017)(Citation: Volexity OceanLotus Nov 2017)(Citation: ESET OceanLotus)","APT32
SeaLotus
OceanLotus
APT-C-00",G0050,,,,"$APT32$;$SeaLotus$;$OceanLotus$;$APT-C-00$",
"admin@338","Financial
Think Tank","[admin@338](https://attack.mitre.org/groups/G0018) is a China-based cyber threat group. It has previously used newsworthy events as lures to deliver malware and has primarily targeted organizations involved in financial, economic, and trade policy, typically using publicly available RATs such as [PoisonIvy](https://attack.mitre.org/software/S0012), as well as some non-public backdoors. (Citation: FireEye admin@338)","admin@338",G0018,,"$Financial$;$Think Tank$",,,
FIN7,"Food
Lodging
Retail","[FIN7](https://attack.mitre.org/groups/G0046) is a financially-motivated threat group that has been active since 2013 primarily targeting the U.S. retail, restaurant, and hospitality sectors, often using point-of-sale malware. A portion of [FIN7](https://attack.mitre.org/groups/G0046) was run out of a front company called Combi Security. Since 2020 [FIN7](https://attack.mitre.org/groups/G0046) shifted operations to a big game hunting (BGH) approach including use of [REvil](https://attack.mitre.org/software/S0496) ransomware and their own Ransomware as a Service (RaaS), Darkside. [FIN7](https://attack.mitre.org/groups/G0046) may be linked to the [Carbanak](https://attack.mitre.org/groups/G0008) Group, but there appears to be several groups using [Carbanak](https://attack.mitre.org/software/S0030) malware and are therefore tracked separately.(Citation: FireEye FIN7 March 2017)(Citation: FireEye FIN7 April 2017)(Citation: FireEye CARBANAK June 2017)(Citation: FireEye FIN7 Aug 2018)(Citation: CrowdStrike Carbon Spider August 2021)","FIN7
GOLD NIAGARA
ITG14
Carbon Spider",G0046,,"$Food$;$Lodging$;$Retail$",,"$FIN7$;$GOLD NIAGARA$;$ITG14$;$Carbon Spider$",
Taidoor,"-","[Taidoor](https://attack.mitre.org/groups/G0015) has been deprecated, as the only technique it was linked to was deprecated in ATT&CK v7.",Taidoor,G0015,,,,,
Dragonfly,"Aviation
Critical Infrastructure
Defense
Government","[Dragonfly](https://attack.mitre.org/groups/G0035) is a cyber espionage group that has been attributed to Russia's Federal Security Service (FSB) Center 16.(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022) Active since at least 2010, [Dragonfly](https://attack.mitre.org/groups/G0035) has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks.(Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Symantec Dragonfly Sept 2017)(Citation: Fortune Dragonfly 2.0 Sept 2017)(Citation: Gigamon Berserk Bear October 2021)(Citation: CISA AA20-296A Berserk Bear December 2020)(Citation: Symantec Dragonfly 2.0 October 2017)","Dragonfly
TEMP.Isotope
DYMALLOY
Berserk Bear
TG-4192
Crouching Yeti
IRON LIBERTY
Energetic Bear",G0035,,"$Aviation$;$Critical Infrastructure$;$Defense$;$Government$",,"$Dragonfly$;$TEMP.Isotope$;$DYMALLOY$;$Berserk Bear$;$TG-4192$;$Crouching Yeti$;$IRON LIBERTY$;$Energetic Bear$",
APT1,"-","[APT1](https://attack.mitre.org/groups/G0006) is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)","APT1
Comment Crew
Comment Group
Comment Panda",G0006,,,,"$APT1$;$Comment Crew$;$Comment Group$;$Comment Panda$",
APT28,"Chemical
Nuclear","[APT28](https://attack.mitre.org/groups/G0007) is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165.(Citation: NSA/FBI Drovorub August 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021) This group has been active since at least 2004.(Citation: DOJ GRU Indictment Jul 2018)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Crowdstrike DNC June 2016)(Citation: FireEye APT28)(Citation: SecureWorks TG-4127)(Citation: FireEye APT28 January 2017)(Citation: GRIZZLY STEPPE JAR)(Citation: Sofacy DealersChoice)(Citation: Palo Alto Sofacy 06-2018)(Citation: Symantec APT28 Oct 2018)(Citation: ESET Zebrocy May 2019)

[APT28](https://attack.mitre.org/groups/G0007) reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. (Citation: Crowdstrike DNC June 2016) In 2018, the US indicted five GRU Unit 26165 officers associated with [APT28](https://attack.mitre.org/groups/G0007) for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations.(Citation: US District Court Indictment GRU Oct 2018) Some of these were conducted with the assistance of GRU Unit 74455, which is also referred to as [Sandworm Team](https://attack.mitre.org/groups/G0034). ","APT28
IRON TWILIGHT
SNAKEMACKEREL
Swallowtail
Group 74
Sednit
Sofacy
Pawn Storm
Fancy Bear
STRONTIUM
Tsar Team
Threat Group-4127
TG-4127",G0007,,"$Chemical$;$Nuclear$",,"$APT28$;$IRON TWILIGHT$;$SNAKEMACKEREL$;$Swallowtail$;$Group 74$;$Sednit$;$Sofacy$;$Pawn Storm$;$Fancy Bear$;$STRONTIUM$;$Tsar Team$;$Threat Group-4127$;$TG-4127$",
PROMETHIUM,"-","[PROMETHIUM](https://attack.mitre.org/groups/G0056) is an activity group focused on espionage that has been active since at least 2012. The group has conducted operations globally with a heavy emphasis on Turkish targets. [PROMETHIUM](https://attack.mitre.org/groups/G0056) has demonstrated similarity to another activity group called [NEODYMIUM](https://attack.mitre.org/groups/G0055) due to overlapping victim and campaign characteristics.(Citation: Microsoft NEODYMIUM Dec 2016)(Citation: Microsoft SIR Vol 21)(Citation: Talos Promethium June 2020)","PROMETHIUM
StrongPity",G0056,,,,"$PROMETHIUM$;$StrongPity$",
"BRONZE BUTLER","Biotechnology
Chemical
Electronics And Hardware
Government
Information And Communications Technology
Manufacturing","[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry.(Citation: Trend Micro Daserf Nov 2017)(Citation: Secureworks BRONZE BUTLER Oct 2017)(Citation: Trend Micro Tick November 2019)","BRONZE BUTLER
REDBALDKNIGHT
Tick",G0060,,"$Biotechnology$;$Chemical$;$Electronics And Hardware$;$Government$;$Information And Communications Technology$;$Manufacturing$",,"$BRONZE BUTLER$;$REDBALDKNIGHT$;$Tick$",
"Blue Mockingbird","-","[Blue Mockingbird](https://attack.mitre.org/groups/G0108) is a cluster of observed activity involving Monero cryptocurrency-mining payloads in dynamic-link library (DLL) form on Windows systems. The earliest observed Blue Mockingbird tools were created in December 2019.(Citation: RedCanary Mockingbird May 2020)","Blue Mockingbird",G0108,,,,,
ZIRCONIUM,Government,"[ZIRCONIUM](https://attack.mitre.org/groups/G0128) is a threat group operating out of China, active since at least 2017, that has targeted individuals associated with the 2020 US presidential election and prominent leaders in the international affairs community.(Citation: Microsoft Targeting Elections September 2020)(Citation: Check Point APT31 February 2021)","ZIRCONIUM
APT31",G0128,,,,"$ZIRCONIUM$;$APT31$",
IndigoZebra,Government,"[IndigoZebra](https://attack.mitre.org/groups/G0136) is a suspected Chinese cyber espionage group that has been targeting Central Asian governments since at least 2014.(Citation: HackerNews IndigoZebra July 2021)(Citation: Checkpoint IndigoZebra July 2021)(Citation: Securelist APT Trends Q2 2017)",IndigoZebra,G0136,,,,,
"Tonto Team","Defense
Education
Energy
Financial
Government
Healthcare
Hospital
Information And Communications Technology
Mining","[Tonto Team](https://attack.mitre.org/groups/G0131) is a suspected Chinese state-sponsored cyber espionage threat group that has primarily targeted South Korea, Japan, Taiwan, and the United States since at least 2009; by 2020 they expanded operations to include other Asian as well as Eastern European countries. [Tonto Team](https://attack.mitre.org/groups/G0131) has targeted government, military, energy, mining, financial, education, healthcare, and technology organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017).(Citation: Kaspersky CactusPete Aug 2020)(Citation: ESET Exchange Mar 2021)(Citation: FireEye Chinese Espionage October 2019)(Citation: ARS Technica China Hack SK April 2017)(Citation: Trend Micro HeartBeat Campaign January 2013)(Citation: Talos Bisonal 10 Years March 2020)","Tonto Team
Earth Akhlut
BRONZE HUNTLEY
CactusPete
Karma Panda",G0131,,"$Defense$;$Education$;$Energy$;$Financial$;$Government$;$Healthcare$;$Hospital$;$Information And Communications Technology$;$Mining$",,"$Tonto Team$;$Earth Akhlut$;$BRONZE HUNTLEY$;$CactusPete$;$Karma Panda$",
HAFNIUM,"Defense
Education
Legal Services
Nonprofit
Think Tank","[HAFNIUM](https://attack.mitre.org/groups/G0125) is a likely state-sponsored cyber espionage group operating out of China that has been active since at least January 2021. [HAFNIUM](https://attack.mitre.org/groups/G0125) primarily targets entities in the US across a number of industry sectors, including infectious disease researchers, law firms, higher education institutions, defense contractors, policy think tanks, and NGOs.(Citation: Microsoft HAFNIUM March 2020)(Citation: Volexity Exchange Marauder March 2021)","HAFNIUM
Operation Exchange Marauder",G0125,,"$Defense$;$Education$;$Legal Services$;$Nonprofit$;$Think Tank$",,"$HAFNIUM$;$Operation Exchange Marauder$",
"Deep Panda","Defense
Financial
Government
Healthcare
Hospital
Telecommunications","[Deep Panda](https://attack.mitre.org/groups/G0009) is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications. (Citation: Alperovitch 2014) The intrusion into healthcare company Anthem has been attributed to [Deep Panda](https://attack.mitre.org/groups/G0009). (Citation: ThreatConnect Anthem) This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. (Citation: RSA Shell Crew) [Deep Panda](https://attack.mitre.org/groups/G0009) also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. (Citation: Symantec Black Vine) Some analysts track [Deep Panda](https://attack.mitre.org/groups/G0009) and [APT19](https://attack.mitre.org/groups/G0073) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016)","Deep Panda
Shell Crew
WebMasters
KungFu Kittens
PinkPanther
Black Vine",G0009,,"$Defense$;$Financial$;$Government$;$Healthcare$;$Hospital$;$Telecommunications$",,"$Deep Panda$;$Shell Crew$;$WebMasters$;$KungFu Kittens$;$PinkPanther$;$Black Vine$",
Leafminer,Government,"[Leafminer](https://attack.mitre.org/groups/G0077) is an Iranian threat group that has targeted government organizations and business entities in the Middle East since at least early 2017. (Citation: Symantec Leafminer July 2018)","Leafminer
Raspite",G0077,,,,"$Leafminer$;$Raspite$",
Evilnum,"-","[Evilnum](https://attack.mitre.org/groups/G0120) is a financially motivated threat group that has been active since at least 2018.(Citation: ESET EvilNum July 2020)",Evilnum,G0120,,,,,
"Gamaredon Group","Defense
Government
Legal Services","[Gamaredon Group](https://attack.mitre.org/groups/G0047) is a suspected Russian cyber espionage threat group that has targeted military, NGO, judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013. The name [Gamaredon Group](https://attack.mitre.org/groups/G0047) comes from a misspelling of the word ""Armageddon"", which was detected in the adversary's early campaigns.(Citation: Palo Alto Gamaredon Feb 2017)(Citation: TrendMicro Gamaredon April 2020)(Citation: ESET Gamaredon June 2020)(Citation: Symantec Shuckworm January 2022)(Citation: Microsoft Actinium February 2022)

In November 2021, the Ukrainian government publicly attributed [Gamaredon Group](https://attack.mitre.org/groups/G0047) to Russia's Federal Security Service (FSB) Center 18.(Citation: Bleepingcomputer Gamardeon FSB November 2021)(Citation: Microsoft Actinium February 2022)","Gamaredon Group
IRON TILDEN
Primitive Bear
ACTINIUM
Armageddon
Shuckworm
DEV-0157",G0047,,"$Defense$;$Government$;$Legal Services$",,"$Gamaredon Group$;$IRON TILDEN$;$Primitive Bear$;$ACTINIUM$;$Armageddon$;$Shuckworm$;$DEV-0157$",
LazyScripter,Aviation,"[LazyScripter](https://attack.mitre.org/groups/G0140) is threat group that has mainly targeted the airlines industry since at least 2018, primarily using open-source toolsets.(Citation: MalwareBytes LazyScripter Feb 2021)",LazyScripter,G0140,,,,,
"Putter Panda","-","[Putter Panda](https://attack.mitre.org/groups/G0024) is a Chinese threat group that has been attributed to Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). (Citation: CrowdStrike Putter Panda)","Putter Panda
APT2
MSUpdater",G0024,,,,"$Putter Panda$;$APT2$;$MSUpdater$",
Frankenstein,"-","[Frankenstein](https://attack.mitre.org/groups/G0101) is a campaign carried out between January and April 2019 by unknown threat actors. The campaign name comes from the actors' ability to piece together several unrelated components.(Citation: Talos Frankenstein June 2019)",Frankenstein,G0101,,,,,
RTM,Banking,"[RTM](https://attack.mitre.org/groups/G0048) is a cybercriminal group that has been active since at least 2015 and is primarily interested in users of remote banking systems in Russia and neighboring countries. The group uses a Trojan by the same name ([RTM](https://attack.mitre.org/software/S0148)). (Citation: ESET RTM Feb 2017)",RTM,G0048,,,,,
Machete,"Defense
Energy
Government
Telecommunications","[Machete](https://attack.mitre.org/groups/G0095) is a suspected Spanish-speaking cyber espionage group that has been active since at least 2010. It has primarily focused its operations within Latin America, with a particular emphasis on Venezuela, but also in the US, Europe, Russia, and parts of Asia. [Machete](https://attack.mitre.org/groups/G0095) generally targets high-profile organizations such as government institutions, intelligence services, and military units, as well as telecommunications and power companies.(Citation: Cylance Machete Mar 2017)(Citation: Securelist Machete Aug 2014)(Citation: ESET Machete July 2019)(Citation: 360 Machete Sep 2020)","Machete
APT-C-43
El Machete",G0095,,"$Defense$;$Energy$;$Government$;$Telecommunications$",,"$Machete$;$APT-C-43$;$El Machete$",
Sowbug,Government,"[Sowbug](https://attack.mitre.org/groups/G0054) is a threat group that has conducted targeted attacks against organizations in South America and Southeast Asia, particularly government entities, since at least 2015. (Citation: Symantec Sowbug Nov 2017)",Sowbug,G0054,,,,,
GALLIUM,Telecommunications,"[GALLIUM](https://attack.mitre.org/groups/G0093) is a group that has been active since at least 2012, primarily targeting high-profile telecommunications networks. [GALLIUM](https://attack.mitre.org/groups/G0093) has been identified in some reporting as likely a Chinese state-sponsored group, based in part on tools used and TTPs commonly associated with Chinese threat actors.(Citation: Cybereason Soft Cell June 2019)(Citation: Microsoft GALLIUM December 2019)","GALLIUM
Operation Soft Cell",G0093,,,,"$GALLIUM$;$Operation Soft Cell$",
DarkHydrus,"Education
Government","[DarkHydrus](https://attack.mitre.org/groups/G0079) is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks. (Citation: Unit 42 DarkHydrus July 2018) (Citation: Unit 42 Playbook Dec 2017)",DarkHydrus,G0079,,"$Education$;$Government$",,,
APT39,"Education
Food
Lodging
Telecommunications","[APT39](https://attack.mitre.org/groups/G0087) is one of several names for cyberespionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least 2014. [APT39](https://attack.mitre.org/groups/G0087) has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS.(Citation: FireEye APT39 Jan 2019)(Citation: Symantec Chafer Dec 2015)(Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020)","APT39
REMIX KITTEN
ITG07
Chafer",G0087,,"$Education$;$Food$;$Lodging$;$Telecommunications$",,"$APT39$;$REMIX KITTEN$;$ITG07$;$Chafer$",
TeamTNT,"-","[TeamTNT](https://attack.mitre.org/groups/G0139) is a threat group that has primarily targeted cloud and containerized environments. The group as been active since at least October 2019 and has mainly focused its efforts on leveraging cloud and container resources to deploy cryptocurrency miners in victim environments.(Citation: Palo Alto Black-T October 2020)(Citation: Lacework TeamTNT May 2021)(Citation: Intezer TeamTNT September 2020)(Citation: Cado Security TeamTNT Worm August 2020)(Citation: Unit 42 Hildegard Malware)(Citation: Trend Micro TeamTNT)(Citation: ATT TeamTNT Chimaera September 2020)(Citation: Aqua TeamTNT August 2020)(Citation: Intezer TeamTNT Explosion September 2021)",TeamTNT,G0139,,,,,
