author,categories,dashboard,date,description,phase,title,"__mv_author","__mv_categories","__mv_dashboard","__mv_date","__mv_description","__mv_phase","__mv_title"
"AlphaSOC, Inc.","security_compliance","https://splunkbase.splunk.com/app/4052/","2023-02-10","Hundreds of security teams use this app to process CIM compliant DNS, IP, HTTP, TLS, and DHCP events within Splunk and flag compromised hosts. Use Network Behavior Analytics for Splunk to instantly uncover DNS and ICMP tunnels, DGA traffic, C2 callbacks and implant beaconing, data exfiltration, Tor and I2P anonymizing circuit activity, cryptomining, and threats without known signatures or indicators.","Data exfiltration","Network Behavior Analytics for Splunk",,,,,,,
"Mimecast Services Ltd","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4075/","2022-11-12","Email continues to be the most widely used attack vector. Data sourced from email activity and attacks is extremely high value for security operations teams, the Mimecast and Splunk integration provides security teams the data they need to identify incidents and attacks and inform how they need to respond, enhancing the benefits of the Splunk Enterprise investment and ultimately reducing the risk the organization faces.

About Mimecast

For organizations concerned about cyber risk and struggling to attract and retain sufficient cybersecurity expertise and budget, Mimecast delivers a comprehensive, integrated solution that solves the #1 cybersecurity attack vector – email,
 
Mimecast’s Email Security 3.0 solution framework reduces the time, cost and complexity of achieving more complete cybersecurity, compliance and resilience through additional modules, all while connecting seamlessly with other security and technology investments to provide a coherent security architecture.

Installation Guide: https://community.mimecast.com/s/article/Mimecast-for-Splunk-Administrators-Guide-159829928",Email,"Mimecast  for  Splunk",,"$it_operations_management$;$security_compliance$",,,,,
Cybereason,"it_operations_management security_compliance","https://splunkbase.splunk.com/app/4137/","2023-02-15","The Cybereason App for Splunk enables you to gain deep insight & visibility into your endpoints, detect advanced attacks based on AI hunting, and take response actions within Splunk. The Cybereason AI Hunting Engine automatically asks a complex set of questions of data collected from all of your endpoints at a rate of 8 million calculations per second, 24 hours a day, 7 days a week. This means the solution is continuously hunting on your behalf by asking the same sorts of questions advanced security analysts would ask as they hunt for threats inside an environment. The difference, however, is that the Cybereason malicious activity models run constantly, and continually adapt and evolve according to the data the solution receives and analyzes.

Learn More: https://cybereason-1.wistia.com/medias/hz40bq01nc","Malicious document","Cybereason For Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Bitdefender LLC","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4142/","2022-11-13","Gravityzone Add-on for Splunk supports the Bitdefender Gravityzone App- https://splunkbase.splunk.com/app/4151/ for Splunk by providing source mapping, data extractions and transformations. It acts like a parser, converting all data gathered from various Bitdefender sources into a CIM format, which is compatible with Splunk.

About GravityZone

GravityZone is a business security solution built from ground-up for virtualization and cloud to deliver security services to physical endpoints, virtual machines in public cloud and Exchange mail servers.

GravityZone is one product with a unified management console available in the cloud, hosted by Bitdefender, or as one virtual appliance to be installed on company's premises, and it provides a single point for deploying, enforcing and managing security policies for any number of endpoints and of any type, in any location.

GravityZone delivers multiple layers of security for endpoints and for Microsoft Exchange mail servers: antimalware with behavioral monitoring, zero day threat protection, application blacklisting and sandboxing, firewall, device control, content control, anti-phishing and antispam.

Documentation

https://www.bitdefender.com/business/support/en/77211-171475-splunk.html
https://www.bitdefender.com/business/support/en/77212-171475-splunk.html","Command and control Phishing","Bitdefender Gravityzone Add-on for Splunk",,"$it_operations_management$;$security_compliance$",,,,"$Command and control$;$Phishing$",
"Aaron Chandler","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4148/","2022-11-14","This add-on introduces a custom alert action, which when triggered will create an Incident record in  HP/HPE/MicroFocus Service Manager. A GUI allows for setting connection parameters and API captions. Different field values for the Incident can be set per-alert, as well.","Internet-exposed service","Service Manager Integration Add-on",,"$it_operations_management$;$security_compliance$",,,,,
"Splunk Works","internet_of_things security_compliance","https://splunkbase.splunk.com/app/4150/","2022-11-14","Welcome to the Splunk Essentials for ICS Security and Compliance. This app provides different use cases designed to help you gain a clearer understanding of the impact of security incidents on Industrial Control Systems (ICS) and how you can use Splunk to see and respond to real-world threats immediately.
ICS are often tasked with monitoring and managing highly sensitive processes associated with manufacturing and industrial environments. ICS technologies include systems, such as supervisory control and data acquisition (SCADA), distributed control systems (DCS), and programmable logic controllers (PLC). These devices constitute the operational technology (OT) network.","Command and control","Splunk Essentials for ICS Security and Compliance",,"$internet_of_things$;$security_compliance$",,,,,
"Bitdefender LLC","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4151/","2022-11-13","Bitdefender Gravityzone for Splunk App allows you to view dashboards, generate reports and search for events generated by the Bitdefender Gravityzone platform. It provides you access to data, events and notifications gathered from GravityZone and all its managed endpoints. The app works together with the [Bitdefender Gravityzone Add-on for Splunk](https://splunkbase.splunk.com/app/4142/), which provides source mapping, data extractions and transformations. Integration is available for both Cloud and On Premises environments.

About GravityZone

GravityZone is a business security solution built from ground-up for virtualization and cloud to deliver security services to physical endpoints, virtual machines in public cloud and Exchange mail servers.

GravityZone is one product with a unified management console available in the cloud, hosted by Bitdefender, or as one virtual appliance to be installed on company's premises, and it provides a single point for deploying, enforcing and managing security policies for any number of endpoints and of any type, in any location.

GravityZone delivers multiple layers of security for endpoints and for Microsoft Exchange mail servers: antimalware with behavioral monitoring, zero day threat protection, application blacklisting and sandboxing, firewall, device control, content control, anti-phishing and antispam.

Documentation
https://www.bitdefender.com/business/support/en/77211-171475-splunk.html
https://www.bitdefender.com/business/support/en/77212-171475-splunk.html","Command and control Phishing","Bitdefender Gravityzone for Splunk App",,"$it_operations_management$;$security_compliance$",,,,"$Command and control$;$Phishing$",
"Julien Tortora","security_compliance","https://splunkbase.splunk.com/app/4165/","2023-03-15","The Add-on for Malwarebytes provides custom Splunk configuration to understand Malwarebytes event data. This app is a requirements for all Malwarebytes apps for Splunk. The app includes Common Information Compliant (CIM) field extractions and pre-defined source types for multiple Malwarebytes products making it compatible with all CIM based Splunk apps including Splunk Enterprise Security. It is a pre-requisite for all other Malwarebytes Splunk apps.

Malwarebytes makes endpoints resilient through adaptive cyber protection, active threat response and orchestrated endpoint control that quickly restores workforce productivity when a compromise occurs. Our adaptive cyber protection predicts and detects attacks with multi-layer detection across the kill chain. We enable active threat response where machine learning is actionable and automated allowing for full recovery when a compromise occurs. We orchestrate command and control across siloed IT and Security organizations simplifying security management and making response effective.  Malwarebytes makes endpoints resilient, so that you can protect, remediate, and regain control of your digital business.","Command and control","Technical Add-on for Malwarebytes",,,,,,,
"Julien Tortora","security_compliance","https://splunkbase.splunk.com/app/4166/","2022-11-14","The Malwarebytes Remediation App provides a new way to remediate infected endpoints using the Malwarebytes agentless Breach Remediation tool. This app offers automated and on-demand remediation of Windows endpoints through custom Splunk alert actions. You will need to configure a service account to deploy the dissolvable agent.

Malwarebytes makes endpoints resilient through adaptive cyber protection, active threat response and orchestrated endpoint control that quickly restores workforce productivity when a compromise occurs. Our adaptive cyber protection predicts and detects attacks with multi-layer detection across the kill chain. We enable active threat response where machine learning is actionable and automated allowing for full recovery when a compromise occurs. We orchestrate command and control across siloed IT and Security organizations simplifying security managing and making response effective.  Malwarebytes makes endpoints resilient, so that we can protect, remediate and regain control of our digital lives.","Command and control","Malwarebytes Agentless Remediation",,,,,,,
"Julien Tortora","security_compliance","https://splunkbase.splunk.com/app/4167/","2023-02-08","The Malwarebytes App for Splunk provides custom Splunk searches and dashboards for Malwarebytes endpoint security data. This app extends from the Add-on for Malwarebytes to offer an immediate visual experience for all Malwarebytes users. All dashboards have been highly optimized for fast performance and contain custom drill-downs. Use it to quickly gain visibility and add insights to your security posture.

Malwarebytes makes endpoints resilient through adaptive cyber protection, active threat response and orchestrated endpoint control that quickly restores workforce productivity when a compromise occurs. Our adaptive cyber protection predicts and detects attacks with multi-layer detection across the kill chain. We enable active threat response where machine learning is actionable and automated allowing for full recovery when a compromise occurs. We orchestrate command and control across siloed IT and Security organizations simplifying security management and making response effective.  Malwarebytes makes endpoints resilient, so that you can protect, remediate, and regain control of your digital business.","Command and control","Malwarebytes Visibility and Dashboards",,,,,,,
"Randy Hammelman","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4185/","2022-04-26","Manage your Splunk Frozen Data.

If you need to archive your data, Splunk lets you freeze it, but that's it .... you can't easily restore, encrypt, or report on it. 

Conducive's Archiver App does all of this plus a lot more, including dropping your cloud storage costs to as low as $0.80 / Indexed Terabyte / Month.

Visit our website for more information: https://www.conducivesi.com/splunk-archiver-video/

Copyright © 2018 Conducive Consulting, Inc. All rights reserved.","Encrypt data","Conducive Archiver for Splunk Enterprise",,"$it_operations_management$;$security_compliance$",,,,,
skycubed,"it_operations_management security_compliance","https://splunkbase.splunk.com/app/4186/","2023-04-26","IANA Service Name and Port Number Registry provides a Splunk lookup table and lookup fields for mapping IANA registered service names to port and protocol. Derived from the officially published IANA list.","Internet-exposed service","IANA Service Name and Port Number Registry",,"$it_operations_management$;$security_compliance$",,,,,
"VulDB App Team","security_compliance threat_intel","https://splunkbase.splunk.com/app/4190/","2023-02-22","VulDB is the number one vulnerability database documenting and explaining security vulnerabilities and exploits since 1970. The VulDB app for Splunk integrates vulnerability data from VulnDB into Splunk to enhance vulnerability management (VM) and cyber threat intelligence (CTI). Defending against exploits, maintaining patch and release management becomes much easier with out Threat Intelligence Platform (TIP).

You need to link the Splunk app to your VulDB account to use the API credits to fetch the infosec data. The amount of available API credits is defined by the license of your account (free, commercial or enterprise). You are able to purchase more API credits at https://vuldb.com/?pay

We provide interoperability with information security data and cybersecurity products by MITRE (CVE, CWE, CPE, ATT&CK), Tenable Nessus, Qualys Scanner, Rapid7 MetaSploit MSF, Cisco, Microsoft, Palo Alto, Fortinet, Symantec, Trend Micro, FireEye, McAfee, ISS, IBM X-Force, Snyk, and other vendors. More information about our Splunk app is available at https://vuldb.com/?doc.splunk","Exploit vulnerability","VulDB Vulnerability and Threat Intelligence",,"$security_compliance$;$threat_intel$",,,,,
"Pat Lalonde","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4204/","2022-11-14","Entrust Identity as a Service is an enterprise-grade cloud authentication service that delivers intelligent and adaptive identity capabilities across a unified device experience, enabling business to achieve competitive advantage in an ever-evolving digital world.

The Entrust Identity as a Service Add-on for Splunk enables centralizing your Identity as a Service authentication and management audit events in Splunk™ Enterprise and Splunk™ Cloud. This enables administrators and security compliance teams to have a holistic view of events across their core infrastructure. By centralizing these events, administrators can create reports and dashboards using the Identity as a Service audit events. Security teams can quickly diagnose potential attacks by monitoring for the frequency of authentication failures.","Internet-exposed service","Entrust Identity as a Service Add-on for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Risk Based Security","security_compliance","https://splunkbase.splunk.com/app/4220/","2022-11-12","The VulnDB App For Splunk is designed for visualization of collected vulnerability information using the Vuln DB Splunk Add-on. It provides VulnDB Overview dashboards for visualization of collected vulnerabilities. The app also provides the ability to collect host / asset / product information from elsewhere in Splunk and map it to the vulnerability data in VulnDB to surface and prioritize vulnerabilities relevant to your organization.","Exploit vulnerability","VulnDB App For Splunk",,,,,,,
"Aplura LLC","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4228/","2022-11-14","Dashboards and reports on Malware events in Splunk.",Malware,"PAVO Malware App for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Aplura LLC","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4230/","2022-11-14","App for exploring and reporting on Vulnerability events.","Exploit vulnerability","PAVO Vulnerabilities App for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Cisco Security","security_compliance","https://splunkbase.splunk.com/app/4251/","2022-11-14","Threat Grid combines advanced sandboxing with threat intelligence into one unified solution to protect organizations from malware. With a robust, context-rich malware knowledge base, you will understand what malware is doing, or attempting to do, how large a threat it poses, and how to defend against it. 

The Cisco Threat Grid Add-On for Splunk leverages the Threat Grid API to enrich events within Splunk. This occurs by pulling the user's organizational submission data into Splunk making it searchable via timestamps, threat score, user associated with sample submission, and many other options.",Malware,"Cisco Threat Grid Add-On",,,,,,,
"Adarma Security","security_compliance","https://splunkbase.splunk.com/app/4283/","2022-11-12","This app is used to supplement your data with information from VirusTotal.
The custom command ` | virustotal ` (bundled with this app) uses the `https://www.virustotal.com/vtapi/v2/file/report`
endpoint to communicate with the VirusTotal API.

This TA can be installed on the search head. No additional manual steps are required in distributed environments,
as the app only interacts with search-time functionality ( lookups and scheduled searches ).

This Add-on has been tested (and installed) on Splunk Cloud.

We're using GitLab to both share our source code and track issues (bugs or feature requests), please use it freely: https://gitlab.com/ecs_public_projects/splunk/TA-VirusTotal","Command and control Malware","VirusTotal Malware Lookup for Splunk",,,,,,"$Command and control$;$Malware$",
"andre choi","dev_ops security_compliance","https://splunkbase.splunk.com/app/4288/","2022-11-14","Synack helps organizations with the full spectrum of their security testing needs. We harness the world’s most exclusive team of security researchers and give them access to a powerful platform for trusted security testing. That testing yields vulnerabilities, data to measure attack surfaces, and provides documentation to aid compliance.

The Synack App for Splunk provides an easy way to bring live, up-to-date Synack data into your Splunk environment. By putting IT, Security, and Synack-discovered vulnerability data in one place, richer reporting, analytics, custom dashboards and queries are available to reduce the effort and time to gain insights. It comes with an out-of-the-box dashboard, or users can customize their use of Synack data.  

Common use cases include:
• Security Operations - Integration of vulnerability data into the Security Operations Center (SOC) and related workflows enables security teams to get more efficient and streamline your security stack
• Threat Hunting - Find evidence of active or past threats using verified, Synack data about true exploitable vulnerabilities
• Incident Management - Efficiently bring incidents to conclusion using all available data sources
- Web logs: Correlate exploitable vulnerabilities & locations with web logs to determine if there are other locations where this vulnerability can be exploited
- IPS/IDS: Correlate exploitable vulnerabilities & locations with network traffic to define new rules for detection and prevention
- Scanners: Correlate exploitable vulnerabilities with scanner data for better scanner efficacy
- Threat Intel: Correlate exploitable vulnerabilities & locations with Threat intel to build out predictive patterns
• Custom Reporting & Analytics for the above scenarios, or other workflows in your security organization

Please login to your Synack Client Portal for configuration options or email Synack support to get started. Further documentation is also available in the Synack Client Portal.","Exploit vulnerability","Synack App for Splunk",,"$dev_ops$;$security_compliance$",,,,,
"Check Point","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4293/","2023-04-26","Check Point brings you an advanced and real-time threat analysis and reporting tool for Splunk.
The Check Point App for Splunk allows you to respond to security risks immediately and gain network true insights.
You can collect and analyze millions of logs from all Check Point technologies and platforms across networks, Cloud, Endpoints and Mobile.
This app uses the Check Point Log Exporter to seamlessly send logs from your Check Point log server to your Splunk server.
For more details, see Check Point sk122323 - http://supportcontent.checkpoint.com/solutions?id=sk122323.

Main features include:
• Compatibility with Common Information Model (CIM)
• Compatibility with Splunk Enterprise Security
• Integration with Check Point SmartEvent dashboards (e.g., General Overview, Threat Prevention and the new Cyber Attack View)
• MITRE ATT&CK framework advanced analytics for malicious files found by SandBlast technology","Malicious document","Check Point App for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Proofpoint Splunk Integrations","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4327/","2022-11-14","Proofpoint on Demand customers can use this add-on to collect email security logs that can be stored and indexed in Splunk to search, report and investigate email delivery. This technology add-on maps the message and mail logs to Splunk Common Information Model (CIM) for email.

The Proofpoint On Demand Email Security Add-on can be used with Proofpoint On Demand Email Security App that has builtin dashboards and reports for monitoring and reporting.


Release Notes
Version 1.0.0
Dec. 12, 2018
This add-on is designed to work with Proofpoint On Demand Email Security App.",Email,"Proofpoint On Demand Email Security Add-on",,"$it_operations_management$;$security_compliance$",,,,,
"Proofpoint Splunk Integrations","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4328/","2022-11-14","Splunk users can get a better handle on overall security posture by correlating Proofpoint on Demand Email Protection data with other security and machine-generated data. The Proofpoint On Demand Email Security App For Splunk allows users to query Email threat intelligence for message traceability, monitoring and reporting. 

• Delivers visibility into today’s advanced attacks such as ransomware, business email compromise (BEC), impostor, and credential phishing attacks
• Automates sending of Email filtering and routing logs from Proofpoint On Demand to Splunk Enterprise from one or many sources
• Provides visibility into email activity, threats and data exfiltration by attackers and malicious insiders
• Consolidates reporting and provides comprehensive visibility by correlating email and other data sources in Splunk.","Data exfiltration Email Malicious document Phishing","Proofpoint On Demand Email Security App",,"$it_operations_management$;$security_compliance$",,,,"$Data exfiltration$;$Email$;$Malicious document$;$Phishing$",
"Matt Feeley (C)","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4333/","2022-11-14","Technical Add-on for C-Cure ID Badging, version 1.0.0

Hardware Requirements
C-Cure 800/8000 Access Control + Security Management Solutions.
  -This add-on was tested with C-Cure 800/8000 Access Control + Security
  Management Solutions. There could be syntax differences in logs between other
  versions. Unfortunately unless redacted logs are provided I won't be able to
  update this add-on.

Installation Steps
  1. Install db_connect. https://splunkbase.splunk.com/app/2686/
    a. for help with db_connect installation/setup please visit
    https://docs.splunk.com/Documentation/DBX/3.1.3/DeployDBX/Checklist.
    b. Under the ""New Input"" (Metadata) make sure of the following
      - Sourcetype = ccure:journal
      - Index = ccure
  2. Install this add-on for the following Splunk Servers
    a. Search Head(s) / Indexer(s)
      - If this is building into the Enterprise Security app. Please
       install the CIM app on your Enterprise Secrity Search.
       https://splunkbase.splunk.com/app/1621/

Additional
    Incorrect Timestamps could be related to a variety of reasons. Please Check
    the following items.
    1. db_connect: Under ""Configurations"" double check ""Timezone"" is setup
    2. Splunk: Under the login drop menu in ""Preferances"" double check ""Timezone""
    is setup.
    3. For additional support please visit the community forum
    https://answers.splunk.com/index.html.

Redacted Log Sample
2018-12-20 13:29:58.000, MessageUTC=""2018-12-20 18:29:58.0"", MessageType=""CardAdmitted"", PrimaryObjectName=""liechtenstein, ulrich"", PrimaryObjectIdentity=""AA11A11A-AA11-11AA-A1A1-AAAAAA111111"", SecondaryObjectName=""potentially the name of entrance area"", SecondaryObjectIdentity=""B2B2B2B2-BB22-22BB-B2B2-BBBBBB22222"", XmlMessage=""InDirection12345AdmitAdmitliechtenstein, ulrichpotentially the name of entrance area""

if you'd like to attribute additional redacted log samples or have comments/concerns. Please contact me at mfeeley@nuharborsecurity.com with the Subject line containing the add-on name.","Command and control","ccure add-on",,"$it_operations_management$;$security_compliance$",,,,,
"Pixm, Inc.","security_compliance","https://splunkbase.splunk.com/app/4340/","2022-11-14","Pixm App For Splunk provides insights to the enterprises for the Phishing Incidents detected throughout the enterprise across different devices and users. It also provides details on the Users & Devices which are being detected with Phishing Incidents.

Pixm is building an endpoint security product that uses AI computer vision to detect zero-day phishing attacks in real-time within your browser at the point of click . As soon as a zero-day phishing attack is detected, Pixm's Anti-Phishing shuts down the attack inside your browser within 1 second.

Pixm's Anti-Phishing product consists of an Agent and a browser extension. The Agent runs on Windows and Mac, and all major browsers are supported. When a user clicks on a link in an email to open in a browser, the browser extension works with the Agent running on the machine to detect zero-day phishing attacks within 1 second.",Phishing,"Pixm App For Splunk",,,,,,,
"Cisco Security","security_compliance","https://splunkbase.splunk.com/app/4388/","2023-04-26","Cisco Secure Firewall App for Splunk presents critical security information from Threat Defense Manager (f.k.a. Firepower Management Center (FMC)) helping analysts focus on high priority security events.  The app provides a number of dashboards and tables geared towards making Firepower event analysis productive in the familiar Spunk environment.  It is an alternative user interface for some, and a complementary interface for others.  Cisco is committed to continuously improving this app based on your direct feedback.

Major Features Include
- Threat Summary Dashboard
- Advanced Impact Event analysis with directionality
- Network Event data dashboard with IoCs and Firewall Rule usage (Allow/Block)
- Context Explorer with Geo-location Map
- Link back from Malware hash to FMC for File Trajectory
- Link Back to FMC for Host Profile
- Filters for CIDR Blocks and Allow/Block Rule actions

TELL US WHAT WILL MAKE THIS APP BETTER FOR YOU!  We want your feedback and any feature requests.  Please email fp-4-splunk@cisco.com with any requests.",Malware,"Cisco Secure Firewall App for Splunk",,,,,,,
"Dmytro Sobolta","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4392/","2022-11-14","This TA for Splunk provides field extractions from Trend Micro OfficeScan logs and mapping to the Malware CIM.
This add-on developed to parse logs from TrendMicro Control Manager(TMCM) in Control Manager (CM) format.","Command and control","TA for Trend Micro OfficeScan",,"$it_operations_management$;$security_compliance$",,,,,
"Greg Ford","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4411/","2022-11-14","This app provides dashboards to help visualise email sending/delivery activity logged by Amazon SES (Simple Email Service).

The app also defines an aws:ses sourcetype in order to specify how the timestamp should be interpreted - effectively index time, as mail timestamps within the messages published by AWS do not relate to the send/delivery/open/click/bounce action itself.","Email Internet-exposed service","Amazon Simple Email Service App for Splunk",,"$it_operations_management$;$security_compliance$",,,,"$Email$;$Internet-exposed service$",
"Yehonatan Zadok","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4415/","2022-11-14","Smarter Together
Evolven and Splunk® Integrated Solution
This solution allows Splunk users to correlate service degradation events and KPIs, with the actual changes carried in their environments – finding the root-cause in seconds.

What’s Wrong vs. What Changed.
Splunk IT Service Intelligence (ITSI) tells you exactly what’s wrong: the health of your service and application, when and where an issue exactly started, and its impact. But, as soon as you know what’s wrong, the immediate next question is: “what changed?” For example, the service performed well a few hours ago but not now…something must have changed!

Finally Know What Changed.
Evolven tracks down granular changes carried out in your endto-end environment. Evolven uses patented machine learning analytics for analyzing the changes it collects, and correlating them with ITSI and Splunk events and KPIs. This solution provides Splunk users with precisely the actionable insights they need for troubleshooting or preventing incidents before the trouble starts.

For more information: https://www.evolven.com/","Internet-exposed service","Evolven Change Analytics",,"$it_operations_management$;$security_compliance$",,,,,
"Yehonatan Zadok","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4416/","2023-04-26","Smarter Together
Evolven and Splunk® Integrated Solution
This solution allows Splunk users to correlate service degradation events and KPIs, with the actual changes carried in their environments – finding the root-cause in seconds.

What’s Wrong vs. What Changed.
Splunk IT Service Intelligence (ITSI) tells you exactly what’s wrong: the health of your service and application, when and where an issue exactly started, and its impact. But, as soon as you know what’s wrong, the immediate next question is: “what changed?” For example, the service performed well a few hours ago but not now…something must have changed!

Finally Know What Changed.
Evolven tracks down granular changes carried out in your endto-end environment. Evolven uses patented machine learning analytics for analyzing the changes it collects, and correlating them with ITSI and Splunk events and KPIs. This solution provides Splunk users with precisely the actionable insights they need for troubleshooting or preventing incidents before the trouble starts.

For more information: https://www.evolven.com/","Internet-exposed service","Evolven Change Analytics for Splunk ITSI",,"$it_operations_management$;$security_compliance$",,,,,
"ThreatQuotient Team","security_compliance","https://splunkbase.splunk.com/app/4418/","2022-11-14","The new ThreatQuotient App for Splunk improves on our previous capability while incorporating feedback collected from our customers around functionality and deployability.

Note: The new ThreatQuotient App for Splunk requires the ThreatQuotient Add-on for Splunk as well as ThreatQ version 4.16 or later.

Functionality includes:

Ingestion of ThreatQ Data into Splunk
Enable users to customize what data is ingested by leveraging ThreatQ exports and Splunk input filters. Customization continues for advanced users with the ability to modify leveraged indexes and Splunk saved searches that drive the ThreatQuotient App for Splunk to meet the needs of their environment.

Matching of Events with ThreatQ Indicators
Provide context on possible malicious activity by matching Events with ThreatQ indicators. Matching is customizable by ThreatQ indicator status and score to meet the differing needs of customer environments and workflows.

Reporting of Matches in Splunk back to ThreatQ as Sighting Events
Sighting events in ThreatQ will show indicator matches from Splunk and will be grouped by indicator.

Workflow Actions
Users can modify ThreatQ data based on any indexed indicators within Splunk.

Workflow actions include:
ThreatQ: Add Indicator
ThreatQ: Add to Whitelist
ThreatQ: Lookup Indicator
ThreatQ: Mark as False Positive
ThreatQ: Mark as True Positive

Note: Support for ingesting ThreatQ data into Splunk Enterprise Security will be leveraged in the additional workflows provided within that application.

Deployability
The ThreatQuotient App for Splunk has been re-designed to scale to our customers' growing needs, supporting installations in Splunk deployments of all sizes.

ThreatQuotient Splunk Support Documentation
See the Splunk Documentation located on the ThreatQuotient Help Center for more information.

https://helpcenter.threatq.com/index.htm#t=Integration_Documentation%2Fguides%2FSplunk.htm","Malicious document","ThreatQuotient App for Splunk",,,,,,,
"ThreatQuotient Team","security_compliance","https://splunkbase.splunk.com/app/4419/","2023-02-08","The new ThreatQuotient App for Splunk improves on our previous capability while incorporating feedback collected from our customers around functionality and deployability.

Note: The new ThreatQuotient Add-on for Splunk requires the ThreatQuotient App for Splunk as well as ThreatQ version 4.16 or later.

Functionality includes:

Ingestion of ThreatQ Data into Splunk
Enable users to customize what data is ingested by leveraging ThreatQ exports and Splunk input filters. Customization continues for advanced users with the ability to modify leveraged indexes and Splunk saved searches that drive the ThreatQuotient App for Splunk to meet the needs of their environment.

Matching of Events with ThreatQ Indicators
Provide context on possible malicious activity by matching Events with ThreatQ indicators. Matching is customizable by ThreatQ indicator status and score to meet the differing needs of customer environments and workflows.

Reporting of Matches in Splunk back to ThreatQ as Sighting Events
Sighting events in ThreatQ will show indicator matches from Splunk and will be grouped by indicator.

Workflow Actions
Users can modify ThreatQ data based on any indexed indicators within Splunk.

Workflow actions include:
ThreatQ: Add Indicator
ThreatQ: Add to Whitelist
ThreatQ: Lookup Indicator
ThreatQ: Mark as False Positive
ThreatQ: Mark as True Positive

Note: Support for ingesting ThreatQ data into Splunk Enterprise Security will be leveraged in the additional workflows provided within that application.

Deployability
The ThreatQuotient App for Splunk has been re-designed to scale to our customers' growing needs, supporting installations in Splunk deployments of all sizes.

ThreatQuotient Splunk Support Documentation
See the Splunk Documentation located on the ThreatQuotient Help Center for more information.

https://helpcenter.threatq.com/Content/Developer_Resources/Integrations/About_Splunk_Integrations.htm","Malicious document","ThreatQuotient Add-on for Splunk",,,,,,,
"Patrice Auffret","security_compliance","https://splunkbase.splunk.com/app/4435/","2022-11-14","Official ONYPHE client to access the API.
For more: https://www.onyphe.io/","Command and control","Custom command for ONYPHE API",,,,,,,
"Daniel Wilson","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4453/","2022-11-14","The TA-keywatch provides secure passive capture of ssh keys from Linux systems. This data is used to ensure compliance (PCI and others) with encryption standards and password enforcement in secure environments.","Password guessing","TA-keywatch",,"$it_operations_management$;$security_compliance$",,,,,
"Sascha Pfeiffer","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4455/","2023-04-26","Main app for the Psono audit logs. Contains all the dashboards for a nice visual representation of the audit logs, health checks.
It helps you to audit use activity, server and fileserver problems. Requires the ""Psono Password Manager Add-On""","Password guessing","Psono Password Manager App",,"$it_operations_management$;$security_compliance$",,,,,
"Sascha Pfeiffer","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4456/","2022-11-14","The add on with the preconfigured inputs, monitors and healthchecks to monitor a Psono installation. Has the necessary monitors for the splunk audit log and healthchecks. Needed for the ""Psono Password Manager App""","Password guessing","Psono Password Manager Add-On",,"$it_operations_management$;$security_compliance$",,,,,
"Vectra AI","it_operations_management security_compliance","https://splunkbase.splunk.com/app/4471/","2023-04-20","Cognito Detect: surface hidden threats from cloud to enterprise

The power of AI to detect and prioritize in-progress attacks in real-time
- Automate manual processes and consolidate thousands of events and historical context to pinpoint hosts and accounts that pose the biggest threat
- High-fidelity visibility into attacker behaviors across all public clouds, private data centers and enterprise environments
- Unique context eliminates the endless hunt-and-search for threats and enables immediate action

Identify known and unknown threats
- Visibility into internal recon and lateral movement attack behaviors
- Identify devices and workloads at the center of an attack
- Detect intrusions without the limitations of signatures

Security analyst in software
- Automate a chain of events into a single incident
- Instantly triage the highest-risk threats
- Behavioral context with every detection

https://www.vectra.ai/product/cognito-detect

Splunk integration with Vectra solutions sheet:
https://content.vectra.ai/rs/748-MCE-447/images/ProductIntegration_2017_Integrating_Cognito_with_Splunk_English.pdf

Cognito Detect solutions sheet:
https://content.vectra.ai/rs/748-MCE-447/images/ProductCompanyOverview_2019_Cognito_Detect_AI-powered_attacker_detection_English.pdf","Lateral movement","Vectra Cognito Detect",,"$it_operations_management$;$security_compliance$",,,,,
