Matrix,Tactic,Technique,"Sub-Technique",App,Active,Available,"Needs data","Sub_Technique_Total","Tactic_Total","Technique_Total",Bookmarked,"Data Source",IsSubTechnique
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Cron,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Trust Dependencies","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Virtual Private Server","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job",Launchd,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job",Launchd,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job",Launchd,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Topology","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Server,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task",Any,0,0,15,15,49,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task","Enterprise Security Content Update",0,0,15,15,49,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Scheduled Task","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task",Any,0,0,15,15,100,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task","Enterprise Security Content Update",0,0,15,15,100,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Scheduled Task","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task",Any,0,0,15,15,102,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task","Enterprise Security Content Update",0,0,15,15,102,33,0,"Endpoint Detection and Response::9,Microsoft Windows Task Scheduler::0,Windows Security::12",Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Scheduled Task","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses",Any,0,0,1,1,5,1,0,"Microsoft Sysmon Logs::0",Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses","Enterprise Security Content Update",0,0,1,1,5,1,0,"Microsoft Sysmon Logs::0",Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","IP Addresses","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure",Botnet,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers",Any,0,0,3,3,49,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers","Enterprise Security Content Update",0,0,3,3,49,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Systemd Timers","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers",Any,0,0,3,3,100,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers","Enterprise Security Content Update",0,0,3,3,100,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Systemd Timers","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers",Any,0,0,3,3,102,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers","Enterprise Security Content Update",0,0,3,3,102,33,0,"Endpoint Detection and Response::9",Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Systemd Timers","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Network Information","Network Security Appliances","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Compromise Infrastructure","Web Services","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Execution,"Scheduled Task/Job","Container Orchestration Job","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Scheduled Task/Job","Container Orchestration Job","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Scheduled Task/Job","Container Orchestration Job","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-",Any,0,0,3,0,30,3,0,"Cerner::1,Network Communication::2",No
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-","Splunk Security Essentials",0,0,1,0,30,3,0,"Cerner::1",No
"Enterprise ATT&CK",Collection,"Data from Network Shared Drive","-","Splunk User Behavior Analytics",0,0,2,0,30,3,0,"Network Communication::2",No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-",Any,0,0,16,0,48,22,0,"DNS::3,Network Communication::8,Web Proxy::5",No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-","Splunk App for Enterprise Security",0,0,2,0,48,22,0,"DNS::3,Network Communication::8",No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-","Splunk Security Essentials",0,0,6,0,48,22,0,"DNS::3,Network Communication::8,Web Proxy::5",No
"Enterprise ATT&CK","Command and Control","Application Layer Protocol","-","Splunk User Behavior Analytics",0,0,8,0,48,22,0,"DNS::3,Network Communication::8,Web Proxy::5",No
"Enterprise ATT&CK","Credential Access","Input Capture","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","Input Capture","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","Input Capture","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","Input Capture","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","Input Capture","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","Input Capture","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-",Any,0,0,4,0,154,7,0,"Endpoint Detection and Response::2,Microsoft Sysmon Logs::1,Windows Security::1",No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-","Enterprise Security Content Update",0,0,3,0,154,7,0,"Endpoint Detection and Response::2,Microsoft Sysmon Logs::1,Windows Security::1",No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-","Splunk Security Essentials",0,0,1,0,154,7,0,"Endpoint Detection and Response::2",No
"Enterprise ATT&CK","Defense Evasion","Obfuscated Files or Information","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"Query Registry","-",Any,0,0,2,0,118,2,0,"Endpoint Detection and Response::2",No
"Enterprise ATT&CK",Discovery,"Query Registry","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"Query Registry","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"Query Registry","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"Query Registry","-","Splunk Security Essentials",0,0,2,0,118,2,0,"Endpoint Detection and Response::2",No
"Enterprise ATT&CK",Discovery,"Query Registry","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-",Any,0,0,11,0,49,49,0,"Endpoint Detection and Response::9,Network Communication::1,Risk Modifiers::1",No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-","Enterprise Security Content Update",0,0,6,0,49,49,0,"Endpoint Detection and Response::9,Network Communication::1,Risk Modifiers::1",No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-","Splunk Security Essentials",0,0,5,0,49,49,0,"Endpoint Detection and Response::9",No
"Enterprise ATT&CK",Execution,"Command and Scripting Interpreter","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-",Any,0,0,2,0,56,2,0,"Endpoint Detection and Response::2",No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-","Splunk Security Essentials",0,0,2,0,56,2,0,"Endpoint Detection and Response::2",No
"Enterprise ATT&CK",Exfiltration,"Scheduled Transfer","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Service Stop","-",Any,0,0,3,0,51,3,0,"Endpoint Detection and Response::3",No
"Enterprise ATT&CK",Impact,"Service Stop","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Service Stop","-","Enterprise Security Content Update",0,0,3,0,51,3,0,"Endpoint Detection and Response::3",No
"Enterprise ATT&CK",Impact,"Service Stop","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Service Stop","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Service Stop","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-",Any,0,0,9,0,112,9,0,"::1,Anti-Virus or Anti-Malware::6,DNS::1,Web Proxy::1",No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-","Enterprise Security Content Update",0,0,2,0,112,9,0,"::1,DNS::1",No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-","Splunk App for Enterprise Security",0,0,2,0,112,9,0,"Anti-Virus or Anti-Malware::6",No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-","Splunk Security Essentials",0,0,4,0,112,9,0,"Anti-Virus or Anti-Malware::6",No
"Enterprise ATT&CK","Initial Access","Drive-by Compromise","-","Splunk User Behavior Analytics",0,0,1,0,112,9,0,"Web Proxy::1",No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Taint Shared Content","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-",Any,0,0,63,0,100,101,0,"::4,AWS::28,Anti-Virus or Anti-Malware::4,Authentication::24,Box::4,Change Events Data::20,GCP::20,Network Communication::4,SFDC::8,Ticket Management::8,User Activity Audit::4,Web Server::4,Windows Security::120",No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-","Enterprise Security Content Update",0,0,19,0,100,101,0,"::4,AWS::28,Change Events Data::20,GCP::20,Web Server::4,Windows Security::120",No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-","Splunk App for Enterprise Security",0,0,8,0,100,101,0,"Anti-Virus or Anti-Malware::4,Authentication::24,User Activity Audit::4,Windows Security::120",No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-","Splunk Security Essentials",0,0,22,0,100,101,0,"AWS::28,GCP::20,SFDC::8,Ticket Management::8,Windows Security::120",No
"Enterprise ATT&CK",Persistence,"Valid Accounts","-","Splunk User Behavior Analytics",0,0,14,0,100,101,0,"Authentication::24,Box::4,Network Communication::4,Windows Security::120",No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-",Any,0,0,17,0,102,19,0,"Endpoint Detection and Response::14,Microsoft Sysmon Logs::12,Network Communication::6,Windows Security::2",No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-","Enterprise Security Content Update",0,0,17,0,102,19,0,"Endpoint Detection and Response::14,Microsoft Sysmon Logs::12,Network Communication::6,Windows Security::2",No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Process Injection","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Org Information","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Establish Accounts","-",Any,0,0,0,0,0,0,0,,No
