phase,type,event,date,title,description,Presenter,link,"__mv_phase","__mv_type","__mv_event","__mv_date","__mv_title","__mv_description","__mv_Presenter","__mv_link"
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf19","2019-10-23","Don't Blow Your Budget Fighting Fraud; Orchestrate and Automate Instead","Manual sorting through spreadsheets, disparate applications, and scattered data sources to conduct link analysis for a fraud investigation is both painful and ineffective. There must be a better way, right? In this session we'll use Splunk Enterprise and Splunk Phantom to automate repeatable fraud investigation tasks, which will save your team time and better protect your assets from the bad guys.","Abhishek Dujari, Security Specialist, APAC, Splunk Matthew Joseff, Director of Specialists - North Asia and Japan, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1104","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Abhishek Dujari, Security Specialist, APAC, Splunk$;$Matthew Joseff, Director of Specialists - North Asia and Japan, Splunk$",
"Email Phishing",Conf,".conf19","2019-10-23","Using Splunk and DNS to detect that your domains are being abused for phishing","<p>As a high-profile public-sector organization, the Dutch Tax and Customs Administration deals with criminals claiming to be representatives of the organization and contacting the public with phishing e-mails every day. By using Splunk and RFC’s like, RFC7208 – Sender Policy Framework (SPF) for Authorizing Use of Domains in Email, we have developed a technique to identify phishing attacks that are carried out under the disguise of the Dutch Tax and Customs Administration. This technique is universally applicable. A precondition is access to the DNS logging. By means of this technique, insight can be obtained where the phishing e-mails are sent from and to whom the phishing e-mails are sent. In this talk we will start by explaining which standards are available to increase e-mail security and how we have build an app in Splunk, including dashboard and a wizard to create the necessary DNS records to gain insight information about the abuse of our domains.</p>
","Arnold Holzel, Senior Security Consultant, SMT Karl Lovink, Lead Security Operations Center, Dutch Tax and Customs Administration","https://conf.splunk.com/watch/conf-online.html?search=SEC1106","$Email$;$Phishing$",,,,,,"$Arnold Holzel, Senior Security Consultant, SMT$;$Karl Lovink, Lead Security Operations Center, Dutch Tax and Customs Administration$",
"Data exfiltration Encrypt data Exploit vulnerability",Conf,conf21,"2021-10-20","Enabling DevSecOps and Securing the Software Factory With Splunk","Software delivery chain exploits have been headline news this last year, and tech-enabled enterprises realize the impact that their software delivery chain has on their attack surface and overall business viability. In this session, we'll first discuss how Splunk can be used for DevSecOps use cases, and then we'll look at attack detection use cases for your software development delivery chain using Splunk. We'll focus on TTPs that have been reported from recent incidents and apply anomaly detection, scoring, and aggregation techniques to detect them. After the session, attendees will have access to the data and analytics from the talk via BOSSng, Splunk's new on-demand security workshop platform.","Dave Herrald, Principal Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1108C","$Data exfiltration$;$Encrypt data$;$Exploit vulnerability$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-20","Streamlining Analysis of Security Stories with Risk-Based Alerting","<p>Risk-based alerting is the future when it comes to detecting and responding to advanced threats, while simultaneously reducing reliance on low-fidelity, high-volume, single-event security alerts. With a risk-based security story, analysts are equipped with the context needed to make better decisions. However, you still need to craft a system to help them make sense of the patterns. Building on the excellent groundwork for RBA from previous .conf talks, we'll discuss how to present this data in a meaningful way and cover interactive dashboard techniques for collecting, presenting, and integrating this useful information for our analysts.</p>
","Haylee Mills, Security Engineer, Charles Schwab","https://conf.splunk.com/watch/conf-online.html?search=SEC1113A","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Email Encrypt data Internet-exposed service Malicious document Phishing",Conf,".conf19","2019-10-23","Automate Your Phishing Response with Splunk Enterprise Security, Splunk Phantom, and Machine Learning","We developed an automation framework that classifies and mitigates emails reported to the SOC. The framework acts as an engine that consumes multiple data sources, including a supervised machine learning model and a risk scoring algorithm to assess with high confidence if an email is phishing, spam, or benign. We will discuss the benefits of our approach to phishing mitigation, such as enhancing our SOC's ability to automatically identify, prioritize, and mitigate malicious phishing attempts against employees before any damage is done.  The session will outline the overall design of the framework, detail the primary components that are used within Splunk Phantom and Splunk Enterprise Security, and will outline the supervised machine learning model that we trained to aide the automation engine.  ","Benji Arnold, Sr. Security Analyst , JPMorgan Chase Mackenzie Kyle, Manager - Cybersecurity Operations Center, JPMorgan Chase","https://conf.splunk.com/watch/conf-online.html?search=SEC1128","$Data exfiltration$;$Email$;$Encrypt data$;$Internet-exposed service$;$Malicious document$;$Phishing$",,,,,,"$Benji Arnold, Sr. Security Analyst , JPMorgan Chase$;$Mackenzie Kyle, Manager - Cybersecurity Operations Center, JPMorgan Chase$",
"Data exfiltration Email Encrypt data",Conf,".conf20","2020-10-21","Detecting Business Email Compromise (BEC) using Splunk","<p>Is your company worried about Business Email Compromise (BEC)? Many of the most prepared organizations still fall victim to fraudulent emails that can cost tens of thousands of dollars. During this talk, we will discuss how to use Splunk to detect suspicious emails where an attacker uses impersonation to defraud you for financial gain, such as asking for a wire transfer or change of banking information. Learn about the features that are most effective in identifying BEC attacks, and see the SPLs that make it easy to detect lookalike domains without exhausting your computational power. We will share ideas on how to leverage your data to gain insights and detect BEC in your organization.</p>
","Teresa Chila, Data Scientist, Chevron","https://conf.splunk.com/watch/conf-online.html?search=SEC1169A","$Data exfiltration$;$Email$;$Encrypt data$",,,,,,,
"Malicious document",Conf,".conf19","2019-10-24","Defend Against Malicious Insiders Using Splunk Enterprise Security, Splunk's Machine Learning Toolkit, and Statistics","<p>Identifying insider threats is always difficult, and the challenge grows exponentially as the size of a workforce increases and the diversity of normal employee behavior expands. As a result, analysts must get creative to separate routine from malicious activity. This presentation will detail how Lockheed Martin uses machine learning and anomaly detection to identify insider threats. We'll discuss real-world examples of how we leverage Splunk' Machine Learning Toolkit with Summary Indexes, Lookups, Alerts, and Splunk Enterprise Security.</p> ","Bryan Thiry, Cyber Intel Analyst Sr, Lockheed Martin Jason Barnette, Cyber Intel Analyst Sr., Lockheed Martin","https://conf.splunk.com/watch/conf-online.html?search=SEC1178",,,,,,,"$Bryan Thiry, Cyber Intel Analyst Sr, Lockheed Martin$;$Jason Barnette, Cyber Intel Analyst Sr., Lockheed Martin$",
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-24","The House Always Wins: Using Splunk Enterprise to Fight Data Exfiltration From Insider Threats","What happens when the call is coming from inside the house? Data exfiltration by insiders is a dangerous threat, but one that often doesn't get the same level of attention as the sexier external ones. We'll start this session with a brief overview of why and how users exfiltrate information, and we'll progress to tactics, such as effective SPL searches, for operationalizing insider threat detection. You'll leave this session better able to catch insider threats in the in the act of exfiltration instead of days, weeks, or months later. ","David Doyle, Splunk Puncher, Bechtel Eric Secules, Forensic Investigator, Bechtel","https://conf.splunk.com/watch/conf-online.html?search=SEC1179","$Data exfiltration$;$Encrypt data$",,,,,,"$David Doyle, Splunk Puncher, Bechtel$;$Eric Secules, Forensic Investigator, Bechtel$",
"Internet-exposed service",Conf,".conf19","2019-10-23","Securing a Global Investment Fund Using Splunk Cloud and Splunk Enterprise Security","<p>Join this session to learn the do’s and dont’s of rolling an effective cloud security visibility platform for a global organization. We will cover topics such as why we moved away from our previous SIEM provider, deploying and managing a cloud-based SIEM, and effectively using a third party organization to provide tier 1 and 2 event and incident support.</p> ","Simon O’Brien, Principal Sales Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1205",,,,,,,,
"Command and control Data exfiltration Encrypt data Malicious document",Conf,conf21,"2021-10-20","Threat Modeling: The Bare Necessities","As a SOC Manager, I am responsible for doing my part in ensuring that our company is secure. One way that I accomplish this is through implementing threat modeling with Splunk Enterprise. Rather than taking a traditional approach of throwing everything and the kitchen sink from the MITRE ATT&CK Framework, we've documented what controls we need to cover down and have created customized alerts to take in the various data contexts to ensure that our alerts are comprehensive and efficient through regular efficiency testing. In this talk, we will review the strategy used for choosing what controls are needed and provide sample SPL used to create our alerts so you can implement them within your own environments.","Rebecca Blair, SOC Manager, Toast Tab","https://conf.splunk.com/watch/conf-online.html?search=SEC1205B","$Command and control$;$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Command and control Exploit vulnerability Malicious document Valid credentials",Conf,conf21,"2021-10-20","Automated Vulnerability Detection and Verification with Ernst and Young & Splunk","The entire vulnerability management cycle can be tedious, and security teams are expected to effectively communicate to prevent any malicious actors from exploiting known vulnerabilities. From identifying assets that have vulnerabilities to remediation and validation, every part of the vulnerability management cycle can be automated to help security teams feel less overwhelmed and more in control. Dominic Salas from Splunk's Global Security Team and Rob Mayeski from Ernst and Young will demonstrate how they use Splunk SOAR to assess vulnerabilities and validate if those vulnerabilities are indeed patched, so the known vulnerability no longer presents a threat.","Robb Mayeski, Senior Manager, EY","https://conf.splunk.com/watch/conf-online.html?search=SEC1209A","$Command and control$;$Exploit vulnerability$;$Malicious document$;$Valid credentials$",,,,,,,
"Data exfiltration Encrypt data Lateral movement Malicious document",Conf,".conf20","2020-10-21","How Lockheed Martin Detects Malicious Insiders Using Machine Learning, Statistics, and Splunk Enterprise Security","<p> </p>

<p>This talk will examine events from the past year that advanced Lockheed Martin's Risk Score Framework from its version presented last year at .conf19. This session will start with a quick recap of last year's presentation and then transition to an in-depth look into advancements Lockheed Martin made in triage management by utilizing Splunk Enterprise Security’s Investigation Workbench. The session will then move into a review of new machine learning and statistical detections added to the Framework and end by addressing how the metrics that Lockheed Martin has collected over the past year can be used to tune detections and ensure high fidelity results. The in-depth discussion regarding the new triage methods will detail the migration of the triage process to Splunk Enterprise Security, leveraging a custom deployment of the Workbench to provide an efficient review of Risk Score Framework notable events. Specific examples of new detections include anomalous data movement destinations, peer group detections, and several others.</p>
","Jason Barnette, Cyber Intel Analyst Asc. Manager, Lockheed Martin","https://conf.splunk.com/watch/conf-online.html?search=SEC1212A","$Data exfiltration$;$Encrypt data$;$Lateral movement$;$Malicious document$",,,,,,,
"Internet-exposed service",Conf,conf21,"2021-10-19","SOAR High Like a BOSS and Stop Internal DDOS","Are all the events you want in Splunk SOAR ending up there? This session will walk you through the strategies to help you achieve an event ingestion success rate of 100% while reducing the possibility of unintentional internal Denial of Service impacts. Join Patrick Gibson and Taylor Shattuck from Huntington National Bank to learn how to provide a robust ingestion process in a multitenancy environment that reduces impact to downstream integrations and platform users. 
 Techniques include:
 - Implement monitoring to catch missed events
 - Status changes on notable events to facilitate monitoring
 - Event ingestion throttling and interval tuning
 - Custom list environment variables for flexibility 
 - Switch from a push to a pull model
","Patrick Gibson, Principal Cybersecurity Engineer, Huntington National Bank","https://conf.splunk.com/watch/conf-online.html?search=SEC1238B",,,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-23","Advanced Threat Hunting and Anomaly Detection with Splunk UBA","<p>Splunk User Behavior Analytics (UBA) contains the largest library of unsupervised machine learning in the market. In this session we'll show how to analyze data from both cloud and on-premises data sources in both types of deployment (cloud/on-premises) to convey the unique benefits of Splunk UBA. We'll discuss real world examples that showcase the importance of using UBA and all other tools at your disposal for day-to-day threat hunting. Specifically, we'll show how to use Splunk Enterprise, Splunk Enterprise Security, and Splunk UBA together to hunt and detect anomalies that can reveal significant threats. We'll wrap up with best and worst practices from deployments seen throughout the world.</p> ","Tom Smit, Staff Sales Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1248","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Feed the Beast! Use Splunk to Address APTs At Speed and Scale By Utilizing Endpoint-Centric Threat Hunting Uses Cases ","<p>Going beyond basic perimeter defense, Threat Hunting cuts through the noise of endpoint telemetry and anti-virus data to find nation-state level Advanced Persistent Threats (APTs) that hide below the alert threshold. We will demonstrate, through 4 hunt analytic use cases, how to overcome the legacy challenge of relying on Packet Capture (PCAP) data to detect adversaries, highlighting the need to transform Hunt operations by combining Endpoint Detection and Response (EDR) telemetry data with knowledge of APT behavior to find hidden adversaries. This talk will provide a framework for planning and executing hunts, demonstrate why focusing on EDR telemetry data can add additional value over and beyond traditional network data, and how to strengthen hunting through a Purple Team approach.</p>
","Jay Novak, Threat Hunt Team Lead, Booz Allen Hamilton Max Moerles, Cyber Threat Analyst , Booz Allen Hamilton","https://conf.splunk.com/watch/conf-online.html?search=SEC1250","$Data exfiltration$;$Encrypt data$",,,,,,"$Jay Novak, Threat Hunt Team Lead, Booz Allen Hamilton$;$Max Moerles, Cyber Threat Analyst , Booz Allen Hamilton$",
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","You replaced IBM QRadar with Splunk Enterprise Security. Now What?","<p>Never used Splunk before, have no Splunk admins and you’ve just bought Splunk Enterprise Security? That was us, and now we're using Splunk in ways that we could've only dreamed of using IBM QRadar. In this session we’ll share our implementation story, how we worked with Splunk to accelerate our learning curve, and how we went from 0 to 3TB in 3 months with no Splunk admins. We'll also cover how Splunk allows us to onboard data sources that we couldn't with QRadar.</p> ","Nick  Ho, Sales Engineer, Splunk Ross Rutherford, Information Security Engineer, Western Union","https://conf.splunk.com/watch/conf-online.html?search=SEC1264","$Data exfiltration$;$Encrypt data$",,,,,,"$Nick  Ho, Sales Engineer, Splunk$;$Ross Rutherford, Information Security Engineer, Western Union$",
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","Anomaly Detection and Insider Threat Hunting with Splunk UBA","<p>Splunk User Behavior Analytics (UBA) contains the largest library of unsupervised machine learning in the market. In this session we'll show how to analyze data from both cloud and on-premises data sources in both types of deployment (cloud/on-premises) to convey the unique benefits of Splunk UBA. Using real world data generated in the Boss of the SOC datasets, we'll see how a SOC analyst can track an anomaly throughout their entire environment. Using the Splunk Security Operations Suite we will see how Splunk User Behavior Analytics turns off the noise and lets you focus on important threats and anomalies in your environment.</p>
","Tom Smit, Principal Sales Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1279C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Exploit vulnerability Malware",Conf,".conf19","2019-10-24","Scary (Spooky?) Fast Intelligence-Based Hunting with Splunk Phantom","Organizations today struggle with quickly and consistently applying behavior-based threat intelligence across their security tools. The hours needed to stitch together this information manually leave analysts unprepared to quickly turnaround questions from management about their vulnerability to threats that their management sees in the news. In this session we will demonstrate how to use Splunk Phantom to reduce that time lag by automating your threat hunts. Specifically, we will show you how to use Yet Another Recursive Algorithm (YARA) rules on endpoint and network security tools automatically and simultaneously. We will use a case study to show the benefits achieved from this playbook: better reporting, more robust procedures, faster time to detect malware variants, and generally more efficient and effective threat hunts.","Robb Mayeski, Security Automation Magician , EY","https://conf.splunk.com/watch/conf-online.html?search=SEC1280","$Exploit vulnerability$;$Malware$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-20","AWS Security and the Splunk Security Suite","<p>Using real world data generated from Boss of the SOC, we'll show how Splunk Enterprise and the security portfolio integrate with AWS' built in security tools. We'll discuss how to increase your security maturity in your AWS deployments using the Splunk security portfolio. Utilizing the same data sources, we'll learn how to detect and defend against some common attacks against your cloud infrastructure.</p>
","Megan Parsons, Miracle Maven, Splunk Tom Smit, Principal Sales Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1280C","$Data exfiltration$;$Encrypt data$",,,,,,"$Megan Parsons, Miracle Maven, Splunk$;$Tom Smit, Principal Sales Engineer, Splunk$",
"Command and control",Conf,conf21,"2021-10-19","Splunk SOAR: Automation for the Modern SOC","The security operations center (SOC) is overwhelmed. Analysts are drowning in security alerts. Security operations work is rife with monotonous, repetitive tasks. And mean time to detect, triage and respond to threats is still too slow. So, stop being overwhelmed and get in control! Splunk SOAR (Phantom) provides security orchestration, automation and response capabilities that empower your SOC to automate repetitive tasks, increase analyst productivity, and triage security incidents in seconds. In this session, Splunk security experts will provide a deep dive into the benefits of  Splunk SOAR and provide demos showing how Splunk SOAR solves common security use cases.","Phil Royer, Research Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1301C",,,,,,,,
"Email Malicious document",Conf,".conf19","2019-10-22","Detect and Mitigate Insider Threats Using Splunk's Machine Learning Toolkit and Splunk Enterprise Security","<p>When is a 20MB email to an external Gmail account dangerous? It all depends on context. Understanding what normal behavior is will reveal whether specific behavior is malicious or ordinary. We’ll walk you through how using Splunk’s Machine Learning Toolkit and Splunk Enterprise Security together provides actionable insight for analysts to improve security. We'll also detail how we caught insider threats in our environment with these tools.</p> ","Karthik Subramanian, Principal Senior Cybersecurity Engineer, SAIC Tyler Williams, Cybersecurity Data Analyst, SAIC","https://conf.splunk.com/watch/conf-online.html?search=SEC1305","$Email$;$Malicious document$",,,,,,"$Karthik Subramanian, Principal Senior Cybersecurity Engineer, SAIC$;$Tyler Williams, Cybersecurity Data Analyst, SAIC$",
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Using Splunk to Catch Theft Rings","We helped our client use Splunk to disrupt theft rings plaguing its retail stores. We'll present how we took in public wifi data, tracked MAC addresses that appeared in multiple stores, and ultimately created a system in Splunk that alerted in-store loss prevention teams when individuals likely to be involved in theft rings entered the store. We'll go over the steps taken to operationalize our theft deterrence program so that you can adopt it in your organization or modify it to fit your needs.","Logan Foshee, Threat Analyst, Lowe's Nic Haag, Splunk Professional Services Consultant, Aditum Partners","https://conf.splunk.com/watch/conf-online.html?search=SEC1336","$Data exfiltration$;$Encrypt data$",,,,,,"$Logan Foshee, Threat Analyst, Lowe's$;$Nic Haag, Splunk Professional Services Consultant, Aditum Partners$",
"Command and control Data exfiltration Encrypt data Malicious document",Conf,conf21,"2021-10-20","How to Use Splunk to Protect the PLC That's Running Your Industrial Process","Industrial processes are typically controlled by hardened devices called Programmable Logic Controllers (PLC). Technological improvements in networking have unfortunately exposed PLCs to malicious actors and the ransomware wars. This malicious interaction can have dangerous consequences because of its potential impact on human and environmental safety and result in costly downtime. Part of an effective multilayered defense includes monitoring for tampering. Since PLCs do not run on Windows or Linux, no off-the-shelf software products like anti-virus scanners or host firewalls exist that can be installed on them. Currently, the only way to monitor a PLC is by externally watching its network traffic. We will demonstrate an innovative solution consisting of developing a local agent natively in the PLC that generates monitoring data to be ingested into Splunk, where analytics can be developed to detect cyber threats.","Hien Nguyen, Senior OT Security Engineer, Booz Allen Hamilton","https://conf.splunk.com/watch/conf-online.html?search=SEC1342A","$Command and control$;$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","How to Fight Fraud with Splunk","<p><span style=""font-size: 11.0pt;""><span style=""font-family: Calibri;"">Fight, flight, or freeze: these are some of the ways we respond to threats. Fraud can be so overwhelming that you feel paralyzed, hopeless, and helpless. Excel spreadsheets alone can no longer mitigate the estimated $170 billion in fraud loss every year. If you take into consideration the time and money spent on investigation, analysis, and mitigation, the number is closer to $1 trillion. Join us for an exciting session where we will get you started on your journey to fight fraud with Splunk. You will learn different ways to analyze your data, reduce risk, and be introduced to the Machine Learning Toolkit.</span></span></p>
","Haider Al-Seaidy, Financial Services Technical Strategist, Splunk Matthew Joseff, Director APAC Specialization, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1354C","$Data exfiltration$;$Encrypt data$",,,,,,"$Haider Al-Seaidy, Financial Services Technical Strategist, Splunk$;$Matthew Joseff, Director APAC Specialization, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Klapp-Back at Attackers: Capturing Data in the Wild to Build Tailored Defenses with Splunk Security Analytics","Splunk's Security Research Team collects attack data in the wild from across the globe and analyzes new and unusual techniques, tactics, and procedures employed by threat actors. We use this data to help customers build tailored defenses—defenses that automatically detect, investigate, and respond to suspicious activities in real time. In this session we will discuss how Splunk security researchers created our own honeypot and data collection framework in response to research demonstrating that honeypots were twice as effective as open-source intelligence feeds at detecting new threats (http://tinyurl.com/y335po8d). We will provide an introduction to honeypots and explain how we architected and built KLAPP-Back, a high-interaction SSH honeypot. We will also discuss how KLAPP-Back helped us build better detection analytics and seed Splunk Enterprise Security, Splunk Phantom, and Splunk User Behavior Analytics use cases with attacker data. ","Bhavin Patel, Security Software Engineer, Splunk Jose Hernandez, Security Researcher, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1357","$Data exfiltration$;$Encrypt data$",,,,,,"$Bhavin Patel, Security Software Engineer, Splunk$;$Jose Hernandez, Security Researcher, Splunk$",
"Data exfiltration Encrypt data Malicious document",Conf,conf21,"2021-10-19","Learn by Doing: California Polytechnic State University Students Enable Security Operations Center","California Polytechnic State University uses Splunk Enterprise Security. We employ the Cal Poly ""Learn by Doing"" learning philosophy, empowering our student employees to build our SIEM and SOAR toolsets. The student's work improves the security posture of our campus and its 24K users. We've developed a training program combining Splunk resources, internally developed materials, and on-the-job training and mentorship. In addition to handling daily alerts, we put the students to work creating SOC dashboards, queries, alerts and reports. The team of students is working on correlating data across various data sources to improve detection capabilities. Finally, we've created a ""badging"" program to document the skills students acquire.","Jon Vazquez, Information Security Analyst, California Polytechnic State University","https://conf.splunk.com/watch/conf-online.html?search=SEC1361B","$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Command and control Data exfiltration Encrypt data",Conf,".conf20","2020-10-21","SIEM the Skyscanner way: integrating Splunk into our Security practice","<p><span style=""font-size: 11.0pt;""><span style=""font-family: Calibri;"">In this talk, we will cover the integrations we have done between Splunk and Skyscanner security practice and tools we used to improve our processes. For example, an AWS Lambda + Slack app that lets us triage alerts from Slack, create JIRA tickets, and reuse existing processes. Or a KVStores/Logs where we include information about all our AWS accounts and public IPs to feed the information into dashboards and alerts. What about a GitHub repository of Splunk alerts to keep track of changes, do peer review, and have alerts as code. We also used a TTD/TTR dashboard to stay aware of alerts being generated and perform alert reviews with proper data. We will present an example of error/alert controls to detect problems in all steps of the process, such as unusual changes and deletions of logs. Finally, we will talk about our favorite controls.</span></span></p>
","Marc Santamaria, Senior Security Engineer, Skyscanner","https://conf.splunk.com/watch/conf-online.html?search=SEC1366B","$Command and control$;$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-24","Augment Your Security Monitoring Use Cases with Splunk's Machine Learning Toolkit","<p><span style=""font-size: 11.0pt;""><span style=""font-family: Calibri , sans-serif;""><span style=""font-size: 10.0pt;""><span style="""">Do you want to use machine learning to enhance your datacenter security monitoring, but you don’t know where to start? Then this is the talk for you. Come learn how high secure datacenter operations benefit from operationalizing machine learning. With the help of the Splunk's Machine Learning Toolkit, your security analysts can take different approaches to use case creation and gain new insight into what's going on in your environment. We'll detail the challenges, benefits and use cases of using machine learning for datacenter security monitoring, and we'll answer questions such as: Where does it make sense to apply machine learning, and where should we stick with classic searches? Can we detect meaningful anomalies in system behavior? Is it possible to cluster our account activities and find unusual patterns? This is a practical session of security monitoring use cases, deep diving into the ideas, concepts and the SPL behind them.</span></span></span></span></p>
","Philipp Drieger, Staff Machine Learning Architect , Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1374","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-22","Use Red Team Exercises to Build Alerts, Train Staff, and Drive Policies","Most of us have had (or still have) nightmares about an alert that someone's exfltrating data from our organization. We've lived that nightmare at Harris, and we've learned from it. In this session, we'll discuss how we used red and purple teaming to improve our security posture post-breach. Learn from our experience so that you can strengthen your team's alerting, staff comptency, and policies, and reduce the risk of a breach at your company.","Adam Parsons, Sr. Detection & Response Engineer, L3Harris Technologies Nate Piquette, Sr. Detection & Response Engineer, L3Harris Technologies","https://conf.splunk.com/watch/conf-online.html?search=SEC1375","$Data exfiltration$;$Encrypt data$",,,,,,"$Adam Parsons, Sr. Detection & Response Engineer, L3Harris Technologies$;$Nate Piquette, Sr. Detection & Response Engineer, L3Harris Technologies$",
"Command and control",Conf,conf21,"2021-10-20","Come Together, Right Now: Bolster Team Effectiveness with Splunk Mission Control","Inefficiencies in your security operations can be costly. Security teams need their tools to work for them - not against them - especially in urgent times when it's all-hands-on-deck. Splunk Mission Control can help bolster your team's effectiveness by utilizing a cloud-based platform that provides a common work surface for security teams. In this session, we'll cover new capabilities within Mission Control that can help you effectively train your analysts, collaborate with one another and streamline case management. We'll also feature use cases that you can incorporate by leveraging our open Plugin Framework to further optimize your team's security operations.","Wissam Ali-Ahmad, Staff Partner Solutions Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1380C",,,,,,,,
"Data exfiltration Encrypt data",Conf,".conf19","2019-10-23 2019-10-24","Building a Security Monitoring Strategy 2.0","So you have a SIEM with security data, e.g. firewalls, proxy, endpoint data, etc. Now what? How do you effectively operationalize your investment? This session provides recipes, principles, patterns, and strategies for using Splunk and data-driven analytics to move your security monitoring and compliance effectiveness up the maturity curve. This session will cover how to identify key mixes of data sources, core OOTB content to use, and how to layer capabilities aligned with your maturity. We will help you go beyond the endless alerts and investigations and start creating value by reducing the impact of potential security events. We're excited to show you that there's no need for a PhD in security assurance and operations—just Splunk and a solid plan.","Paul Davilar, Security Consultant, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1391","$Data exfiltration$;$Encrypt data$",,,"$2019-10-23$;$2019-10-24$",,,,
"Data exfiltration Encrypt data Valid credentials",Conf,".conf20","2020-10-20","Simulated Adversary Techniques Datasets for Splunk","<p>One of the most challenging and time-consuming tasks we do in the Splunk research team is testing and validation of detection rules. For the Splunk security research team, the typical process is to spin up an attack_range, launch an attack simulation(s), and then iterate on searches that detect the simulated actor/technique/or procedures. This process is ideal during the development process for new detections, but it's cumbersome when all you want to do is to test an already existing detection. We solved this by using the Simulated Adversary Techniques Datasets for Splunk! We built a list of datasets from attacks generated by the attack_range. These datasets are broken down by platform, adversary groups, techniques, and tactics, according to the MITRE ATT&CK matrix. Allow us to share this amazing gem with you and help you better test your detections in Splunk.</p>
","José Hernandez, Sr Manager, Threat Research, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1392C","$Data exfiltration$;$Encrypt data$;$Valid credentials$",,,,,,,
"Data exfiltration Encrypt data",Conf,conf21,"2021-10-20","Anomaly Mining in Windows Event Logs","Most security practitioners are very familiar with the traditional rules-based part of a SIEM solution. Data science and data mining techniques take a ML based approach to understand the behavioral characteristics of the data. By analyzing the normal behavior or just by finding clusters of similar events that involve users, devices or even event codes, we can enhance the detection capabilities of any SOC.
In this session, we will introduce a ML pipeline, freely available to any Splunk user with the Smart Windows Security Insights App for Splunk, using algorithms that are part of the MLTK app. Attendees are introduced to the core and practical aspects of these algorithms, which will allow them to adapt this proposal to their own use cases.
","Greg Ainslie-Malik, Principal Product Manager, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1395A","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf20","2020-10-20","Developing cloud detections using Cloud Attack Range","<p>Eighty-three percent of enterprise workloads will move to the cloud by the year 2020. This means we will see more and more adversaries targeting cloud infrastructure. Therefore, the Splunk Security Research Team is focusing its efforts on developing detection rules for cloud attacks. In order to continuously test and improve the cloud detections, the team developed the Cloud Attack Range. The Cloud Attack Range is an open source project that allows you to build a cloud detection lab in AWS in under 30 minutes complete with virtual machines, a Kubernetes cluster, and serverless cloud infrastructure. Additionally, a pre-configured Splunk instance is deployed, which collects the different AWS and Kubernetes logs out of the box. The presenters will show different tools that can be used to attack the cloud detection lab and how generated data can be used to build new cloud detections.</p>
","Bhavin Patel, Senior Security Software Engineer, Splunk Patrick Bareiss, Senior Threat Researcher , Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1395C","$Data exfiltration$;$Encrypt data$",,,,,,"$Bhavin Patel, Senior Security Software Engineer, Splunk$;$Patrick Bareiss, Senior Threat Researcher , Splunk$",
