name,id,datasource,data_source_categories,datamodel,datasource_macro,sourcetype,search,journey,category,killchain,usecase
Processes Tapping Keyboard Events,detection_osx_keyboard_taps,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware,Command and Control,Security Monitoring
Kubernetes Azure detect RBAC authorization by account,detection_Kubernetes_Azure_detect_RBAC_authorization_by_account,,,,,,,Stage_3,Cloud Security|SaaS,,-
Detect Excessive Account Lockouts From Endpoint,detection_excessive_lockouts_from_endpoint,Authentication,DS003Authentication-ET02Failure,,,,,Stage_1,Account Compromise,None,Security Monitoring
Detect malicious requests to exploit JBoss servers,detection_malicious_requests_to_exploit_jboss_servers,Web Server,DS014WebServer-ET01Access,,,,,Stage_2,Web Attack,Delivery,Application Security
Spike in File Writes,detection_file_write_spikes,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_2,Ransomware,Actions On Objectives,Security Monitoring|Advanced Threat Detection
Schtasks used for forcing a reboot,detection_schtasks_forced_reboot,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Ransomware,Actions On Objectives,Security Monitoring
Hosts receiving high volume of network traffic from email server,detection_hosts_receiving_high_volume_network_traffic_from_email_servers,Network Communication,DS010NetworkCommunication-ET01Traffic,,,,,Stage_1,Adversary Tactics,Actions On Objectives,Advanced Threat Detection
Abnormally High AWS Instances Terminated by User,detection_abnormally_high_instance_termination,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,Actions On Objectives,Advanced Threat Detection
Detect Mimikatz Using Loaded Images,detection_detect_mimikatz_using_loaded_images,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Malicious PowerShell Process - Execution Policy Bypass,detection_malicious_powershell_process_execpolicy,Endpoint Detection and Response,DS009EndPointIntel-ET03ProcessLaunchwithCLI,,,,,Stage_3,Malware,Command and Control|Actions On Objectives,Security Monitoring
Detect hosts connecting to dynamic domain providers,detection_dyn_dns_queries,DNS,DS002DNS-ET01QueryRequest,,,,,Stage_3,Command and Control,Command and Control|Actions On Objectives,Advanced Threat Detection
Kubernetes Azure detect sensitive role access,detection_Kubernetes_Azure_detect_sensitive_role_access,,,,,,,Stage_3,Cloud Security|SaaS,,-
Processes created by netsh,detection_netsh_launching_process,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Abuse,Actions On Objectives,Other
Detect AWS API Activities From Unapproved Accounts,detection_aws_activity_from_non_approved_accounts,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,Actions On Objectives,Advanced Threat Detection
Kubernetes AWS detect RBAC authorization by account,detection_Kubernetes_AWS_detect_RBAC_authorization_by_account,,,,,,,Stage_3,Cloud Security|SaaS,,-
MacOS - Re-opened Applications,detection_macos_re-opened_applications,,Other,,,,,Stage_3,Endpoint Compromise,Installation|Command and Control,-
Remote Process Instantiation via WMI,detection_remote_wmi_process_instantiation,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Lateral Movement,Actions On Objectives,Advanced Threat Detection
Detect Large Outbound ICMP Packets,detection_large_icmp_outbound,Network Communication,DS010NetworkCommunication-ET01Traffic,,,,,Stage_1,Adversary Tactics,Command and Control,Advanced Threat Detection
First Time Seen Running Windows Service,detection_first_time_seen_running_windows_service,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Malware,Installation|Actions On Objectives,Security Monitoring
Malicious PowerShell Process - Connect To Internet With Hidden Window,detection_malicious_powershell_process_connect_to_internet_with_hidden_window,Endpoint Detection and Response,DS009EndPointIntel-ET03ProcessLaunchwithCLI,,,,,Stage_3,Endpoint Compromise,Command and Control|Actions On Objectives,Advanced Threat Detection
Kubernetes AWS detect sensitive role access,detection_Kubernetes_AWS_detect_sensitive_role_access,,,,,,,Stage_3,Cloud Security|SaaS,,-
EC2 Instance Started With Previously Unseen Instance Type,detection_ec2_instance_started_with_previously_unseen_instance_type,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,None,Advanced Threat Detection
Okta Account Lockout Events,detection_okta_user_lockouts,,Other,,,,,Stage_3,Adversary Tactics,None,Security Monitoring
Common Ransomware Notes,detection_common_ransomware_notes,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Ransomware,Actions On Objectives,Security Monitoring
First Time Seen Child Process of Zoom,detection_First_Time_Seen_Child_Process_of_Zoom,,,,,,,Stage_3,Adversary Tactics,,-
Unsigned Image Loaded by LSASS,detection_unsigned_image_loaded_by_LSASS,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics|,Actions On Objectives,Advanced Threat Detection
Reg.exe Manipulating Windows Services Registry Keys,detection_reg_manipulating_services,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange|DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware,Installation,Security Monitoring
Detect attackers scanning for vulnerable JBoss servers,detection_attackers_scanning_for_vulnerable_jboss_servers,Web Server,DS014WebServer-ET01Access,,,,,Stage_2,Scanning,Reconnaissance,Security Monitoring
SQL Injection with Long URLs,detection_sql_injection_with_long_urls,Web Server,DS014WebServer-ET01Access,,,,,Stage_2,Web Attack,Delivery,Application Security
Unusually Long Content-Type Length,detection_unusually_long_content-type_length,Web Server,DS014WebServer-ET01Access,,,,,Stage_1,Web Attack,Delivery,Application Security
Detect Spike in Network ACL Activity,detection_aws_spike_acl_activity,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,Actions On Objectives,Advanced Threat Detection
EC2 Instance Started With Previously Unseen AMI,detection_ec2_instance_started_with_previously_unseen_ami,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,None,Advanced Threat Detection
Cloud Compute Instance Created By Previously Unseen User,detection_cloud_compute_instance_created_by_previously_unseen_user,Cloud Infrastructure Data,DS036CloudInfrastructure-ET01Compute,,,,,Stage_3,Cloud Security,None,Security Monitoring
Create local admin accounts using net.exe,detection_create_local_admin_via_net,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware,Actions On Objectives,Security Monitoring
Prohibited Network Traffic Allowed,detection_prohibited_allowed_through_fw,Network Communication,DS010NetworkCommunication-ET01Traffic,,,,,Stage_4,Operations|GDPR,Delivery|Command and Control,Security Monitoring|Compliance
Remote Desktop Network Bruteforce,detection_remote_desktop_bruteforce,Network Communication,DS010NetworkCommunication-ET01TrafficAppAware,,,,,Stage_1,Malware|,Reconnaissance|Delivery,Security Monitoring
GCP GCR container uploaded,detection_container_implant_gcp_detection,Cloud Infrastructure Data|Audit Trail|GCP,DS036CloudInfrastructure-ET02Storage|VendorSpecific-gcp-audit,,,,,Stage_3,Cloud Security,None,Security Monitoring
Malicious PowerShell Process - Multiple Suspicious Command-Line Arguments,detection_malicious_powershell_process_multiple_suspicious_arguments,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Endpoint Compromise,Command and Control|Actions On Objectives,Advanced Threat Detection
Kubernetes Azure detect suspicious kubectl calls,detection_Kubernetes_Azure_detect_suspicious_kubectl_calls,,,,,,,Stage_3,Cloud Security|SaaS,,-
Schtasks scheduling job on remote system,detection_schtasks_scheduling_job_on_remote_system,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Lateral Movement,Actions On Objectives,Advanced Threat Detection
GCP Kubernetes cluster scan detection,detection_kubernetes_gcp_scan_fingerprint_attack,,Other,,,,,Stage_3,Cloud Security,Reconnaissance,Security Monitoring
Windows Event Log Cleared,detection_windows_event_log_cleared,Windows Security,VendorSpecific-winsec,,,,,Stage_3,Endpoint Compromise,Actions On Objectives,Advanced Threat Detection
AWS Cloud Provisioning From Previously Unseen Region,detection_aws_cloud_provisioning_from_previously_unseen_region,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,None,Advanced Threat Detection
Detect Mimikatz Via PowerShell And EventCode 4703,detection_powershell_get_sedebug,Windows Security,VendorSpecific-winsec,,,,,Stage_1,Adversary Tactics,Actions On Objectives,Advanced Threat Detection
Unload Sysmon Filter Driver,detection_unload_sysmon_filter_driver,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Adversary Tactics|,Actions On Objectives,Security Monitoring
Scheduled tasks used in BadRabbit ransomware,detection_badrabbit_schtasks,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Ransomware,Actions On Objectives,Security Monitoring
Reg exe used to hide files directories via registry keys,detection_Reg_exe_used_to_hide_files_directories_via_registry_keys,,,,,,,Stage_3,Endpoint Compromise,,-
Detect Oulook.exe writing a .zip file,detection_outlook_writing_zip,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Adversary Tactics|,Installation|Actions On Objectives,Advanced Threat Detection
Create or delete hidden shares using net.exe,detection_create_hidden_shares,Endpoint Detection and Response,DS009EndPointIntel-ET03ProcessLaunchwithCLI,,,,,Stage_3,Malware,Actions On Objectives,Security Monitoring
Clients Connecting to Multiple DNS Servers,detection_clients_connecting_to_multiple_dns_servers,DNS,DS002DNS-ET01Query,,,,,Stage_3,Command and Control,Command and Control,Advanced Threat Detection
DNS Query Requests Resolved by Unauthorized DNS Servers,detection_unauthorized_dns_servers,DNS,DS002DNS-ET01QueryRequest,,,,,Stage_4,Compliance,Command and Control,Compliance
Email files written outside of the Outlook directory,detection_email_files_not_in_outlook_directory,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Adversary Tactics,Actions On Objectives,Advanced Threat Detection
Detect web traffic to dynamic domain providers,detection_dyn_dns_web_traffic,Web Proxy,DS005WebProxyRequest-ET01Requested,,,,,Stage_3,Malware|,Command and Control|Actions On Objectives,Security Monitoring
Remote Registry Key modifications,detection_remote_registry_modifications,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Adversary Tactics,Actions On Objectives,Advanced Threat Detection
New container uploaded to AWS ECR,detection_container_implant_aws_detection,Cloud Infrastructure Data|Audit Trail|AWS,DS036CloudInfrastructure-ET01Compute|VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security,None,Security Monitoring
Suspicious File Write,detection_suspicious_file_writes,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Malware,Actions On Objectives,Security Monitoring
Detect mshta exe running scripts in command-line arguments,detection_Detect_mshta_exe_running_scripts_in_command-line_arguments,,,,,,,Stage_3,Endpoint Compromise,,-
Web Fraud - Password Sharing Across Accounts,detection_password_sharing,Web Server,DS014WebServer-ET01Access,,,,,Stage_1,Abuse|,None,Other
Registry Keys Used For Privilege Escalation,detection_registry_privilege_escalation,Endpoint Detection and Response,DS009EndPointIntel-ET01ObjectChange,,,,,Stage_3,Privilege Escalation,Actions On Objectives,Advanced Threat Detection
Kubernetes Azure scan fingerprint,detection_Kubernetes_Azure_scan_fingerprint,,,,,,,Stage_3,Cloud Security|SaaS,,-
Detection of tools built by NirSoft,detection_execution_of_nirsoft_tools,Endpoint Detection and Response,DS009EndPointIntel-ET03ProcessLaunchwithCLI,,,,,Stage_3,Malware|,Installation|Actions On Objectives,Security Monitoring
Deleting Shadow Copies,detection_delete_shadow_copies,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Ransomware,Actions On Objectives,Security Monitoring
Detect Spike in AWS API Activity,detection_spike_aws_api_call_per_account,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,Actions On Objectives,Advanced Threat Detection
Remote Desktop Process Running On System,detection_remote_desktop_process_running_on_system,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Lateral Movement,Actions On Objectives,Advanced Threat Detection
Excessive DNS Failures,detection_excessive_dns_failures,DNS,DS002DNS-ET01QueryResponse,,,,,Stage_4,Command and Control,Command and Control,Advanced Threat Detection
Detection of DNS Tunnels,detection_dns_tunnelling,DNS,DS002DNS-ET01QueryRequest,,,,,Stage_3,Command and Control,Command and Control|Actions On Objectives,Advanced Threat Detection
Detect Path Interception By Creation Of program exe,detection_Detect_Path_Interception_By_Creation_Of_program_exe,,,,,,,Stage_3,Endpoint Compromise,,-
Suspicious Email Attachment Extensions,detection_suspicious_email_attachments,Email,DS001MAIL-ET02Receive|DS001MAIL-ET03Send,,,,,Stage_3,Endpoint Compromise,Delivery,Security Monitoring
Amazon EKS Kubernetes cluster scan detection,detection_kubernetes_aws_scan_fingerprint,,Other,,,,,Stage_3,Cloud Security,Reconnaissance,Security Monitoring
AWS Cloud Provisioning From Previously Unseen City,detection_aws_cloud_provisioning_from_previously_unseen_city,Audit Trail|AWS,VendorSpecific-aws-cloudtrail,,,,,Stage_3,Cloud Security|SaaS,None,Advanced Threat Detection
Execution of File With Spaces Before Extension,detection_process_with_spaces_before_extension,Endpoint Detection and Response,DS009EndPointIntel-ET01ProcessLaunch,,,,,Stage_3,Malware,Actions On Objectives,Security Monitoring
Kubernetes Azure detect sensitive object access,detection_Kubernetes_Azure_detect_sensitive_object_access,,,,,,,Stage_3,Cloud Security|SaaS,,-
