ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-980,"synonym translation is no longer valid","A synonym did not translate to a legal target object. This could happen for one of the following reasons: 1. The target schema does not exist. 2. The target object does not exist. 3. The synonym specifies an incorrect database link. 4. The synonym is not versioned but specifies a versioned target object.","Change the synonym definition so that the synonym points at a legal target object."
ORA-00981,"cannot mix table and system auditing options","Table and system-wide auditing options were specified in the same AUDIT or NOAUDIT statement.","You must issue table and system options in separate statements."
ORA-981,"cannot mix table and system auditing options","Table and system-wide auditing options were specified in the same AUDIT or NOAUDIT statement.","You must issue table and system options in separate statements."
ORA-00983,"cannot audit or noaudit SYS user actions","An attempt was made to AUDIT or NOAUDIT SYS user actions.","Execute the statement again with a valid user."
ORA-983,"cannot audit or noaudit SYS user actions","An attempt was made to AUDIT or NOAUDIT SYS user actions.","Execute the statement again with a valid user."
ORA-00991,"only MAC privileges may be granted to procedures","Object privileges or non-MAC system privileges were granted to the procedure.","Only grant MAC privileges using the PROCEDURE clause."
ORA-991,"only MAC privileges may be granted to procedures","Object privileges or non-MAC system privileges were granted to the procedure.","Only grant MAC privileges using the PROCEDURE clause."
ORA-01002,"fetch out of sequence","This error means that a fetch has been attempted from a cursor which is no longer valid. Note that a PL/SQL cursor loop implicitly does fetches, and thus may also cause this error. There are a number of possible causes for this error, including: 1) Fetching from a cursor after the last row has been retrieved and the ORA-1403 error returned. 2) If the cursor has been opened with the FOR UPDATE clause, fetching after a COMMIT has been issued will return the error. 3) Rebinding any placeholders in the SQL statement, then issuing a fetch before reexecuting the statement.","1) Do not issue a fetch statement after the last row has been retrieved - there are no more rows to fetch. 2) Do not issue a COMMIT inside a fetch loop for a cursor that has been opened FOR UPDATE. 3) Reexecute the statement after rebinding, then attempt to fetch again."
ORA-1002,"fetch out of sequence","This error means that a fetch has been attempted from a cursor which is no longer valid. Note that a PL/SQL cursor loop implicitly does fetches, and thus may also cause this error. There are a number of possible causes for this error, including: 1) Fetching from a cursor after the last row has been retrieved and the ORA-1403 error returned. 2) If the cursor has been opened with the FOR UPDATE clause, fetching after a COMMIT has been issued will return the error. 3) Rebinding any placeholders in the SQL statement, then issuing a fetch before reexecuting the statement.","1) Do not issue a fetch statement after the last row has been retrieved - there are no more rows to fetch. 2) Do not issue a COMMIT inside a fetch loop for a cursor that has been opened FOR UPDATE. 3) Reexecute the statement after rebinding, then attempt to fetch again."
ORA-01010,"invalid OCI operation","One of the following: 1) You attempted an invalid OCI operation. 2) You are using an Oracle client application linked with version 7.1 (or higher) libraries, the environment variable ORA_ENCRYPT_LOGIN is set to TRUE, and you attempted to connect to a version 7.0 (or lower) Oracle Server. 3) You are connected to a version 7.1 (or higher) Oracle Server, the initialization parameter DBLINK_ENCRYPT_LOGIN is set to TRUE, and you attempted to use a database link pointing to a version 7.0 (or lower) Oracle Server. 4) You are connected to a version 9.0.2(or higher) Oracle Server and you attempted to use a database link pointing to a version 9.0.1(or lower) Oracle Server for distributed autonomous transaction.","For the above causes: 1) Do not use the invalid OCI operation. 2) If you do not wish to use encrypted connect passwords in your distributed database, set ORA_ENCRYPT_LOGIN to FALSE. If you wish to use encrypted connect passwords, you must upgrade all Oracle Servers to version 7.1 (or higher). 3) If you do not wish to use encrypted database links in your distributed database, set DBLINK_ENCRYPT_LOGIN to FALSE. If you wish to use encrypted database links, you must upgrade all Oracle Servers to version 7.1 (or higher). 4) Do not attempt distributed autonomous transaction on version 9.0.1(or lower) Oracle Server."
ORA-1010,"invalid OCI operation","One of the following: 1) You attempted an invalid OCI operation. 2) You are using an Oracle client application linked with version 7.1 (or higher) libraries, the environment variable ORA_ENCRYPT_LOGIN is set to TRUE, and you attempted to connect to a version 7.0 (or lower) Oracle Server. 3) You are connected to a version 7.1 (or higher) Oracle Server, the initialization parameter DBLINK_ENCRYPT_LOGIN is set to TRUE, and you attempted to use a database link pointing to a version 7.0 (or lower) Oracle Server. 4) You are connected to a version 9.0.2(or higher) Oracle Server and you attempted to use a database link pointing to a version 9.0.1(or lower) Oracle Server for distributed autonomous transaction.","For the above causes: 1) Do not use the invalid OCI operation. 2) If you do not wish to use encrypted connect passwords in your distributed database, set ORA_ENCRYPT_LOGIN to FALSE. If you wish to use encrypted connect passwords, you must upgrade all Oracle Servers to version 7.1 (or higher). 3) If you do not wish to use encrypted database links in your distributed database, set DBLINK_ENCRYPT_LOGIN to FALSE. If you wish to use encrypted database links, you must upgrade all Oracle Servers to version 7.1 (or higher). 4) Do not attempt distributed autonomous transaction on version 9.0.1(or lower) Oracle Server."
ORA-01016,"This function can be called only after a fetch","Cursor in an invalid state.","Make sure that the oci/upi function is called after fetch."
ORA-1016,"This function can be called only after a fetch","Cursor in an invalid state.","Make sure that the oci/upi function is called after fetch."
ORA-01019,"unable to allocate memory in the user side","The user side memory allocator returned error.","Increase the processes heap size or switch to the old set of calls."
ORA-1019,"unable to allocate memory in the user side","The user side memory allocator returned error.","Increase the processes heap size or switch to the old set of calls."
ORA-01022,"database operation not supported in this configuration","The attempted database operation does not conform to the user programming interface (UPI) for the two communicating ORACLE servers.","You may need to upgrade one or more of your ORACLE servers or re-link your user side application with new libraries. Report the problem to Worldwide Customer Support."
ORA-1022,"database operation not supported in this configuration","The attempted database operation does not conform to the user programming interface (UPI) for the two communicating ORACLE servers.","You may need to upgrade one or more of your ORACLE servers or re-link your user side application with new libraries. Report the problem to Worldwide Customer Support."
ORA-01023,"Cursor context not found (Invalid cursor number)","The cursor number is not a valid open cursor.","Make sure that the cursor is open."
ORA-1023,"Cursor context not found (Invalid cursor number)","The cursor number is not a valid open cursor.","Make sure that the cursor is open."
ORA-01025,"UPI parameter out of range","An integer parameter to a upi function is out of range.","This usually indicates an error in a tool built on top of the oracle dbms. Report the error to your customer support representative."
ORA-1025,"UPI parameter out of range","An integer parameter to a upi function is out of range.","This usually indicates an error in a tool built on top of the oracle dbms. Report the error to your customer support representative."
ORA-01026,"multiple buffers of size > 4000 in the bind list","More than one long buffer in the bind list.","Change the buffer size to be less than 4000 for the bind variable bound to a normal column."
ORA-1026,"multiple buffers of size > 4000 in the bind list","More than one long buffer in the bind list.","Change the buffer size to be less than 4000 for the bind variable bound to a normal column."
ORA-01027,"bind variables not allowed for data definition operations","An attempt was made to use a bind variable in a SQL data definition operation.","Such bind variables are not allowed."
ORA-1027,"bind variables not allowed for data definition operations","An attempt was made to use a bind variable in a SQL data definition operation.","Such bind variables are not allowed."
ORA-01028,"internal two task error","Received send long message but don't have the cursor context.","Report as a bug."
ORA-1028,"internal two task error","Received send long message but don't have the cursor context.","Report as a bug."
ORA-01029,"internal two task error","Received a request to send the long again when there is no long","Report as a bug"
ORA-1029,"internal two task error","Received a request to send the long again when there is no long","Report as a bug"
ORA-01030,"SELECT ... INTO variable does not exist","The SELECT... INTO specified in the bind call does not correspond to a variable in the SQL statement.","If it is not possible to correct the statement, call customer support."
ORA-1030,"SELECT ... INTO variable does not exist","The SELECT... INTO specified in the bind call does not correspond to a variable in the SQL statement.","If it is not possible to correct the statement, call customer support."
ORA-01031,"insufficient privileges","An attempt was made to perform a database operation without the necessary privileges.","Ask your database administrator or designated security administrator to grant you the necessary privileges"
ORA-1031,"insufficient privileges","An attempt was made to perform a database operation without the necessary privileges.","Ask your database administrator or designated security administrator to grant you the necessary privileges"
ORA-01032,"no such userid","This is an internal error message related to Export/Import.","Contact customer support."
ORA-1032,"no such userid","This is an internal error message related to Export/Import.","Contact customer support."
ORA-01033,"ORACLE initialization or shutdown in progress","An attempt was made to log on while Oracle is being started up or shutdown.","Wait a few minutes. Then retry the operation."
ORA-1033,"ORACLE initialization or shutdown in progress","An attempt was made to log on while Oracle is being started up or shutdown.","Wait a few minutes. Then retry the operation."
ORA-01034,"ORACLE not available","Oracle was not started up. Possible causes include the following: - The SGA requires more space than was allocated for it. - The operating-system variable pointing to the instance is improperly defined.","Refer to accompanying messages for possible causes and correct the problem mentioned in the other messages. If Oracle has been initialized, then on some operating systems, verify that Oracle was linked correctly. See the platform specific Oracle documentation."
ORA-1034,"ORACLE not available","Oracle was not started up. Possible causes include the following: - The SGA requires more space than was allocated for it. - The operating-system variable pointing to the instance is improperly defined.","Refer to accompanying messages for possible causes and correct the problem mentioned in the other messages. If Oracle has been initialized, then on some operating systems, verify that Oracle was linked correctly. See the platform specific Oracle documentation."
ORA-01035,"ORACLE only available to users with RESTRICTED SESSION privilege","Logins are disallowed because an instance started in restricted mode. Only users with RESTRICTED SESSION system privilege can log on.","Request that Oracle be restarted without the restricted option or obtain the RESTRICTED SESSION system privilege."
ORA-1035,"ORACLE only available to users with RESTRICTED SESSION privilege","Logins are disallowed because an instance started in restricted mode. Only users with RESTRICTED SESSION system privilege can log on.","Request that Oracle be restarted without the restricted option or obtain the RESTRICTED SESSION system privilege."
ORA-01036,"illegal variable name/number","Unable to find bind context on user side","Make sure that the variable being bound is in the sql statement."
ORA-1036,"illegal variable name/number","Unable to find bind context on user side","Make sure that the variable being bound is in the sql statement."
ORA-01037,"maximum cursor memory exceeded","Attempting to process a complex sql statement which consumed all available memory of the cursor.","Simplify the complex sql statement."
ORA-1037,"maximum cursor memory exceeded","Attempting to process a complex sql statement which consumed all available memory of the cursor.","Simplify the complex sql statement."
ORA-01038,"cannot write database file version string with ORACLE version string","Attempting to write datafile headers in an old format. The new format can not be used until after the database has been verified as being compatible with this software version.","Open the database to advance to the new file formats, then repeat the operation. If the operation is required before the database can be opened, then use the previous software release to do the operation."
ORA-1038,"cannot write database file version string with ORACLE version string","Attempting to write datafile headers in an old format. The new format can not be used until after the database has been verified as being compatible with this software version.","Open the database to advance to the new file formats, then repeat the operation. If the operation is required before the database can be opened, then use the previous software release to do the operation."
ORA-01039,"insufficient privileges on underlying objects of the view","Attempting to explain plan on other people's view without the necessary privileges on the underlying objects of the view.","Get necessary privileges or do not perform the offending operation."
ORA-1039,"insufficient privileges on underlying objects of the view","Attempting to explain plan on other people's view without the necessary privileges on the underlying objects of the view.","Get necessary privileges or do not perform the offending operation."
ORA-01040,"invalid character in password; logon denied","There are multibyte characters in the password or some characters in the password are not in US7ASCII range.","Resubmit password with valid characters."
ORA-1040,"invalid character in password; logon denied","There are multibyte characters in the password or some characters in the password are not in US7ASCII range.","Resubmit password with valid characters."
ORA-01041,"internal error. hostdef extension doesn't exist","Pointer to hstdef extension in hstdef is null.","Report as a bug"
ORA-1041,"internal error. hostdef extension doesn't exist","Pointer to hstdef extension in hstdef is null.","Report as a bug"
ORA-01042,"detaching a session with open cursors not allowed","An attempt was made to detach a seesio n which had open cursors.","Close all the cursors before detaching the session."
ORA-1042,"detaching a session with open cursors not allowed","An attempt was made to detach a seesio n which had open cursors.","Close all the cursors before detaching the session."
ORA-01043,"user side memory corruption [string], [string], [string], [string]","The application code corrupted some of the usr memory used by oracle","Make sure that the application code is not overwriting memory."
ORA-1043,"user side memory corruption [string], [string], [string], [string]","The application code corrupted some of the usr memory used by oracle","Make sure that the application code is not overwriting memory."
ORA-01044,"size string of buffer bound to variable exceeds maximum string","An attempt was made to bind a buffer whose total size would exceed the maximum size allowed. Total array size for arrays is calculated as: (element_ size)*(number of elements)","Reduce buffer size."
ORA-1044,"size string of buffer bound to variable exceeds maximum string","An attempt was made to bind a buffer whose total size would exceed the maximum size allowed. Total array size for arrays is calculated as: (element_ size)*(number of elements)","Reduce buffer size."
ORA-01045,"user string lacks CREATE SESSION privilege; logon denied","A connect was attempted to a userid which does not have create session privilege.","Grant the user CREATE SESSION privilege."
ORA-1045,"user string lacks CREATE SESSION privilege; logon denied","A connect was attempted to a userid which does not have create session privilege.","Grant the user CREATE SESSION privilege."
ORA-01048,"Couldn't find the specified procedure in the given context","The procedure user specified in deferred RPC doesn't exist.","Check to make sure that the procedure exists and is visible to the replication process."
ORA-1048,"Couldn't find the specified procedure in the given context","The procedure user specified in deferred RPC doesn't exist.","Check to make sure that the procedure exists and is visible to the replication process."
ORA-01049,"Bind by name is not spupportted in streamed RPC","A newer version of server is talking with this version requesting an operation not supported in this version.","None"
ORA-1049,"Bind by name is not spupportted in streamed RPC","A newer version of server is talking with this version requesting an operation not supported in this version.","None"
ORA-01051,"deferred rpc buffer format invalid","The deferred rpc data in sys.def$_call is corrupted.","Contact your customer support representive."
ORA-1051,"deferred rpc buffer format invalid","The deferred rpc data in sys.def$_call is corrupted.","Contact your customer support representive."
ORA-01052,"required destination LOG_ARCHIVE_DUPLEX_DEST is not specified","A valid destination for parameter LOG_ARCHIVE_DUPLEX_DEST was not specified when parameter LOG_ARCHIVE_MIN_SUCCEED_DEST was set to two.","Either specify a value for parameter LOG_ARCHIVE_DUPLEX_DEST, or reduce the value for parameter LOG_ARCHIVE_MIN_SUCCEED_DEST to one."
ORA-1052,"required destination LOG_ARCHIVE_DUPLEX_DEST is not specified","A valid destination for parameter LOG_ARCHIVE_DUPLEX_DEST was not specified when parameter LOG_ARCHIVE_MIN_SUCCEED_DEST was set to two.","Either specify a value for parameter LOG_ARCHIVE_DUPLEX_DEST, or reduce the value for parameter LOG_ARCHIVE_MIN_SUCCEED_DEST to one."
ORA-01055,"Object datatypes not supported for bind or define in this mode","Bind or Define used for objects with an invalid mode","Change the mode."
ORA-1055,"Object datatypes not supported for bind or define in this mode","Bind or Define used for objects with an invalid mode","Change the mode."
ORA-01058,"internal New Upi interface error","Attempt to delete non existant hstdef extension.","Report as a bug."
ORA-1058,"internal New Upi interface error","Attempt to delete non existant hstdef extension.","Report as a bug."
ORA-01059,"parse expected before a bind or execute","The client application attempted to bind a variable or execute a cursor opened in a PL/SQL block before the statement was parsed.","Ensure the statement is parsed before a bind or execute."
ORA-1059,"parse expected before a bind or execute","The client application attempted to bind a variable or execute a cursor opened in a PL/SQL block before the statement was parsed.","Ensure the statement is parsed before a bind or execute."
ORA-01060,"array binds or executes not allowed","The client application attempted to bind an array of cursors or attempted to repeatedly execute against a PL/SQL block with a bind variable of type cursor.","Bind a single cursor or execute the PL/SQL block once."
ORA-1060,"array binds or executes not allowed","The client application attempted to bind an array of cursors or attempted to repeatedly execute against a PL/SQL block with a bind variable of type cursor.","Bind a single cursor or execute the PL/SQL block once."
ORA-01061,"cannot start up a V8 server using a V7 client application","You are using an Oracle client application linked with version 7 (or lower) libraries and you attempted to start up a V8 (or higher) server.","Use a client application linked with V8 (or higher) libraries.60"
ORA-1061,"cannot start up a V8 server using a V7 client application","You are using an Oracle client application linked with version 7 (or lower) libraries and you attempted to start up a V8 (or higher) server.","Use a client application linked with V8 (or higher) libraries.60"
ORA-01062,"unable to allocate memory for define buffer","Exceeded the maximum buffer size for current plaform","Use piecewise fetch with a smaller buffer size"
ORA-1062,"unable to allocate memory for define buffer","Exceeded the maximum buffer size for current plaform","Use piecewise fetch with a smaller buffer size"
ORA-01070,"Using an old version of Oracle for the server","Using pre 7.0.10.1 version of oracle for server","Upgrade server to post 7.0.10.1 version"
ORA-1070,"Using an old version of Oracle for the server","Using pre 7.0.10.1 version of oracle for server","Upgrade server to post 7.0.10.1 version"
ORA-01071,"cannot perform operation without starting up ORACLE","Obvious","None"
ORA-1071,"cannot perform operation without starting up ORACLE","Obvious","None"
ORA-01072,"cannot stop ORACLE; ORACLE not running","Obvious","None"
ORA-1072,"cannot stop ORACLE; ORACLE not running","Obvious","None"
ORA-01073,"fatal connection error: unrecognized call type","An illegal internal operation was attempted.","Contact your customer support representative."
ORA-1073,"fatal connection error: unrecognized call type","An illegal internal operation was attempted.","Contact your customer support representative."
ORA-01074,"cannot shut down ORACLE; inside a login session - log off first","Obvious","None"
ORA-1074,"cannot shut down ORACLE; inside a login session - log off first","Obvious","None"
ORA-01075,"you are currently logged on","Attempt to login while logged in.","None"
ORA-1075,"you are currently logged on","Attempt to login while logged in.","None"
ORA-01076,"multiple logons per process not yet supported","Obvious","None"
ORA-1076,"multiple logons per process not yet supported","Obvious","None"
ORA-01077,"background process initialization failure","Failure during initialization of ORACLE background processes.","Further diagnostic information should be in the error stack or in the trace file."
ORA-1077,"background process initialization failure","Failure during initialization of ORACLE background processes.","Further diagnostic information should be in the error stack or in the trace file."
ORA-01078,"failure in processing system parameters","Failure during processing of INIT.ORA parameters during system startup.","Further diagnostic information should be in the error stack."
ORA-1078,"failure in processing system parameters","Failure during processing of INIT.ORA parameters during system startup.","Further diagnostic information should be in the error stack."
ORA-01079,"ORACLE database was not properly created, operation aborted","There was an error when the database or control file was created.","s to recreate the database or a new control file."
ORA-1079,"ORACLE database was not properly created, operation aborted","There was an error when the database or control file was created.","s to recreate the database or a new control file."
ORA-01080,"error in shutting down ORACLE","Failure during system shutdown.","Further diagnostic information should be in the error stack."
ORA-1080,"error in shutting down ORACLE","Failure during system shutdown.","Further diagnostic information should be in the error stack."
ORA-01081,"cannot start already-running ORACLE - shut it down first","Obvious","None"
ORA-1081,"cannot start already-running ORACLE - shut it down first","Obvious","None"
ORA-01082,"'row_locking = always' requires the transaction processing option","'row_locking = always' is specified in INIT.ORA file. This feature is not supported by ORACLE without the transaction processing option.","Remove it from INIT.ORA file or set it to 'default' or 'intent'."
ORA-1082,"'row_locking = always' requires the transaction processing option","'row_locking = always' is specified in INIT.ORA file. This feature is not supported by ORACLE without the transaction processing option.","Remove it from INIT.ORA file or set it to 'default' or 'intent'."
ORA-01083,"value of parameter 'string' is inconsistent with that of other instances","The value of the given parameter is required to be the same for all instances in the cluster database configuration. ROW_LOCKING and SERIALIZABLE are 2 examples.","Change the value of the parameter in INIT.ORA file to match that of other cluster database instances."
ORA-1083,"value of parameter 'string' is inconsistent with that of other instances","The value of the given parameter is required to be the same for all instances in the cluster database configuration. ROW_LOCKING and SERIALIZABLE are 2 examples.","Change the value of the parameter in INIT.ORA file to match that of other cluster database instances."
ORA-01084,"invalid argument in OCI call","The failing OCI call contains an argument with an invalid value.","Use valid argument values. For more information, see the Programmer's Guide to the Oracle Call Interfaces and the appropriate programming language supplement."
ORA-1084,"invalid argument in OCI call","The failing OCI call contains an argument with an invalid value.","Use valid argument values. For more information, see the Programmer's Guide to the Oracle Call Interfaces and the appropriate programming language supplement."
ORA-01085,"preceding errors in deferred rpc to 'string.string.string'","Errors were encountered when the named procedure was executed as a deferred remoted procedure call.","Correct the cause of the preceding errors."
ORA-1085,"preceding errors in deferred rpc to 'string.string.string'","Errors were encountered when the named procedure was executed as a deferred remoted procedure call.","Correct the cause of the preceding errors."
ORA-01086,"savepoint 'string' never established in this session or is invalid","An attempt was made to roll back to a savepoint that was never established in this session, or was invalid.","Try rolling back to the savepoint from the session where it is established."
ORA-1086,"savepoint 'string' never established in this session or is invalid","An attempt was made to roll back to a savepoint that was never established in this session, or was invalid.","Try rolling back to the savepoint from the session where it is established."
ORA-01088,"shutdown in progress - operation not permitted until restart","The SHUTDOWN command was used to shut down a running Oracle instance but the shutdown operation was not complete.","Wait for the instance to be restarted or contact your database administrator."
ORA-1088,"shutdown in progress - operation not permitted until restart","The SHUTDOWN command was used to shut down a running Oracle instance but the shutdown operation was not complete.","Wait for the instance to be restarted or contact your database administrator."
ORA-01089,"immediate shutdown or close in progress - no operations are permitted","The SHUTDOWN IMMEDIATE command was used to shut down a running Oracle instance, or CLOSE IMMEDIATE was used to shut down a pluggable database, so your operations have been terminated.","Wait for the instance to be restarted, or contact your DBA."
ORA-1089,"immediate shutdown or close in progress - no operations are permitted","The SHUTDOWN IMMEDIATE command was used to shut down a running Oracle instance, or CLOSE IMMEDIATE was used to shut down a pluggable database, so your operations have been terminated.","Wait for the instance to be restarted, or contact your DBA."
ORA-01090,"shutdown in progress - connection is not permitted","The SHUTDOWN command was used to shut down a running ORACLE instance, so you cannot connect to ORACLE.","Wait for the instance to be restarted, or contact your DBA."
ORA-1090,"shutdown in progress - connection is not permitted","The SHUTDOWN command was used to shut down a running ORACLE instance, so you cannot connect to ORACLE.","Wait for the instance to be restarted, or contact your DBA."
ORA-01091,"failure during startup force","Unable to destroy the old SGA.","Manually remove the old SGA and reissue the STARTUP command"
ORA-1091,"failure during startup force","Unable to destroy the old SGA.","Manually remove the old SGA and reissue the STARTUP command"
ORA-01092,"ORACLE instance terminated. Disconnection forced","The instance this process was connected to was terminated abnormally, probably via a shutdown abort. This process was forced to disconnect from the instance.","Examine the alert log for more details. When the instance has been restarted, retry action."
ORA-1092,"ORACLE instance terminated. Disconnection forced","The instance this process was connected to was terminated abnormally, probably via a shutdown abort. This process was forced to disconnect from the instance.","Examine the alert log for more details. When the instance has been restarted, retry action."
ORA-01093,"ALTER DATABASE CLOSE only permitted with no sessions connected","There is at least one more session other than the current one logged into the instance. ALTER DATABASE CLOSE is not permitted.","Find the other sessions and log them out and resubmit the command"
ORA-1093,"ALTER DATABASE CLOSE only permitted with no sessions connected","There is at least one more session other than the current one logged into the instance. ALTER DATABASE CLOSE is not permitted.","Find the other sessions and log them out and resubmit the command"
ORA-01095,"DML statement processed zero rows","During a call to OTEX, an update, delete, or insert statement being executed processed zero rows. The execution of statements by OTEX was halted at this point.","None"
ORA-1095,"DML statement processed zero rows","During a call to OTEX, an update, delete, or insert statement being executed processed zero rows. The execution of statements by OTEX was halted at this point.","None"
ORA-01096,"program version (string) incompatible with instance (string)","A program is trying to connect to an instance using a different version of code than the database was started with. This is not allowed.","Either relink the program with the same version as the database or restart the database using the old version of code."
ORA-1096,"program version (string) incompatible with instance (string)","A program is trying to connect to an instance using a different version of code than the database was started with. This is not allowed.","Either relink the program with the same version as the database or restart the database using the old version of code."
ORA-01097,"cannot shutdown while in a transaction - commit or rollback first","Obvious","None"
ORA-1097,"cannot shutdown while in a transaction - commit or rollback first","Obvious","None"
ORA-01099,"cannot mount database in SHARED mode if started in single process mode","Obvious","None"
ORA-1099,"cannot mount database in SHARED mode if started in single process mode","Obvious","None"
ORA-01100,"database already mounted","A database is already mounted in this instance.","None"
ORA-1100,"database already mounted","A database is already mounted in this instance.","None"
ORA-01101,"database being created currently mounted by some other instance","Some other instance has the database of same name currently mounted and you are trying to create it.","Either change the database name or shutdown the other instance."
ORA-1101,"database being created currently mounted by some other instance","Some other instance has the database of same name currently mounted and you are trying to create it.","Either change the database name or shutdown the other instance."
ORA-01102,"cannot mount database in EXCLUSIVE mode","Some other instance has the database mounted exclusive or shared.","Shutdown other instance or mount in a compatible mode."
ORA-1102,"cannot mount database in EXCLUSIVE mode","Some other instance has the database mounted exclusive or shared.","Shutdown other instance or mount in a compatible mode."
ORA-01103,"database name 'string' in control file is not 'string'","The database name in the control file does not match your database name.","Either find the correct control file or change your database name."
ORA-1103,"database name 'string' in control file is not 'string'","The database name in the control file does not match your database name.","Either find the correct control file or change your database name."
ORA-01104,"number of control files (string) does not equal string","The number of control files used by this instance disagrees with the number of control files in an existing instance.","Check to make sure that all control files are listed."
ORA-1104,"number of control files (string) does not equal string","The number of control files used by this instance disagrees with the number of control files in an existing instance.","Check to make sure that all control files are listed."
ORA-01105,"mount is incompatible with mounts by other instances","An attempt to mount the database discovered that another instance mounted a database by the same name, but the mount is not compatible. Additional errors are reported explaining why.","See accompanying errors."
ORA-1105,"mount is incompatible with mounts by other instances","An attempt to mount the database discovered that another instance mounted a database by the same name, but the mount is not compatible. Additional errors are reported explaining why.","See accompanying errors."
ORA-01106,"database must be closed before dismounting","Obvious","None"
ORA-1106,"database must be closed before dismounting","Obvious","None"
ORA-01107,"database must be mounted for media recovery","An attempt to perform media recovery was made but the database is not mounted.","Mount the database."
ORA-1107,"database must be mounted for media recovery","An attempt to perform media recovery was made but the database is not mounted.","Mount the database."
ORA-01108,"file string is in backup or media recovery","Either media recovery is actively being applied to the file, or it is being backed up while the database is in NOARCHIVELOG mode. It cannot be used for normal database access or crash recovery.","Complete or cancel the media recovery session or backup."
ORA-1108,"file string is in backup or media recovery","Either media recovery is actively being applied to the file, or it is being backed up while the database is in NOARCHIVELOG mode. It cannot be used for normal database access or crash recovery.","Complete or cancel the media recovery session or backup."
ORA-01109,"database not open","A command was attempted that requires the database to be open.","Open the database and try the command again"
ORA-1109,"database not open","A command was attempted that requires the database to be open.","Open the database and try the command again"
ORA-01110,"data file string: 'string'","Reporting file name for details of another error. The reported name can be of the old file if a data file move operation is in progress.","See associated error message."
ORA-1110,"data file string: 'string'","Reporting file name for details of another error. The reported name can be of the old file if a data file move operation is in progress.","See associated error message."
ORA-01111,"name for data file string is unknown - rename to correct file","The data file was missing from a CREATE CONTROLFILE command or backup control file recovery was done with a control file that was saved before the file was created.","Rename the MISSING file to the name of the real file."
ORA-1111,"name for data file string is unknown - rename to correct file","The data file was missing from a CREATE CONTROLFILE command or backup control file recovery was done with a control file that was saved before the file was created.","Rename the MISSING file to the name of the real file."
ORA-01112,"media recovery not started","An attempt to continue media recovery is being made but media recovery was not started.","None"
ORA-1112,"media recovery not started","An attempt to continue media recovery is being made but media recovery was not started.","None"
ORA-01113,"file string needs media recovery","An attempt was made to online or open a database with a file that is in need of media recovery.","First apply media recovery to the file."
ORA-1113,"file string needs media recovery","An attempt was made to online or open a database with a file that is in need of media recovery.","First apply media recovery to the file."
ORA-01114,"IO error writing block to file string (block # string)","The device on which the file resides is probably offline. If the file is a temporary file, then it is also possible that the device has run out of space. This could happen because disk space of temporary files is not necessarily allocated at file creation time.","Restore access to the device or remove unnecessary files to free up space."
ORA-1114,"IO error writing block to file string (block # string)","The device on which the file resides is probably offline. If the file is a temporary file, then it is also possible that the device has run out of space. This could happen because disk space of temporary files is not necessarily allocated at file creation time.","Restore access to the device or remove unnecessary files to free up space."
ORA-01115,"IO error reading block from file string (block # string)","Device on which the file resides is probably offline","Restore access to the device"
ORA-1115,"IO error reading block from file string (block # string)","Device on which the file resides is probably offline","Restore access to the device"
ORA-01116,"error in opening database file string","Usually the file is not accessible.","Restore the database file."
ORA-1116,"error in opening database file string","Usually the file is not accessible.","Restore the database file."
ORA-01117,"adding file 'string' with illegal block size: string; limit is string","An attempt was made to add a database file with a block size that is greater than the maximum block size allowed.","Retry the DDL command with a smaller block size."
ORA-1117,"adding file 'string' with illegal block size: string; limit is string","An attempt was made to add a database file with a block size that is greater than the maximum block size allowed.","Retry the DDL command with a smaller block size."
ORA-01118,"cannot add any more database files: limit of string exceeded","There is no more room in the control file for adding database files.","Resize the control file or drop other tablespaces."
ORA-1118,"cannot add any more database files: limit of string exceeded","There is no more room in the control file for adding database files.","Resize the control file or drop other tablespaces."
ORA-01119,"error in creating database file 'string'","Usually due to not having enough space on the device.","None"
ORA-1119,"error in creating database file 'string'","Usually due to not having enough space on the device.","None"
ORA-01120,"cannot remove online database file string","Attempting to drop a datafile when it is online","Take file offline before dropping."
ORA-1120,"cannot remove online database file string","Attempting to drop a datafile when it is online","Take file offline before dropping."
ORA-01121,"cannot rename database file string - file is in use or recovery","Attempted to use ALTER DATABASE RENAME to rename a datafile that is online in an open instance or is being recovered.","Close database in all instances and end all recovery sessions."
ORA-1121,"cannot rename database file string - file is in use or recovery","Attempted to use ALTER DATABASE RENAME to rename a datafile that is online in an open instance or is being recovered.","Close database in all instances and end all recovery sessions."
ORA-01122,"database file string failed verification check","The information in this file is inconsistent with information from the control file. See accompanying message for reason.","Make certain that the db files and control files are the correct files for this database."
ORA-1122,"database file string failed verification check","The information in this file is inconsistent with information from the control file. See accompanying message for reason.","Make certain that the db files and control files are the correct files for this database."
ORA-01123,"cannot start online backup; media recovery not enabled","An attempt to start backup of an on-line tablespace failed because media recovery is not enabled.","Enable media recovery and retry this operation."
ORA-1123,"cannot start online backup; media recovery not enabled","An attempt to start backup of an on-line tablespace failed because media recovery is not enabled.","Enable media recovery and retry this operation."
ORA-01124,"cannot recover data file string - file is in use or recovery","An attempt to do media recovery found that the file was not available for recovery. Either it is online and the database is open in some instance, or another process is curently doing media recovery on the file.","Do not do media recovery."
